reuse_time,counts
1,22382097
2,7787084
3,3313270
4,3714538
5,2159642
6,1498480
7,1830817
8,1252048
9,1081381
10,1014446
11,1127317
12,934455
13,425192
14,881792
15,614147
16,560877
17,484780
18,452107
19,492699
20,478056
21,332761
22,385692
23,235070
24,347654
25,237817
26,231782
27,334970
28,241686
29,370497
30,571786
31,571236
32,463659
33,373809
34,380503
35,325359
36,325735
37,323616
38,226383
39,265435
40,228757
41,252339
42,164464
43,246737
44,274194
45,157925
46,156626
47,165414
48,225484
49,190348
50,217172
51,150342
52,144826
53,149053
54,80540
55,133221
56,122252
57,86036
58,97960
59,75853
60,106077
61,94319
62,111343
63,117531
64,107791
65,113804
66,89732
67,85974
68,102913
69,123373
70,97371
71,88617
72,91897
73,79962
74,84275
75,115013
76,81911
77,86955
78,76313
79,79110
80,72329
81,68108
82,67352
83,71371
84,70985
85,67762
86,66252
87,69495
88,75845
89,89623
90,78154
91,60483
92,68626
93,65587
94,64298
95,69872
96,63328
97,62064
98,61187
99,61670
100,60203
101,59739
102,60345
103,60759
104,63245
105,62041
106,59908
107,57077
108,57575
109,58424
110,57837
111,54739
112,59384
113,55265
114,57966
115,51863
116,51400
117,52524
118,50360
119,58772
120,47644
121,50576
122,49309
123,49780
124,43898
125,46053
126,47416
127,41094
128,42451
129,43915
130,46096
131,39889
132,38277
133,42864
134,38288
135,39488
136,40386
137,37670
138,35339
139,35675
140,31390
141,31799
142,29494
143,29106
144,27980
145,27247
146,25979
147,26025
148,26646
149,24045
150,23968
151,24065
152,22825
153,23074
154,21564
155,21169
156,21970
157,20349
158,22346
159,21357
160,22324
161,20919
162,20803
163,20213
164,19688
165,20234
166,19699
167,18034
168,18883
169,18346
170,18759
171,18537
172,18300
173,17817
174,17852
175,17032
176,16551
177,16665
178,16944
179,17245
180,17873
181,16917
182,16802
183,17356
184,17318
185,18561
186,17109
187,17183
188,17103
189,17599
190,17771
191,17837
192,17737
193,17650
194,18033
195,18070
196,17468
197,17936
198,18159
199,18255
200,17652
201,17831
202,18091
203,18824
204,18264
205,18772
206,19442
207,18845
208,19407
209,19875
210,19874
211,19859
212,20054
213,20059
214,19964
215,20662
216,20457
217,20871
218,21153
219,21142
220,20800
221,20579
222,20630
223,20360
224,20065
225,20423
226,19860
227,19759
228,18853
229,18903
230,18656
231,18204
232,17797
233,17283
234,16900
235,16424
236,16096
237,16036
238,15342
239,14821
240,14274
241,14123
242,13726
243,13209
244,12724
245,12358
246,12007
247,11458
248,11425
249,11196
250,10571
251,10436
252,10320
253,10086
254,10022
255,9792
256,9520
258,18589
260,18163
262,17384
264,17155
266,16889
268,16749
270,16774
272,16334
274,16654
276,16905
278,16624
280,16717
282,16822
284,17043
286,17259
288,17527
290,17648
292,17883
294,18042
296,17946
298,17680
300,17474
302,17041
304,16890
306,16672
308,16522
310,16041
312,15910
314,15145
316,14898
318,14772
320,14295
322,14157
324,14116
326,13756
328,13259
330,12666
332,12415
334,12294
336,12179
338,11461
340,11625
342,11289
344,10863
346,10796
348,10529
350,10578
352,10388
354,10302
356,10347
358,10168
360,10162
362,10287
364,10274
366,10097
368,9727
370,9666
372,9180
374,9235
376,9044
378,8862
380,8757
382,8658
384,8626
386,8498
388,8219
390,8212
392,8109
394,8227
396,8268
398,8206
400,8240
402,8151
404,8047
406,8009
408,8033
410,7993
412,8098
414,7940
416,7955
418,7950
420,7938
422,7953
424,8095
426,8054
428,7983
430,8417
432,8161
434,8055
436,7919
438,8065
440,7988
442,8038
444,7914
446,7757
448,7820
450,7645
452,7758
454,7526
456,7456
458,7355
460,7405
462,7354
464,7222
466,7098
468,6947
470,6941
472,6903
474,6874
476,7024
478,6855
480,6671
482,6525
484,6464
486,6624
488,6363
490,6434
492,6496
494,6363
496,6448
498,6459
500,6199
502,6426
504,6397
506,6456
508,6382
510,6130
512,6368
514,6524
516,6304
518,6359
520,6304
522,6452
524,6438
526,6405
528,6425
530,6369
532,6339
534,6347
536,6314
538,6268
540,6422
542,6418
544,6387
546,6446
548,6176
550,6308
552,6333
554,6244
556,6238
558,6153
560,6115
562,6220
564,6283
566,6373
568,6121
570,6202
572,6142
574,6197
576,6167
578,6035
580,6098
582,5941
584,5923
586,5866
588,5840
590,5832
592,5777
594,5919
596,5674
598,6020
600,5731
602,5965
604,5780
606,5729
608,5758
610,5758
612,5650
614,5713
616,5682
618,5758
620,5691
622,5565
624,5668
626,5524
628,5623
630,5642
632,5792
634,5637
636,5702
638,5506
640,5584
642,5707
644,5452
646,5468
648,5439
650,5545
652,5403
654,5423
656,5398
658,5383
660,5230
662,5289
664,5404
666,5265
668,5347
670,5059
672,5159
674,5261
676,5134
678,5199
680,5070
682,5170
684,5040
686,4928
688,5041
690,5012
692,5006
694,5019
696,4893
698,4882
700,4783
702,4788
704,4620
706,4596
708,4606
710,4483
712,4569
714,4533
716,4601
718,4508
720,4579
722,4441
724,4360
726,4402
728,4324
730,4257
732,4104
734,4287
736,4306
738,4122
740,4164
742,4194
744,4196
746,4107
748,3986
750,4233
752,4115
754,4029
756,4058
758,4097
760,3985
762,3942
764,4023
766,4134
768,4106
772,7848
776,8041
780,7816
784,7835
788,7809
792,7839
796,7750
800,7853
804,7749
808,7624
812,7915
816,7825
820,7911
824,7872
828,7985
832,8014
836,8049
840,8089
844,8256
848,8360
852,8260
856,8491
860,8526
864,8384
868,8517
872,8630
876,8525
880,8701
884,8702
888,8732
892,8793
896,8730
900,8845
904,9119
908,9135
912,9108
916,9122
920,9292
924,9294
928,9305
932,9185
936,9196
940,9287
944,9261
948,9387
952,9474
956,9283
960,9514
964,9338
968,9335
972,9254
976,9363
980,9373
984,9138
988,9165
992,9324
996,9323
1000,9283
1004,9231
1008,9276
1012,9111
1016,9239
1020,9070
1024,9238
1028,9186
1032,9294
1036,9228
1040,9351
1044,9257
1048,9460
1052,9264
1056,9325
1060,9438
1064,9716
1068,9459
1072,9462
1076,9323
1080,9292
1084,9189
1088,9103
1092,9103
1096,9049
1100,8673
1104,8806
1108,8619
1112,8614
1116,8461
1120,8480
1124,8352
1128,8315
1132,8218
1136,8058
1140,8015
1144,8123
1148,8088
1152,7880
1156,7983
1160,7656
1164,7531
1168,7589
1172,7440
1176,7518
1180,7373
1184,7421
1188,7316
1192,7224
1196,7323
1200,7300
1204,7296
1208,7280
1212,7265
1216,7306
1220,7250
1224,7190
1228,7098
1232,7011
1236,7102
1240,7117
1244,6896
1248,7110
1252,6902
1256,7020
1260,6966
1264,6917
1268,6961
1272,6837
1276,6977
1280,7006
1284,6952
1288,6854
1292,6839
1296,6777
1300,6763
1304,6952
1308,6866
1312,7021
1316,6781
1320,6787
1324,6930
1328,6853
1332,7007
1336,6897
1340,6903
1344,6938
1348,6911
1352,6892
1356,6815
1360,7103
1364,6983
1368,6954
1372,7067
1376,7046
1380,7062
1384,7031
1388,7122
1392,7043
1396,7176
1400,7140
1404,7031
1408,7156
1412,7207
1416,7042
1420,6999
1424,7138
1428,7144
1432,7109
1436,7196
1440,7151
1444,7201
1448,7162
1452,7128
1456,6853
1460,7066
1464,6857
1468,6667
1472,6678
1476,6565
1480,6302
1484,6183
1488,6123
1492,5991
1496,5847
1500,5776
1504,5828
1508,5789
1512,5587
1516,5635
1520,5714
1524,5736
