cache_lines,MRC
256,0.00760271
512,0.0026918
768,0.00199315
1024,0.00175689
1280,0.00163824
1536,0.00156469
1792,0.00151606
2048,0.00147988
2304,0.00145427
2560,0.00143362
2816,0.00141683
3072,0.00140269
3328,0.00139134
3584,0.0013816
3840,0.00137293
4096,0.001365
4352,0.00135833
4608,0.00135181
4864,0.00134639
5120,0.00134108
5376,0.00133622
5632,0.00133179
5888,0.00132765
6144,0.00132421
6400,0.00132047
6656,0.0013173
6912,0.0013143
7168,0.00131174
7424,0.00130904
7680,0.00130664
7936,0.0013041
8192,0.00130189
8448,0.00130004
8704,0.00129791
8960,0.00129598
9216,0.00129385
9472,0.00129178
9728,0.00129005
9984,0.00128845
10240,0.00128679
10496,0.00128524
10752,0.00128364
11008,0.0012822
11264,0.00128079
11520,0.0012792
11776,0.0012776
12032,0.00127642
12288,0.0012752
12544,0.00127403
12800,0.0012727
13056,0.00127152
13312,0.00127042
13568,0.00126938
13824,0.00126843
14080,0.00126737
14336,0.00126616
14592,0.00126525
14848,0.00126438
15104,0.00126319
15360,0.00126221
15616,0.00126141
15872,0.00126051
16128,0.00125963
16384,0.00125881
16640,0.0012579
16896,0.00125708
17152,0.00125643
17408,0.00125558
17664,0.00125462
17920,0.00125385
18176,0.00125319
18432,0.0012526
18688,0.0012517
18944,0.00125088
19200,0.00125003
19456,0.00124928
19712,0.00124849
19968,0.0012477
20224,0.00124694
20480,0.00124623
20736,0.00124584
20992,0.00124521
21248,0.00124466
21504,0.00124405
21760,0.00124352
22016,0.00124285
22272,0.00124229
22528,0.00124167
22784,0.00124083
23040,0.00124019
23296,0.00123968
23552,0.00123912
23808,0.00123862
24064,0.00123807
24320,0.00123751
24576,0.00123692
24832,0.0012363
25088,0.00123579
25344,0.00123528
25600,0.00123469
25856,0.00123407
26112,0.00123353
26368,0.00123303
26624,0.0012325
26880,0.0012321
27136,0.00123156
27392,0.00123106
27648,0.0012305
27904,0.00123001
28160,0.00122955
28416,0.00122899
28672,0.00122848
28928,0.00122795
29184,0.00122746
29440,0.00122692
29696,0.00122649
29952,0.00122582
30208,0.00122527
30464,0.00122473
30720,0.00122433
30976,0.0012239
31232,0.00122347
31488,0.00122306
31744,0.00122264
32000,0.00122207
32256,0.00122156
32512,0.00122112
32768,0.00122074
33024,0.00122035
33280,0.00121973
33536,0.00121933
33792,0.00121899
34048,0.00121852
34304,0.0012182
34560,0.00121775
34816,0.00121725
35072,0.00121683
35328,0.00121644
35584,0.00121601
35840,0.00121555
36096,0.00121513
36352,0.00121476
36608,0.00121442
36864,0.001214
37120,0.00121359
37376,0.00121312
37632,0.00121264
37888,0.00121232
38144,0.00121187
38400,0.00121141
38656,0.00121108
38912,0.0012106
39168,0.00121025
39424,0.00120976
39680,0.00120946
39936,0.00120911
40192,0.00120875
40448,0.0012083
40704,0.00120804
40960,0.00120764
41216,0.00120715
41472,0.0012067
41728,0.00120631
41984,0.00120594
42240,0.00120562
42496,0.00120518
42752,0.00120479
43008,0.00120433
43264,0.00120383
43520,0.00120347
43776,0.00120314
44032,0.00120276
44288,0.00120232
44544,0.00120191
44800,0.00120154
45056,0.00120121
45312,0.00120082
45568,0.00120049
45824,0.00120015
46080,0.00119972
46336,0.00119936
46592,0.00119898
46848,0.00119855
47104,0.00119815
47360,0.00119785
47616,0.00119757
47872,0.00119721
48128,0.00119689
48384,0.00119658
48640,0.00119614
48896,0.00119573
49152,0.00119543
49408,0.0011952
49664,0.00119483
49920,0.00119454
50176,0.00119418
50432,0.00119383
50688,0.00119351
50944,0.00119311
51200,0.00119283
51456,0.00119253
51712,0.00119224
51968,0.00119196
52224,0.00119171
52480,0.00119136
52736,0.00119095
52992,0.00119059
53248,0.00119029
53504,0.00119003
53760,0.00118976
54016,0.00118949
54272,0.00118908
54528,0.00118876
54784,0.00118845
55040,0.00118795
55296,0.00118759
55552,0.00118726
55808,0.00118692
56064,0.00118665
56320,0.00118635
56576,0.00118603
56832,0.0011856
57088,0.00118527
57344,0.00118501
57600,0.00118475
57856,0.00118443
58112,0.00118412
58368,0.00118373
58624,0.00118333
58880,0.00118287
59136,0.0011825
59392,0.00118216
59648,0.00118179
59904,0.00118151
60160,0.00118124
60416,0.00118093
60672,0.00118059
60928,0.00118028
61184,0.00117996
61440,0.00117964
61696,0.00117926
61952,0.00117893
62208,0.0011785
62464,0.00117818
62720,0.00117789
62976,0.00117757
63232,0.00117721
