cache_lines,MRC
256,0.0953248
512,0.0933741
768,0.0923148
1024,0.091521
1280,0.0909565
1536,0.0906401
1792,0.0904117
2048,0.0902112
2304,0.0900399
2560,0.0898864
2816,0.0897344
3072,0.0896049
3328,0.0894823
3584,0.0893782
3840,0.0892869
4096,0.0891892
4352,0.0891044
4608,0.0890184
4864,0.0889461
5120,0.0888687
5376,0.0887948
5632,0.0887258
5888,0.0886618
6144,0.0885975
6400,0.0885366
6656,0.0884767
6912,0.0884226
7168,0.0883614
7424,0.0883085
7680,0.0882619
7936,0.0882128
8192,0.0881684
8448,0.0881259
8704,0.0880793
8960,0.0880367
9216,0.0879924
9472,0.0879488
9728,0.087906
9984,0.0878489
10240,0.0877999
10496,0.0877565
10752,0.0877137
11008,0.0876757
11264,0.087635
11520,0.0875974
11776,0.0875609
12032,0.087525
12288,0.0874888
12544,0.0874506
12800,0.0874164
13056,0.0873823
13312,0.0873451
13568,0.0873073
13824,0.0872738
14080,0.0872396
14336,0.0872063
14592,0.0871733
14848,0.0871428
15104,0.0871117
15360,0.0870835
15616,0.0870528
15872,0.0870243
16128,0.0869937
16384,0.0869646
16640,0.0869197
16896,0.0868929
17152,0.0868655
17408,0.0868385
17664,0.0868096
17920,0.0867846
18176,0.0867568
18432,0.0867327
18688,0.0867079
18944,0.0866827
19200,0.0866579
19456,0.086631
19712,0.0866056
19968,0.0865813
20224,0.0865554
20480,0.0865304
20736,0.0865069
20992,0.0864845
21248,0.086462
21504,0.0864372
21760,0.0864128
22016,0.0863856
22272,0.0863613
22528,0.0863364
22784,0.086315
23040,0.0862897
23296,0.0862672
23552,0.0862448
23808,0.0862221
24064,0.0861989
24320,0.0861744
24576,0.0861522
24832,0.0861293
25088,0.0861103
25344,0.0860872
25600,0.0860668
25856,0.086046
26112,0.0860233
26368,0.0860024
26624,0.0859796
26880,0.0859595
27136,0.0859382
27392,0.0859167
27648,0.0858467
27904,0.0858271
28160,0.0858049
28416,0.085782
28672,0.0857631
28928,0.0857425
29184,0.0857232
29440,0.0857039
29696,0.0856833
29952,0.0856641
30208,0.0856433
30464,0.0856243
30720,0.085604
30976,0.0855835
31232,0.0855624
31488,0.0855413
31744,0.0855222
32000,0.0855034
32256,0.085484
32512,0.0854615
32768,0.0854399
33024,0.0854208
33280,0.0854034
33536,0.0853839
33792,0.0853642
34048,0.0853432
34304,0.0853242
34560,0.0853048
34816,0.0852868
35072,0.0852685
35328,0.0852494
35584,0.0852313
35840,0.0852102
36096,0.0851901
36352,0.0851714
36608,0.0851528
36864,0.0851362
37120,0.0851171
37376,0.0850972
37632,0.0850781
37888,0.0850597
38144,0.0850414
38400,0.0850237
38656,0.0850058
38912,0.0849878
39168,0.0849693
39424,0.0849511
39680,0.0849319
39936,0.0849161
40192,0.0848995
40448,0.0848827
40704,0.084865
40960,0.0848487
41216,0.084832
41472,0.084813
41728,0.0847934
41984,0.0847766
42240,0.0847567
42496,0.0847378
42752,0.084721
43008,0.0847002
43264,0.0846821
43520,0.0846651
43776,0.0846471
44032,0.0846289
44288,0.0846129
44544,0.0845968
44800,0.0845799
45056,0.0845635
45312,0.0845457
45568,0.0845267
45824,0.0845115
46080,0.0844965
46336,0.0844805
46592,0.0844642
46848,0.0844477
47104,0.0844312
47360,0.0844142
47616,0.0843987
47872,0.0843828
48128,0.0843659
48384,0.0843506
48640,0.0843342
48896,0.0843176
49152,0.0843005
49408,0.0842873
49664,0.0842728
49920,0.0842586
50176,0.0842417
50432,0.0842268
50688,0.0842115
50944,0.0841964
51200,0.0841809
51456,0.0841632
51712,0.0841472
51968,0.084128
52224,0.0841121
52480,0.0840953
52736,0.0840794
52992,0.0840644
53248,0.0840493
53504,0.0840302
53760,0.0840128
54016,0.0839967
54272,0.0839803
54528,0.0839659
54784,0.083952
55040,0.0839381
55296,0.0839232
55552,0.0839105
55808,0.0838956
56064,0.0838805
56320,0.0838659
56576,0.0838521
56832,0.0838377
57088,0.0838223
57344,0.0838072
57600,0.083793
57856,0.0837797
58112,0.0837652
58368,0.0837526
58624,0.0837393
58880,0.0837244
59136,0.0837094
59392,0.0836937
59648,0.0836794
59904,0.083666
60160,0.0836525
60416,0.0836404
60672,0.0836273
60928,0.0836135
61184,0.0836004
61440,0.0835877
61696,0.0835745
61952,0.0835614
62208,0.0835489
62464,0.0835362
62720,0.0835235
62976,0.0835101
63232,0.0834953
63488,0.0834825
63744,0.0834696
64000,0.0834561
64256,0.0834438
64512,0.0834311
64768,0.0834187
65024,0.0834072
65280,0.0833935
65536,0.0833802
65792,0.0833656
66048,0.083353
66304,0.0833404
66560,0.0833277
66816,0.0833156
67072,0.0833035
67328,0.0832914
67584,0.0832788
67840,0.0832673
68096,0.0832552
68352,0.0832423
68608,0.0832302
68864,0.083218
69120,0.0832063
69376,0.0831934
69632,0.0831788
69888,0.0831662
70144,0.0831532
70400,0.0831414
70656,0.0831292
70912,0.0831171
71168,0.083106
71424,0.0830933
71680,0.0830809
71936,0.0830685
72192,0.0830571
72448,0.0830443
72704,0.0830325
72960,0.0830197
73216,0.0830074
73472,0.0829948
73728,0.0829842
73984,0.0829744
74240,0.0829631
74496,0.0829528
74752,0.0829433
75008,0.0829312
75264,0.0829197
75520,0.0829083
75776,0.0828966
76032,0.0828855
76288,0.0828757
76544,0.0828649
76800,0.0828527
77056,0.0828417
77312,0.082829
77568,0.0828174
77824,0.0828072
78080,0.0827967
78336,0.0827851
78592,0.0827731
78848,0.0827617
79104,0.0827502
79360,0.0827385
79616,0.0827275
79872,0.0827174
80128,0.0827074
80384,0.0826964
80640,0.0826867
80896,0.0826766
81152,0.0826667
81408,0.0826576
81664,0.0826472
