cache_lines,MRC
256,0.21192
512,0.208445
768,0.206813
1024,0.205619
1280,0.20489
1536,0.204353
1792,0.203924
2048,0.203547
2304,0.203233
2560,0.202963
2816,0.202704
3072,0.202492
3328,0.202299
3584,0.202133
3840,0.201962
4096,0.201801
4352,0.201657
4608,0.201515
4864,0.201375
5120,0.20125
5376,0.201127
5632,0.201004
5888,0.200889
6144,0.200767
6400,0.200656
6656,0.200555
6912,0.200463
7168,0.20037
7424,0.200275
7680,0.200185
7936,0.200105
8192,0.200012
8448,0.199925
8704,0.199793
8960,0.199697
9216,0.199616
9472,0.199538
9728,0.199463
9984,0.199387
10240,0.199313
10496,0.199237
10752,0.199163
11008,0.199086
11264,0.199017
11520,0.198948
11776,0.198872
12032,0.198802
12288,0.198734
12544,0.198669
12800,0.198607
13056,0.198547
13312,0.198488
13568,0.19843
13824,0.198375
14080,0.198327
14336,0.198261
14592,0.198209
14848,0.198158
15104,0.198107
15360,0.19805
15616,0.198001
15872,0.197948
16128,0.197899
16384,0.19785
16640,0.1978
16896,0.197751
17152,0.1977
17408,0.197654
17664,0.197604
17920,0.197563
18176,0.19752
18432,0.197476
18688,0.197426
18944,0.197389
19200,0.197345
19456,0.197299
19712,0.197257
19968,0.197207
20224,0.197164
20480,0.197121
20736,0.197078
20992,0.19704
21248,0.196996
21504,0.196952
21760,0.196911
22016,0.196869
22272,0.196828
22528,0.196787
22784,0.196747
23040,0.196709
23296,0.19666
23552,0.196614
23808,0.196572
24064,0.196499
24320,0.196453
24576,0.196414
24832,0.196376
25088,0.196336
25344,0.196291
25600,0.196248
25856,0.196205
26112,0.196165
26368,0.196126
26624,0.196085
26880,0.196044
27136,0.196001
27392,0.195961
27648,0.195918
27904,0.195878
28160,0.195832
28416,0.195787
28672,0.195746
28928,0.195709
29184,0.195668
29440,0.195631
29696,0.195592
29952,0.195548
30208,0.195512
30464,0.195476
30720,0.195435
30976,0.1954
31232,0.19536
31488,0.195319
31744,0.19528
32000,0.19524
32256,0.195207
32512,0.195169
32768,0.195131
33024,0.195093
33280,0.195057
33536,0.195022
33792,0.194992
34048,0.194958
34304,0.194917
34560,0.194884
34816,0.194849
35072,0.194811
35328,0.194772
35584,0.194732
35840,0.194699
36096,0.194664
36352,0.194629
36608,0.194595
36864,0.194562
37120,0.194529
37376,0.194492
37632,0.194457
37888,0.194423
38144,0.194388
38400,0.194353
38656,0.194313
38912,0.194275
39168,0.194237
39424,0.194201
39680,0.194161
39936,0.19412
40192,0.194084
40448,0.194049
40704,0.194009
40960,0.193974
41216,0.193941
41472,0.193906
41728,0.193868
41984,0.193834
42240,0.1938
42496,0.193766
42752,0.193735
43008,0.193703
43264,0.193668
43520,0.193637
43776,0.193603
44032,0.19357
44288,0.193537
44544,0.193503
44800,0.193466
45056,0.193431
45312,0.193402
45568,0.193373
45824,0.193336
46080,0.193303
46336,0.193267
46592,0.193231
46848,0.193199
47104,0.193168
47360,0.193134
47616,0.193096
47872,0.193067
48128,0.193036
48384,0.193005
48640,0.192977
48896,0.192947
49152,0.192917
49408,0.192885
49664,0.192856
49920,0.192827
50176,0.192794
50432,0.192768
50688,0.192741
50944,0.19271
51200,0.192676
51456,0.192647
51712,0.192616
51968,0.192586
52224,0.192555
52480,0.192525
52736,0.192497
52992,0.192471
53248,0.192445
53504,0.192418
53760,0.19239
54016,0.192359
54272,0.192331
54528,0.192303
54784,0.192274
55040,0.192249
55296,0.192221
55552,0.192192
55808,0.192164
56064,0.192137
56320,0.192107
56576,0.192081
56832,0.192056
57088,0.192029
57344,0.192002
57600,0.191971
57856,0.19194
58112,0.191908
58368,0.191878
58624,0.191852
58880,0.191824
59136,0.191797
59392,0.191768
59648,0.19174
59904,0.191716
60160,0.191695
60416,0.19167
60672,0.191644
60928,0.191617
61184,0.191589
61440,0.191563
61696,0.191537
61952,0.191512
62208,0.191487
62464,0.191461
62720,0.191435
62976,0.19141
63232,0.191381
63488,0.191357
63744,0.191331
