reuse_time,counts
1,3398408
2,2585500
3,943197
4,204682
5,453528
6,715553
7,601393
8,48322
9,706437
10,29223
11,19589
12,21030
13,174796
14,17797
15,5785
16,1582920
17,3507
18,6438
19,4378
20,4785
21,3295
22,11005
23,2239
24,6353
25,21708
26,6270
27,12160
28,51206
29,1626
30,19202
31,93878
32,1266
33,32982
34,187848
35,845
36,49546
37,287661
38,1528
39,63671
40,391213
41,936
42,60537
43,428836
44,940
45,48540
46,367350
47,455
48,31615
49,235644
50,571
51,19106
52,137537
53,373
54,8075
55,10488
56,682
57,13106
58,2547
59,1877
60,10187
61,2100
62,1484
63,13957
64,1273
65,1218
66,10727
67,376
68,1509
69,11725
70,444
71,1718
72,7595
73,1025
74,2685
75,6767
76,278
77,2572
78,4751
79,551
80,3854
81,4507
82,675
83,2990
84,637
85,143
86,2814
87,299
88,200
89,2685
90,550
91,223
92,2481
93,520
94,327
95,2042
96,1021
97,1011
98,1272
99,479
100,164
101,968
102,1066
103,165
104,804
105,912
106,312
107,237
108,946
109,362
110,107
111,1172
112,149
113,192
114,2316
115,137
116,134
117,1280
118,337
119,282
120,1847
121,676
122,322
123,1867
124,556
125,188
126,1575
127,303
128,131
129,1977
130,1645
131,283
132,1726
133,732
134,236
135,1795
136,432
137,165
138,1664
139,737
140,194
141,1173
142,742
143,236
144,926
145,592
146,144
147,982
148,1111
149,159
150,1321
151,772
152,154
153,740
154,831
155,110
156,428
157,880
158,200
159,436
160,1310
161,287
162,118
163,1127
164,247
165,102
166,963
167,251
168,105
169,1100
170,555
171,255
172,1525
173,339
174,108
175,1277
176,342
177,79
178,932
179,467
180,236
181,1397
182,443
183,125
184,1351
185,846
186,110
187,1050
188,493
189,188
190,633
191,706
192,288
193,965
194,487
195,808
196,846
197,1861
198,163
199,1081
200,504
201,351
202,407
203,786
204,202
205,283
206,571
207,402
208,343
209,726
210,206
211,145
212,652
213,746
214,96
215,751
216,297
217,84
218,669
219,252
220,93
221,504
222,332
223,166
224,562
225,369
226,524
227,603
228,456
229,171
230,553
231,447
232,97
233,733
234,392
235,161
236,334
237,346
238,130
239,400
240,435
241,170
242,338
243,389
244,199
245,463
246,456
247,218
248,324
249,635
250,202
251,337
252,885
253,257
254,316
255,493
256,198
258,604
260,390
262,676
264,541
266,380
268,783
270,543
272,394
274,647
276,377
278,384
280,671
282,403
284,689
286,582
288,436
290,570
292,764
294,448
296,525
298,568
300,457
302,506
304,548
306,435
308,675
310,940
312,290
314,584
316,471
318,347
320,551
322,385
324,387
326,589
328,370
330,401
332,603
334,361
336,319
338,586
340,434
342,387
344,489
346,357
348,369
350,380
352,413
354,422
356,340
358,336
360,441
362,457
364,320
366,468
368,291
370,308
372,384
374,325
376,336
378,426
380,323
382,320
384,431
386,409
388,359
390,337
392,302
394,333
396,286
398,240
400,352
402,272
404,237
406,414
408,369
410,360
412,383
414,365
416,324
418,296
420,283
422,243
424,305
426,259
428,257
430,341
432,274
434,253
436,314
438,280
440,310
442,285
444,279
446,335
448,406
450,289
452,304
454,293
456,283
458,270
460,292
462,288
464,310
466,247
468,218
470,290
472,232
474,225
476,357
478,264
480,283
482,268
484,227
486,237
488,225
490,229
492,303
494,272
496,243
498,301
500,296
502,235
504,260
506,289
508,330
510,230
512,363
514,384
516,463
518,243
520,334
522,360
524,317
526,253
528,352
530,228
532,244
534,278
536,225
538,296
540,294
542,213
544,249
546,329
548,218
550,226
552,236
554,233
556,213
558,219
560,227
562,225
564,201
566,193
568,214
570,198
572,195
574,237
576,264
578,203
580,209
582,258
584,172
586,185
588,184
590,258
592,188
594,181
596,193
598,255
600,503
602,191
604,161
606,196
608,158
610,230
612,177
614,186
616,212
618,188
620,185
622,209
624,157
626,177
628,199
630,194
632,216
634,228
636,282
638,239
640,160
642,143
644,170
646,122
648,160
650,176
652,168
654,170
656,199
658,207
660,167
662,171
664,170
666,225
668,175
670,180
672,170
674,262
676,186
678,145
680,177
682,199
684,158
686,194
688,177
690,214
692,216
694,178
696,194
698,164
700,167
702,167
704,140
706,176
708,178
710,204
712,174
714,173
716,221
718,174
720,209
722,283
724,293
726,173
728,170
730,201
732,183
734,186
736,241
738,262
740,297
742,278
744,239
746,204
748,138
750,220
752,199
754,258
756,437
758,276
760,397
762,436
764,286
766,454
768,275
772,808
776,387
780,474
784,467
788,692
792,410
796,431
800,424
804,535
808,384
812,572
816,859
820,644
824,696
828,818
832,1746
836,1401
840,505
844,589
848,439
852,599
856,263
860,301
864,318
868,382
872,225
876,250
880,297
884,326
888,263
892,259
896,189
900,230
904,247
908,261
912,197
916,253
920,188
924,196
928,224
932,201
936,270
940,404
944,305
948,261
952,327
956,351
960,371
964,236
968,245
972,279
976,259
980,258
984,219
988,330
992,294
996,396
1000,368
1004,270
1008,232
1012,273
1016,303
1020,314
1024,216
1028,500
1032,870
1036,437
1040,327
1044,313
1048,646
1052,266
1056,201
1060,245
1064,365
1068,222
1072,177
1076,211
1080,280
1084,211
1088,150
1092,182
1096,205
1100,221
1104,142
1108,225
1112,188
1116,171
1120,159
1124,177
1128,213
1132,188
1136,137
1140,144
1144,179
1148,161
1152,179
1156,161
1160,182
1164,147
1168,163
1172,157
1176,166
1180,159
1184,184
1188,201
1192,183
1196,142
1200,196
1204,182
1208,172
1212,184
1216,213
1220,182
1224,163
1228,166
1232,201
1236,164
1240,162
1244,180
1248,187
1252,152
1256,161
1260,146
1264,129
1268,153
1272,190
1276,149
1280,130
1284,146
1288,138
1292,148
1296,150
1300,162
1304,139
1308,117
1312,135
1316,144
1320,126
1324,123
1328,159
1332,157
1336,167
1340,146
1344,194
1348,143
1352,152
1356,170
1360,137
1364,154
1368,129
1372,144
1376,150
1380,132
1384,103
1388,145
1392,106
1396,122
1400,105
1404,93
1408,109
1412,123
1416,121
1420,100
1424,109
1428,102
1432,136
1436,137
1440,138
1444,151
1448,106
1452,105
1456,95
1460,100
1464,95
1468,92
1472,116
1476,97
1480,122
1484,124
1488,95
1492,115
1496,109
1500,110
1504,96
1508,87
1512,121
1516,110
1520,109
1524,97
1528,95
1532,133
1536,86
1540,127
1544,90
1548,84
1552,100
1556,99
1560,99
1564,122
