cache_lines,MRC
256,0.0729683
512,0.0713596
768,0.0704552
1024,0.0698066
1280,0.0693374
1536,0.0690784
1792,0.0688918
2048,0.0687311
2304,0.0685951
2560,0.0684659
2816,0.0683401
3072,0.0682426
3328,0.0681443
3584,0.0680548
3840,0.0679777
4096,0.0679049
4352,0.0678343
4608,0.0677687
4864,0.0677047
5120,0.0676437
5376,0.0675852
5632,0.0675319
5888,0.0674792
6144,0.0674264
6400,0.0673745
6656,0.0673277
6912,0.0672837
7168,0.0672425
7424,0.0671921
7680,0.0671503
7936,0.0671127
8192,0.0670737
8448,0.0670368
8704,0.0670005
8960,0.0669653
9216,0.0669306
9472,0.0668955
9728,0.0668613
9984,0.0668246
10240,0.0667789
10496,0.0667434
10752,0.0667127
11008,0.0666805
11264,0.0666506
11520,0.0666189
11776,0.0665887
12032,0.0665608
12288,0.0665305
12544,0.0665
12800,0.0664728
13056,0.0664469
13312,0.06642
13568,0.066392
13824,0.0663644
14080,0.0663349
14336,0.0663075
14592,0.0662831
14848,0.066257
15104,0.066233
15360,0.0662107
15616,0.0661854
15872,0.0661614
16128,0.0661412
16384,0.0661201
16640,0.066097
16896,0.066062
17152,0.0660409
17408,0.0660172
17664,0.0659972
17920,0.0659752
18176,0.0659551
18432,0.065934
18688,0.0659135
18944,0.0658923
19200,0.0658724
19456,0.065852
19712,0.0658295
19968,0.0658099
20224,0.0657898
20480,0.0657696
20736,0.0657493
20992,0.0657298
21248,0.0657104
21504,0.0656906
21760,0.0656738
22016,0.0656552
22272,0.0656358
22528,0.065616
22784,0.0655982
23040,0.0655802
23296,0.0655633
23552,0.0655442
23808,0.0655267
24064,0.0655089
24320,0.0654915
24576,0.0654726
24832,0.0654557
25088,0.0654388
25344,0.0654216
25600,0.0654047
25856,0.0653888
26112,0.0653739
26368,0.0653564
26624,0.0653414
26880,0.0653264
27136,0.065309
27392,0.0652919
27648,0.0652753
27904,0.0652351
28160,0.0651993
28416,0.0651827
28672,0.0651665
28928,0.0651501
29184,0.0651347
29440,0.0651187
29696,0.0651032
29952,0.0650858
30208,0.0650695
30464,0.0650538
30720,0.0650382
30976,0.0650238
31232,0.0650087
31488,0.0649917
31744,0.0649756
32000,0.0649603
32256,0.0649439
32512,0.0649281
32768,0.0649143
33024,0.0648986
33280,0.0648829
33536,0.0648696
33792,0.064855
34048,0.0648393
34304,0.0648247
34560,0.0648097
34816,0.0647959
35072,0.0647811
35328,0.0647668
35584,0.0647519
35840,0.0647353
36096,0.0647209
36352,0.0647047
36608,0.06469
36864,0.0646741
37120,0.0646616
37376,0.0646466
37632,0.0646305
37888,0.0646148
38144,0.0646014
