reuse_time,counts
1,9101163
2,2685713
3,1826467
4,1264675
5,712044
6,610578
7,513214
8,492666
9,438679
10,439929
11,341521
12,307109
13,306814
14,320597
15,341190
16,384936
17,422128
18,442067
19,412163
20,346949
21,264852
22,211070
23,188146
24,179706
25,184577
26,187127
27,180915
28,164631
29,150955
30,134714
31,119741
32,106913
33,97082
34,84773
35,77905
36,72575
37,70866
38,67494
39,67177
40,66449
41,69091
42,69105
43,72557
44,83300
45,88479
46,100096
47,111387
48,118807
49,126319
50,128777
51,126557
52,122286
53,113972
54,103709
55,92590
56,83091
57,76004
58,68863
59,64009
60,61185
61,59657
62,56882
63,56038
64,53915
65,52673
66,50316
67,47577
68,44603
69,41611
70,38730
71,36104
72,33954
73,31935
74,30531
75,29012
76,27634
77,25746
78,24889
79,24077
80,23330
81,22686
82,22340
83,21797
84,22078
85,22031
86,22525
87,23561
88,23766
89,24599
90,24981
91,26685
92,27301
93,28246
94,29328
95,30346
96,32161
97,33590
98,34404
99,36598
100,38298
101,40439
102,41905
103,43709
104,45909
105,47471
106,48822
107,50902
108,51674
109,53044
110,53962
111,53696
112,53977
113,52976
114,51228
115,49220
116,47617
117,45275
118,42005
119,39868
120,36352
121,34207
122,31344
123,28668
124,26677
125,24511
126,23217
127,21645
128,20929
129,19780
130,19134
131,18311
132,17615
133,16921
134,16200
135,15803
136,15327
137,15267
138,14966
139,14683
140,14631
141,14397
142,14352
143,14204
144,14174
145,13847
146,13818
147,13690
148,13622
149,13386
150,13381
151,12943
152,13126
153,12844
154,12821
155,12767
156,12350
157,12537
158,12154
159,11848
160,11493
161,11373
162,11134
163,11005
164,10506
165,10118
166,9953
167,9770
168,9153
169,8940
170,8661
171,8085
172,8078
173,8110
174,7718
175,7799
176,7697
177,7556
178,7752
179,7785
180,7583
181,7800
182,7961
183,8105
184,8177
185,8372
186,8366
187,8661
188,8933
189,9014
190,9114
191,9292
192,9376
193,9226
194,9220
195,9420
196,9256
197,9216
198,9068
199,9213
200,9008
201,8794
202,8788
203,8895
204,8868
205,8762
206,8699
207,8381
208,8629
209,8612
210,8670
211,8719
212,8894
213,8791
214,8867
215,9002
216,9091
217,9114
218,9205
219,9213
220,9315
221,9471
222,9560
223,9466
224,9479
225,9448
226,9415
227,9628
228,9305
229,9194
230,9249
231,9027
232,8928
233,8577
234,8497
235,8269
236,8210
237,7762
238,7714
239,7431
240,7244
241,7077
242,7083
243,6922
244,6598
245,6384
246,6322
247,6327
248,6080
249,5988
250,6062
251,5702
252,5799
253,5489
254,5523
255,5415
256,5025
258,9762
260,9186
262,8962
264,8774
266,8654
268,8628
270,8361
272,8123
274,7751
276,7493
278,7217
280,7002
282,6581
284,6352
286,6144
288,6121
290,6184
292,6239
294,5937
296,6101
298,6210
300,6155
302,6084
304,6181
306,6081
308,6127
310,5908
312,5935
314,5832
316,5702
318,5521
320,5334
322,5229
324,5299
326,4972
328,5148
330,5137
332,4842
334,4935
336,4895
338,4714
340,4880
342,4701
344,4682
346,4690
348,4797
350,4517
352,4530
354,4641
356,4609
358,4672
360,4430
362,4291
364,4156
366,4275
368,4004
370,3941
372,3755
374,3661
376,3402
378,3381
380,3319
382,3230
384,3107
386,3082
388,3026
390,3030
392,3046
394,2940
396,2947
398,2950
400,2909
402,2907
404,2747
406,2717
408,2880
410,2743
412,2613
414,2614
416,2508
418,2530
420,2575
422,2339
424,2416
426,2478
428,2530
430,2464
432,2565
434,2605
436,2662
438,2616
440,2555
442,2516
444,2556
446,2662
448,2652
450,2653
452,2714
454,2608
456,2660
458,2634
460,2633
462,2559
464,2527
466,2581
468,2514
470,2369
472,2484
474,2459
476,2461
478,2491
480,2434
482,2355
484,2327
486,2254
488,2278
490,2215
492,2230
494,2245
496,2383
498,2330
500,2428
502,2535
504,2624
506,2680
508,2747
510,2672
512,2687
514,2504
516,2488
518,2339
520,2205
522,2089
524,1941
526,1848
528,1741
530,1606
532,1595
534,1554
536,1540
538,1523
540,1569
542,1456
544,1490
546,1375
548,1479
550,1395
552,1384
554,1341
556,1340
558,1329
560,1307
562,1267
564,1228
566,1183
568,1176
570,1201
572,1166
574,1137
576,1217
578,1185
580,1228
582,1266
584,1232
586,1197
588,1143
590,1187
592,1140
594,1180
596,1181
598,1266
600,1157
602,1199
604,1165
606,1207
608,1245
610,1142
612,1225
614,1241
616,1176
618,1177
620,1106
622,1160
624,1050
626,1089
628,1043
630,1100
632,1082
634,1072
636,1084
638,1070
640,1044
642,993
644,1037
646,1021
648,970
650,968
652,976
654,966
656,956
658,954
660,896
662,957
664,954
666,887
668,906
670,953
672,918
674,958
676,1004
678,967
680,924
682,924
684,968
686,899
688,861
690,855
692,899
694,895
696,852
698,910
700,878
702,870
704,875
706,842
708,897
710,851
712,813
714,821
716,834
718,826
720,855
722,878
724,853
726,853
728,803
730,863
732,844
734,741
736,793
738,717
740,811
742,721
744,755
746,792
748,776
750,771
752,733
754,680
756,693
758,702
760,716
762,739
764,730
766,693
768,714
772,1383
776,1415
780,1420
784,1411
788,1491
792,1482
796,1373
800,1472
804,1489
808,1466
812,1445
816,1473
820,1433
824,1452
828,1465
832,1374
836,1437
840,1355
844,1404
848,1399
852,1321
856,1349
860,1346
864,1334
868,1270
872,1337
876,1346
880,1268
884,1370
888,1365
892,1240
896,1250
900,1294
904,1324
908,1349
912,1388
916,1326
920,1348
924,1362
928,1371
932,1390
936,1408
940,1337
944,1243
948,1276
952,1292
956,1375
960,1365
964,1388
968,1472
972,1338
976,1376
980,1356
984,1317
988,1275
992,1119
996,1042
1000,1056
1004,1040
1008,1043
1012,985
1016,973
1020,946
1024,1006
1028,999
1032,921
1036,962
1040,954
1044,950
1048,927
1052,938
1056,935
1060,920
1064,926
1068,843
1072,946
1076,966
1080,842
1084,933
1088,945
1092,972
1096,955
1100,884
1104,887
1108,800
1112,825
1116,824
1120,766
1124,832
1128,793
1132,754
1136,763
1140,717
1144,784
1148,727
1152,720
1156,676
1160,705
1164,724
1168,712
1172,678
1176,729
1180,715
1184,657
1188,703
1192,726
1196,652
1200,690
1204,690
1208,667
1212,660
1216,647
1220,684
1224,646
1228,642
1232,651
1236,721
1240,659
1244,666
1248,724
1252,683
1256,686
1260,718
1264,675
1268,704
1272,689
1276,720
1280,655
1284,703
1288,731
1292,703
1296,706
1300,687
1304,749
1308,684
1312,652
1316,697
1320,681
1324,703
1328,652
1332,686
1336,669
1340,661
1344,671
1348,666
1352,713
1356,684
1360,691
1364,772
1368,713
1372,712
1376,637
1380,697
1384,676
1388,691
1392,655
1396,706
1400,683
1404,681
1408,731
1412,742
1416,718
1420,755
1424,830
1428,863
1432,898
1436,889
1440,952
1444,985
1448,980
1452,1010
1456,920
1460,946
1464,894
1468,820
1472,808
1476,875
1480,797
1484,830
1488,794
1492,825
1496,833
1500,852
1504,741
1508,731
1512,779
1516,717
1520,771
1524,744
1528,672
1532,665
1536,703
1540,769
1544,715
1548,749
1552,755
1556,763
1560,777
1564,774
1568,787
1572,807
1576,832
1580,849
1584,879
1588,899
1592,866
1596,864
1600,796
1604,818
1608,791
1612,751
1616,728
1620,731
1624,699
1628,635
1632,639
1636,605
1640,641
1644,539
1648,593
1652,579
1656,529
1660,523
1664,497
1668,541
1672,508
1676,510
1680,468
1684,454
1688,456
1692,463
1696,461
1700,454
1704,474
1708,407
1712,416
1716,458
1720,445
1724,431
1728,443
1732,425
1736,427
1740,454
1744,441
1748,420
1752,362
1756,474
1760,450
1764,459
1768,453
1772,423
1776,447
1780,394
1784,438
1788,443
1792,442
1800,848
1808,883
1816,912
1824,929
1832,1007
1840,973
1848,991
1856,958
1864,998
1872,911
1880,863
1888,829
1896,810
1904,804
1912,837
1920,868
1928,795
1936,762
1944,749
1952,695
1960,679
1968,663
1976,627
1984,666
1992,670
2000,703
2008,720
2016,715
2024,689
2032,694
2040,735
2048,715
2056,688
2064,632
2072,695
2080,671
2088,703
2096,692
2104,647
2112,697
2120,650
2128,670
2136,656
2144,617
2152,662
2160,674
2168,693
2176,654
2184,664
2192,648
2200,626
2208,645
2216,602
2224,616
2232,687
2240,660
2248,665
2256,611
2264,661
2272,590
2280,637
2288,672
2296,632
2304,588
2312,588
2320,595
2328,592
2336,616
2344,596
2352,593
2360,565
2368,567
2376,598
2384,599
2392,602
2400,607
2408,679
2416,654
2424,625
2432,626
2440,666
2448,617
2456,628
2464,673
2472,675
2480,613
2488,614
2496,600
2504,582
2512,617
2520,616
2528,606
2536,666
2544,646
2552,710
2560,751
2568,824
2576,938
2584,1007
2592,1030
2600,894
2608,832
2616,737
2624,686
2632,745
2640,710
2648,753
2656,784
2664,767
2672,839
2680,795
2688,849
2696,875
2704,861
2712,889
2720,847
2728,806
2736,804
2744,772
2752,781
2760,686
2768,708
2776,670
2784,643
2792,613
2800,624
2808,576
2816,565
2824,546
2832,538
2840,528
2848,502
2856,492
2864,489
2872,492
2880,467
2888,480
2896,487
2904,452
2912,483
2920,471
2928,409
2936,434
2944,422
2952,453
2960,437
2968,430
2976,380
2984,375
2992,408
3000,424
3008,471
3016,458
3024,450
3032,409
3040,429
3048,465
3056,515
3064,456
3072,446
3080,472
3088,445
3096,475
3104,420
3112,450
3120,456
3128,469
3136,429
3144,438
3152,432
3160,390
3168,412
3176,400
3184,426
3192,402
3200,415
3208,378
3216,374
3224,384
3232,415
3240,454
3248,422
3256,448
3264,468
3272,482
3280,468
3288,488
3296,487
3304,474
3312,469
3320,480
3328,485
3336,463
3344,455
3352,506
3360,584
3368,523
3376,535
3384,590
3392,580
3400,573
3408,540
3416,562
3424,546
3432,521
3440,461
3448,477
3456,474
3464,478
3472,462
3480,465
3488,449
3496,414
3504,412
3512,395
3520,403
3528,414
3536,433
3544,436
3552,424
3560,458
3568,479
3576,477
3584,517
3592,504
3600,515
3608,507
3616,484
3624,441
3632,397
3640,385
3648,371
3656,385
3664,382
3672,348
3680,372
3688,343
3696,348
3704,355
3712,357
3720,341
3728,358
3736,353
3744,342
3752,348
3760,358
3768,326
3776,346
3784,330
3792,325
3800,337
3808,368
3816,338
3824,332
3832,301
3840,280
3856,589
3872,641
3888,616
3904,643
3920,628
3936,650
3952,669
3968,659
3984,552
4000,651
4016,611
4032,608
4048,576
4064,570
4080,554
4096,579
4112,612
4128,575
4144,574
4160,527
4176,520
4192,481
4208,501
4224,520
4240,538
4256,514
4272,500
4288,529
4304,518
4320,548
4336,495
4352,546
4368,555
4384,524
4400,542
4416,467
4432,504
4448,497
4464,518
4480,478
4496,520
4512,474
4528,470
4544,480
4560,455
4576,470
4592,476
4608,448
4624,466
4640,466
4656,461
4672,446
4688,444
4704,428
4720,445
4736,441
4752,430
4768,437
4784,434
4800,408
4816,455
4832,481
4848,449
4864,419
4880,419
4896,435
4912,431
