reuse_time,counts
1,2530402
2,859428
3,570096
4,498107
5,434554
6,404249
7,351593
8,302277
9,256435
10,212842
11,177382
12,155433
13,139392
14,130629
15,118940
16,115864
17,112839
18,112801
19,111440
20,108692
21,102151
22,97067
23,90317
24,82706
25,78069
26,72211
27,66819
28,64273
29,61533
30,59304
31,58244
32,57536
33,57603
34,58390
35,58235
36,59381
37,60599
38,60817
39,60696
40,60893
41,60550
42,59256
43,58008
44,55731
45,53389
46,50774
47,47759
48,45058
49,42083
50,39548
51,36840
52,34629
53,32903
54,30602
55,29057
56,27981
57,26517
58,25793
59,24728
60,23670
61,22949
62,22109
63,21448
64,21038
65,20164
66,19803
67,19285
68,18962
69,18665
70,18323
71,18101
72,17897
73,17860
74,17877
75,17496
76,17316
77,17383
78,17006
79,16747
80,16706
81,16455
82,16535
83,16161
84,16013
85,15954
86,15676
87,15647
88,15287
89,14990
90,14345
91,14368
92,13863
93,13705
94,13171
95,12822
96,12159
97,12075
98,11563
99,11291
100,10897
101,10675
102,10380
103,9794
104,9666
105,9503
106,9224
107,9049
108,8842
109,8332
110,8440
111,8064
112,7943
113,7797
114,7650
115,7638
116,7547
117,7514
118,7233
119,7169
120,6930
121,7041
122,6880
123,6707
124,6761
125,6530
126,6590
127,6458
128,6377
129,6316
130,6100
131,6037
132,5945
133,5958
134,5870
135,5716
136,5744
137,5654
138,5447
139,5376
140,5409
141,5259
142,5165
143,5219
144,5093
145,5081
146,5115
147,4892
148,4777
149,4793
150,4557
151,4651
152,4481
153,4552
154,4447
155,4373
156,4347
157,4099
158,3923
159,4017
160,3978
161,3879
162,3812
163,3789
164,3776
165,3715
166,3637
167,3766
168,3812
169,3715
170,3684
171,3739
172,3660
173,3650
174,3616
175,3548
176,3513
177,3516
178,3491
179,3622
180,3354
181,3516
182,3432
183,3389
184,3307
185,3345
186,3334
187,3187
188,3386
189,3092
190,3111
191,3101
192,3026
193,3051
194,2910
195,2768
196,2817
197,2684
198,2692
199,2598
200,2588
201,2680
202,2509
203,2437
204,2445
205,2421
206,2337
207,2512
208,2381
209,2279
210,2320
211,2338
212,2289
213,2350
214,2331
215,2312
216,2333
217,2287
218,2300
219,2262
220,2251
221,2231
222,2168
223,2149
224,2186
225,2153
226,2153
227,2079
228,2076
229,1987
230,1941
231,1980
232,2006
233,1855
234,1944
235,1905
236,1839
237,1794
238,1712
239,1760
240,1737
241,1746
242,1806
243,1780
244,1718
245,1691
246,1645
247,1624
248,1690
249,1624
250,1620
251,1665
252,1605
253,1628
254,1626
255,1569
256,1577
258,3086
260,3173
262,3087
264,3062
266,3004
268,2949
270,2960
272,2944
274,2907
276,2715
278,2799
280,2647
282,2714
284,2586
286,2637
288,2489
290,2470
292,2512
294,2350
296,2375
298,2337
300,2429
302,2277
304,2357
306,2324
308,2233
310,2199
312,2081
314,2086
316,2081
318,2086
320,1961
322,1940
324,2012
326,1933
328,1864
330,1902
332,1856
334,1857
336,1813
338,1869
340,1800
342,1830
344,1898
346,1783
348,1908
350,1891
352,1865
354,1895
356,1894
358,1848
360,1911
362,1808
364,1846
366,1820
368,1772
370,1690
372,1666
374,1556
376,1548
378,1550
380,1579
382,1487
384,1523
386,1449
388,1435
390,1380
392,1373
394,1318
396,1403
398,1302
400,1292
402,1349
404,1301
406,1322
408,1331
410,1248
412,1236
414,1162
416,1152
418,1225
420,1182
422,1159
424,1205
426,1135
428,1103
430,1161
432,1128
434,1130
436,1129
438,1113
