cache_lines,MRC
256,0.0565288
512,0.0544012
768,0.0529082
1024,0.051775
1280,0.0509895
1536,0.050342
1792,0.0497487
2048,0.0491571
2304,0.0488467
2560,0.0485873
2816,0.0483664
3072,0.0481688
3328,0.0480187
3584,0.0478704
3840,0.0477389
4096,0.0476207
4352,0.0474226
4608,0.0472084
4864,0.0469924
5120,0.0467829
5376,0.0465687
5632,0.0463644
5888,0.0460635
6144,0.0457732
6400,0.0455572
6656,0.0453544
6912,0.0451799
7168,0.0451229
7424,0.0450875
7680,0.0450547
7936,0.045023
8192,0.044995
8448,0.0449684
8704,0.0449408
8960,0.044917
9216,0.0448936
9472,0.0448716
9728,0.0448442
9984,0.0448206
10240,0.0447993
10496,0.0447799
10752,0.0447622
11008,0.0447437
11264,0.0446866
11520,0.0446116
11776,0.0445667
12032,0.0445339
12288,0.0445083
12544,0.0444846
12800,0.0444618
13056,0.0444258
13312,0.0443701
13568,0.0442882
13824,0.0442089
14080,0.0441519
14336,0.044106
14592,0.0440643
14848,0.0440244
15104,0.0439841
15360,0.0439489
15616,0.0439187
15872,0.0438897
16128,0.0438626
16384,0.043838
16640,0.0438147
16896,0.0437918
17152,0.043772
17408,0.0437514
17664,0.0437312
17920,0.0437113
18176,0.0436918
18432,0.0436725
18688,0.0436541
18944,0.0436347
19200,0.0436148
19456,0.0435955
19712,0.0435704
19968,0.0435519
20224,0.043534
20480,0.0435164
20736,0.0434998
20992,0.0434838
21248,0.0434686
21504,0.0434549
21760,0.0434416
22016,0.0434287
22272,0.0434146
22528,0.0433991
22784,0.0433857
23040,0.0433738
23296,0.0433502
23552,0.0433234
23808,0.0433013
24064,0.0432828
24320,0.0432654
24576,0.0432476
24832,0.0432308
25088,0.0432132
25344,0.0431962
25600,0.04318
25856,0.0431642
26112,0.043149
26368,0.0431336
26624,0.0431177
26880,0.0431011
27136,0.0430845
27392,0.0430686
27648,0.0430519
27904,0.0430356
28160,0.0430187
28416,0.0429957
28672,0.0429714
28928,0.0429506
29184,0.0429295
29440,0.0429094
29696,0.0428894
29952,0.0428701
30208,0.0428511
30464,0.0428311
30720,0.0428073
30976,0.0427844
31232,0.0427607
31488,0.0427344
31744,0.0427075
32000,0.0426767
32256,0.0426388
32512,0.042602
32768,0.0425657
33024,0.0425286
33280,0.042492
33536,0.0424572
33792,0.0424232
34048,0.0423908
34304,0.0423581
34560,0.0423274
34816,0.0422974
35072,0.0422701
35328,0.0422426
35584,0.0422142
35840,0.0421839
36096,0.042152
36352,0.0421164
36608,0.0420768
36864,0.0418961
37120,0.0415917
37376,0.0412743
37632,0.0409358
37888,0.0406195
38144,0.0403423
38400,0.0400937
38656,0.0398577
38912,0.0396642
39168,0.039491
39424,0.0393295
39680,0.039185
39936,0.0390508
40192,0.0389224
40448,0.038808
40704,0.0386945
40960,0.0384869
41216,0.0379712
41472,0.0372829
41728,0.0365142
41984,0.0355751
42240,0.0346716
42496,0.0338412
42752,0.0330732
43008,0.0324021
43264,0.031812
43520,0.031285
43776,0.0307911
44032,0.0303166
44288,0.029863
44544,0.0294365
44800,0.029025
45056,0.0286212
45312,0.028234
45568,0.0278553
45824,0.0274843
46080,0.0271155
46336,0.0267539
46592,0.0263885
46848,0.0260307
47104,0.0256705
47360,0.0253154
47616,0.0249498
47872,0.024568
48128,0.0241725
48384,0.0237382
48640,0.0232125
48896,0.0225449
49152,0.0218566
49408,0.0213505
49664,0.0208369
49920,0.0203124
50176,0.0197677
50432,0.0191865
50688,0.0186434
50944,0.0180992
51200,0.017535
51456,0.0170232
51712,0.0165572
51968,0.0161153
52224,0.0156795
52480,0.0152108
52736,0.014732
52992,0.0142139
53248,0.0137136
53504,0.0132442
53760,0.0128122
54016,0.0124015
54272,0.0120182
54528,0.0116358
54784,0.0112776
55040,0.0109172
55296,0.0105744
55552,0.0102238
55808,0.00986272
56064,0.00951284
56320,0.00917266
56576,0.00883851
56832,0.00850933
57088,0.00819963
57344,0.0078999
57600,0.0076076
57856,0.007308
58112,0.00701641
58368,0.00672793
58624,0.00643808
58880,0.00616627
