cache_lines,MRC
256,0.0943937
512,0.0922181
768,0.0906088
1024,0.0894992
1280,0.0886034
1536,0.0876764
1792,0.0868129
2048,0.0863095
2304,0.0858982
2560,0.0855403
2816,0.0852209
3072,0.0849409
3328,0.0846788
3584,0.0844437
3840,0.0842388
4096,0.0839813
4352,0.0835867
4608,0.0831816
4864,0.0827845
5120,0.0824022
5376,0.0820234
5632,0.0816219
5888,0.0810537
6144,0.0806303
6400,0.0802533
6656,0.0798961
6912,0.0797635
7168,0.0796962
7424,0.0796326
7680,0.0795706
7936,0.0795166
8192,0.0794674
8448,0.0794158
8704,0.0793708
8960,0.0793252
9216,0.0792828
9472,0.0792362
9728,0.079193
9984,0.0791559
10240,0.0791206
10496,0.0790825
10752,0.0790475
11008,0.0789624
11264,0.0788554
11520,0.0787895
11776,0.0787375
12032,0.0786945
12288,0.0786548
12544,0.0786153
12800,0.0785487
13056,0.0784409
13312,0.0782905
13568,0.0781616
13824,0.0780718
14080,0.0779988
14336,0.0779322
14592,0.0778685
14848,0.0778111
15104,0.077758
15360,0.0777098
15616,0.0776645
15872,0.0776163
16128,0.0775748
16384,0.0775363
16640,0.0775001
16896,0.0774638
17152,0.0774289
17408,0.0773956
17664,0.0773639
17920,0.0773343
18176,0.0773036
18432,0.0772717
18688,0.0772389
18944,0.0772071
19200,0.0771673
19456,0.0771326
19712,0.0771025
19968,0.0770725
20224,0.0770426
20480,0.0770133
20736,0.0769858
20992,0.0769603
21248,0.0769363
21504,0.0769149
21760,0.0768907
22016,0.0768636
22272,0.0768399
22528,0.0768179
22784,0.0767796
23040,0.0767277
23296,0.0766852
23552,0.0766526
23808,0.0766197
24064,0.0765898
24320,0.07656
24576,0.0765278
24832,0.076498
25088,0.0764704
25344,0.0764427
25600,0.0764143
25856,0.0763864
26112,0.0763586
26368,0.0763286
26624,0.0763001
26880,0.0762706
27136,0.0762407
27392,0.0762117
27648,0.076182
27904,0.0761382
28160,0.0760935
28416,0.0760575
28672,0.0760244
28928,0.0759917
29184,0.0759605
29440,0.0759255
29696,0.0758895
29952,0.0758552
30208,0.0758193
30464,0.0757769
30720,0.0757307
30976,0.0756827
