cache_lines,MRC
256,0.152784
512,0.150455
768,0.148787
1024,0.147742
1280,0.146726
1536,0.14527
1792,0.144662
2048,0.144127
2304,0.143663
2560,0.143235
2816,0.142848
3072,0.142476
3328,0.142138
3584,0.141838
3840,0.141497
4096,0.140841
4352,0.140152
4608,0.139462
4864,0.138792
5120,0.138127
5376,0.137426
5632,0.136574
5888,0.135854
6144,0.135183
6400,0.134592
6656,0.134414
6912,0.134305
7168,0.134199
7424,0.1341
7680,0.13401
7936,0.133926
8192,0.133848
8448,0.133768
8704,0.133689
8960,0.133615
9216,0.133536
9472,0.133468
9728,0.133405
9984,0.133341
10240,0.133283
10496,0.133195
10752,0.133035
11008,0.13293
11264,0.132846
11520,0.132775
11776,0.132711
12032,0.132644
12288,0.132535
12544,0.132344
12800,0.132087
13056,0.131877
13312,0.131729
13568,0.131606
13824,0.131499
14080,0.1314
14336,0.131312
14592,0.131229
14848,0.131155
15104,0.131081
15360,0.131006
15616,0.130945
15872,0.130883
16128,0.130826
16384,0.13077
16640,0.130714
16896,0.130663
17152,0.130612
17408,0.13056
17664,0.13051
17920,0.130458
18176,0.130407
18432,0.130343
18688,0.130283
18944,0.130233
19200,0.130183
19456,0.130134
19712,0.130089
19968,0.130044
20224,0.129999
20480,0.129958
20736,0.129916
20992,0.129873
21248,0.129828
21504,0.129788
21760,0.129746
22016,0.129652
22272,0.129566
22528,0.129497
22784,0.129439
23040,0.129383
23296,0.129331
23552,0.129274
23808,0.129218
24064,0.129167
24320,0.129122
24576,0.129074
24832,0.129026
25088,0.128979
25344,0.128928
25600,0.128878
25856,0.128829
26112,0.128778
26368,0.128728
26624,0.128675
26880,0.128598
27136,0.128527
27392,0.12847
27648,0.128415
27904,0.128364
28160,0.128314
28416,0.128258
28672,0.128204
28928,0.128149
29184,0.128088
29440,0.128022
29696,0.12795
29952,0.127874
30208,0.127791
30464,0.127695
30720,0.1276
30976,0.127505
31232,0.127409
31488,0.127315
31744,0.127229
32000,0.127146
32256,0.12707
32512,0.126996
32768,0.126925
33024,0.126855
33280,0.126786
33536,0.126709
33792,0.126624
34048,0.126531
34304,0.126421
34560,0.126081
34816,0.125078
35072,0.124107
35328,0.123021
35584,0.121984
35840,0.12108
36096,0.120277
36352,0.119528
36608,0.118905
36864,0.118345
37120,0.117846
37376,0.117398
37632,0.116977
37888,0.116595
38144,0.116244
38400,0.115844
38656,0.11494
38912,0.113008
39168,0.110807
39424,0.108204
39680,0.105332
39936,0.102688
40192,0.100254
40448,0.098094
40704,0.0962184
40960,0.0945804
41216,0.093083
41472,0.09165
41728,0.0903028
41984,0.0890235
42240,0.0877848
42496,0.0865763
42752,0.0854261
43008,0.0843057
43264,0.0832041
43520,0.0821235
43776,0.0810451
44032,0.0799629
44288,0.0789013
44544,0.077837
44800,0.0767638
45056,0.0756634
45312,0.0745217
45568,0.0733064
45824,0.0719102
46080,0.0701317
46336,0.0679387
46592,0.0662084
46848,0.064665
47104,0.0630244
47360,0.0613213
47616,0.0594967
47872,0.0578216
48128,0.0562292
48384,0.0546354
48640,0.0531247
48896,0.0516265
49152,0.0501266
49408,0.0485168
49664,0.0469426
49920,0.0455148
50176,0.0441705
50432,0.0428984
50688,0.041675
50944,0.0404931
51200,0.0393619
51456,0.0382965
51712,0.0372285
51968,0.036189
52224,0.0351433
52480,0.034058
52736,0.0330231
52992,0.032021
53248,0.0310421
53504,0.0300977
53760,0.0291878
54016,0.02832
54272,0.0274661
54528,0.0266593
54784,0.0258576
55040,0.0249924
55296,0.0241182
55552,0.0232715
55808,0.0224495
56064,0.0216379
56320,0.020868
56576,0.0200916
56832,0.0192967
57088,0.0184845
57344,0.0176938
57600,0.01691
57856,0.0161036
58112,0.0152615
58368,0.0144005
58624,0.0135845
58880,0.0128119
59136,0.0120277
59392,0.0113059
59648,0.0106083
59904,0.00992178
60160,0.00925251
60416,0.00863368
60672,0.00810924
60928,0.00759243
61184,0.00713123
61440,0.00674296
61696,0.00642394
61952,0.00615539
62208,0.0059375
62464,0.00575465
62720,0.00561128
62976,0.00548703
63232,0.00537394
63488,0.00527257
63744,0.00517268
64000,0.00506831
64256,0.00497542
64512,0.00488088
64768,0.00479314
65024,0.00471428
65280,0.00463666
65536,0.00455592
65792,0.00447531
66048,0.00439968
66304,0.00432887
66560,0.00426033
66816,0.00419567
67072,0.00413597
67328,0.00407289
67584,0.0040182
67840,0.00396556
68096,0.0039165
68352,0.00386579
68608,0.00381346
68864,0.00376486
69120,0.00371875
69376,0.00367478
69632,0.00362973
69888,0.0035865
70144,0.00354283
70400,0.00350387
70656,0.00346279
70912,0.00342291
71168,0.00338481
71424,0.00334631
71680,0.0033078
71936,0.00326736
72192,0.00322854
72448,0.0031872
