reuse_time,counts
1,13942901
2,9489584
3,9433694
4,6579467
5,3808805
6,2042359
7,1557751
8,1014916
9,696295
10,535804
11,415898
12,320202
13,259276
14,215557
15,176908
16,145015
17,119822
18,101032
19,90136
20,84493
21,82926
22,82396
23,82110
24,80902
25,77694
26,73497
27,68512
28,62977
29,58174
30,54532
31,51949
32,51359
33,52680
34,56253
35,61222
36,68615
37,79658
38,91597
39,104306
40,119871
41,135832
42,151302
43,163569
44,174055
45,177885
46,176261
47,167281
48,153288
49,134409
50,114517
51,94559
52,76863
53,62437
54,51490
55,43948
56,39790
57,36808
58,35342
59,33962
60,32940
61,32147
62,31188
63,30530
64,30368
65,30467
66,30911
67,31952
68,33443
69,35689
70,37976
71,40883
72,44632
73,47774
74,52141
75,56743
76,60596
77,64033
78,66550
79,68581
80,69661
81,68546
82,66942
83,63787
84,60322
85,56227
86,51608
87,47599
88,42998
89,39103
90,35919
91,32919
92,30476
93,27773
94,25681
95,23613
96,21857
97,19983
98,18037
99,16446
100,14943
101,13493
102,12344
103,11115
104,10255
105,9501
106,8886
107,8472
108,7989
109,7706
110,7600
111,7642
112,7415
113,7822
114,7714
115,7956
116,8465
117,9013
118,9218
119,10093
120,10515
121,11264
122,12178
123,12921
124,13631
125,14348
126,15226
127,15829
128,16447
129,16657
130,16903
131,17148
132,16998
133,17011
134,16785
135,15906
136,15851
137,15121
138,14322
139,13939
140,13001
141,12511
142,11735
143,11326
144,10825
145,10750
146,10458
147,10491
148,10298
149,10446
150,10837
151,11016
152,11370
153,11702
154,12005
155,12673
156,12898
157,13269
158,13825
159,14057
160,14201
161,14298
162,14831
163,14748
164,14313
165,14463
166,14303
167,14237
168,14124
169,13854
170,13897
171,13776
172,13487
173,13389
174,13339
175,12929
176,12555
177,12518
178,12460
179,11955
180,11551
181,11184
182,10764
183,10382
184,9995
185,9366
186,8875
187,8311
188,7525
189,7013
190,6521
191,5957
192,5498
193,5204
194,4621
195,4321
196,3949
197,3535
198,3364
199,3049
200,2956
201,2847
202,2650
203,2453
204,2445
205,2351
206,2259
207,2150
208,2166
209,2092
210,2085
211,2018
212,1978
213,2053
214,2038
215,2028
216,2072
217,2094
218,2081
219,2098
220,2182
221,2271
222,2213
223,2212
224,2243
225,2303
226,2298
227,2392
228,2503
229,2542
230,2539
231,2651
232,2678
233,2805
234,2870
235,2977
236,3021
237,3178
238,3207
239,3325
240,3418
241,3538
242,3598
243,3660
244,3668
245,3850
246,3978
247,4134
248,4128
249,4299
250,4369
251,4510
252,4596
253,4688
254,4829
255,4956
256,4962
258,10428
260,10653
262,10820
264,10851
266,10415
268,10099
270,9593
272,9028
274,8208
276,7158
278,6571
280,5792
282,5121
284,4319
286,3919
288,3494
290,2981
292,2662
294,2492
296,2225
298,2034
300,2031
302,1993
304,1872
306,1839
308,1914
310,1975
312,2027
314,2154
316,2164
318,2325
320,2395
322,2720
324,2698
326,2811
328,2916
330,3161
332,3196
334,3271
336,3347
338,3466
340,3588
342,3487
344,3671
346,3531
348,3577
350,3439
352,3478
354,3174
356,3040
358,2878
360,2680
362,2525
364,2455
366,2296
368,2319
370,2068
372,1938
374,1846
376,1836
378,1765
380,1679
382,1737
384,1641
386,1613
388,1738
390,1743
392,1721
394,1787
396,1756
398,1851
400,1951
402,1933
404,2021
406,2080
408,2091
410,2144
412,2098
414,2196
416,2187
418,2234
420,2236
422,2202
424,2178
426,2071
428,2126
430,2010
432,2018
434,1958
436,1888
438,1808
440,1706
442,1649
444,1553
446,1487
448,1450
450,1409
452,1379
454,1244
456,1195
458,1188
460,1166
462,1135
464,1094
466,1134
468,1115
470,1058
472,1031
474,1103
476,1082
478,1092
480,1042
482,1121
484,1153
486,1183
488,1271
490,1251
492,1275
494,1345
496,1420
498,1456
500,1560
502,1556
504,1659
506,1808
508,1885
510,1957
512,2122
514,2237
516,2248
518,2442
520,2616
522,2730
524,2748
526,2918
528,2978
530,3097
532,3124
534,3192
536,3107
538,3154
540,3099
542,3024
544,2872
546,2788
548,2582
550,2405
552,2267
554,2170
556,1996
558,1936
560,1815
562,1711
564,1550
566,1495
568,1511
570,1431
572,1344
574,1301
576,1309
578,1359
580,1298
582,1303
584,1284
586,1236
588,1229
590,1279
592,1208
594,1239
596,1239
598,1171
600,1208
602,1169
604,1163
606,1154
608,1083
610,1133
612,1057
614,1048
616,1067
618,1103
620,1100
622,1112
624,1172
626,1179
628,1211
630,1218
632,1301
634,1429
636,1459
638,1532
640,1729
642,1778
644,1876
646,2028
648,2112
650,2169
652,2327
654,2361
656,2407
658,2466
660,2604
662,2543
664,2613
666,2605
668,2594
670,2571
672,2457
674,2302
676,2204
678,2327
680,2124
682,1991
684,1924
686,1903
688,1871
690,1831
692,1706
694,1705
696,1682
698,1682
700,1717
702,1701
704,1874
706,1879
708,1875
710,2081
712,2099
714,2188
716,2204
718,2466
720,2583
722,2669
724,2886
726,2976
728,3142
730,3291
732,3345
734,3594
736,3651
738,3830
740,3910
742,3946
744,3976
746,3954
748,3973
750,3997
752,3863
754,3782
756,3708
758,3476
760,3280
762,3134
764,2972
766,2695
768,2599
772,4668
776,4019
780,3367
784,2777
788,2445
792,2188
796,1951
800,1721
804,1665
808,1579
812,1466
816,1390
820,1324
824,1280
828,1230
832,1252
836,1129
840,1123
844,1080
848,1118
852,1008
856,1106
860,1082
864,1125
868,1117
872,1058
876,1131
880,1067
884,980
888,1038
892,1009
896,1001
900,921
904,916
908,889
912,911
916,909
920,940
924,950
928,958
932,969
936,959
940,1003
944,972
948,944
952,1007
956,910
960,895
964,869
968,872
972,882
976,843
980,816
984,802
988,804
992,760
996,757
1000,765
1004,776
1008,791
1012,754
1016,801
1020,805
1024,747
1028,780
1032,782
1036,854
1040,839
1044,813
1048,967
1052,941
1056,987
1060,1091
1064,1006
1068,1111
1072,1159
1076,1142
1080,1138
1084,1162
1088,1122
1092,1135
1096,1015
1100,1018
1104,981
1108,832
1112,898
1116,794
1120,776
1124,751
1128,689
1132,646
1136,667
1140,663
1144,595
1148,623
1152,657
1156,592
1160,579
1164,619
1168,580
1172,618
1176,608
1180,608
1184,531
1188,572
1192,608
1196,596
1200,621
1204,605
1208,603
1212,608
1216,656
1220,703
1224,678
1228,647
1232,672
1236,716
1240,712
1244,670
1248,679
1252,727
1256,702
1260,716
1264,661
1268,611
1272,609
1276,613
1280,636
1284,616
1288,597
1292,632
1296,617
1300,617
1304,660
1308,663
1312,679
1316,679
1320,744
1324,720
1328,708
1332,711
1336,720
1340,711
1344,704
1348,653
1352,683
1356,679
1360,606
1364,592
1368,596
1372,594
1376,576
1380,538
1384,529
1388,549
1392,570
1396,585
1400,526
1404,598
1408,552
1412,578
1416,608
1420,582
1424,612
1428,602
1432,595
1436,597
1440,615
1444,623
1448,633
1452,645
1456,689
1460,714
1464,732
1468,784
1472,912
1476,908
1480,903
1484,1036
1488,1065
1492,1124
1496,1165
1500,1172
1504,1140
1508,1168
1512,1095
1516,1134
1520,1087
1524,986
1528,988
1532,912
1536,773
1540,729
1544,678
1548,625
1552,565
1556,568
1560,508
1564,516
1568,472
1572,470
1576,427
1580,423
1584,416
1588,423
1592,394
1596,402
1600,399
1604,424
1608,434
1612,451
1616,413
1620,443
1624,419
1628,420
1632,396
1636,435
1640,459
1644,438
1648,404
1652,440
1656,413
1660,402
1664,413
1668,415
1672,411
1676,404
1680,394
1684,390
1688,389
1692,374
1696,376
1700,349
1704,326
1708,311
1712,316
