reuse_time,counts
1,7656207
2,4355800
3,2979490
4,1835608
5,1181229
6,803599
7,568291
8,414849
9,315025
10,246086
11,198224
12,166086
13,144776
14,131597
15,123742
16,121730
17,120658
18,123357
19,127374
20,129940
21,130294
22,127874
23,121223
24,112566
25,101337
26,90750
27,80016
28,71848
29,64556
30,60483
31,58494
32,57446
33,57422
34,58451
35,59940
36,61104
37,62090
38,62787
39,63264
40,61891
41,60719
42,58004
43,54992
44,51408
45,47270
46,43128
47,38920
48,34801
49,30927
50,28001
51,25563
52,23093
53,21783
54,20454
55,20381
56,19815
57,20178
58,20581
59,21200
60,21489
61,22166
62,22463
63,23128
64,23520
65,23526
66,23653
67,23470
68,22939
69,23557
70,23414
71,22991
72,22801
73,22742
74,22702
75,22509
76,22681
77,22441
78,22112
79,21916
80,21212
81,20863
82,20253
83,19450
84,18969
85,18080
86,16888
87,16024
88,15132
89,14067
90,13142
91,11981
92,11172
93,10187
94,9406
95,8766
96,8027
97,7393
98,6989
99,6655
100,6478
101,5965
102,5829
103,5898
104,5952
105,5952
106,6103
107,6117
108,6278
109,6270
110,6415
111,6995
112,6944
113,7162
114,7273
115,7513
116,7534
117,7892
118,7959
119,8010
120,7961
121,8137
122,7948
123,7934
124,7802
125,7570
126,7568
127,7154
128,7101
129,6885
130,6591
131,6459
132,5951
133,5734
134,5539
135,5271
136,4999
137,4624
138,4396
139,4196
140,4016
141,3887
142,3666
143,3406
144,3393
145,3356
146,3368
147,3204
148,3185
149,3125
150,3076
151,3139
152,3164
153,3089
154,3110
155,3134
156,3230
157,3179
158,3067
159,3221
160,3106
161,3085
162,3103
163,2944
164,2998
165,3051
166,2954
167,2918
168,2888
169,2869
170,2835
171,2759
172,2703
173,2753
174,2558
175,2484
176,2529
177,2416
178,2400
179,2360
180,2416
181,2474
182,2332
183,2295
184,2255
185,2338
186,2378
187,2422
188,2277
189,2445
190,2347
191,2335
192,2300
193,2432
194,2333
195,2322
196,2294
197,2349
198,2180
199,2288
200,2138
201,2220
202,2133
203,2065
204,2092
205,2128
206,1990
207,1993
208,1999
209,1801
210,1660
211,1714
212,1668
213,1617
214,1560
215,1559
216,1538
217,1440
218,1540
219,1391
220,1357
221,1380
222,1414
223,1428
224,1395
225,1363
226,1437
227,1447
228,1440
229,1459
230,1480
231,1542
232,1578
233,1562
234,1558
235,1661
236,1630
237,1682
238,1790
239,1787
240,1869
241,1923
242,1917
243,1902
244,1951
245,1941
246,2044
247,2075
248,2124
249,2168
250,2077
251,2167
252,2162
253,2161
254,2283
255,2176
256,2143
258,4424
260,4184
262,4172
264,3984
266,3909
268,3769
270,3457
272,3349
274,3136
276,2920
278,2835
280,2650
282,2666
284,2525
286,2518
288,2536
290,2366
292,2519
294,2462
296,2571
298,2691
300,2765
302,2765
304,2833
306,2961
308,2992
310,3148
312,3107
314,3260
316,3392
318,3416
320,3536
322,3485
324,3549
326,3550
328,3575
330,3694
332,3737
334,3762
336,3866
338,4005
340,4060
342,4205
344,4217
346,4262
348,4398
350,4407
352,4360
354,4299
356,4292
358,4112
360,4126
362,3862
364,3656
366,3641
368,3405
370,3231
372,3141
374,2877
376,2667
378,2453
380,2301
382,2182
384,1943
386,1866
388,1750
390,1628
392,1525
394,1502
396,1340
398,1362
400,1307
402,1268
404,1198
406,1134
408,1129
410,1037
412,1018
414,1006
416,964
418,1014
420,933
422,927
424,891
426,929
428,905
430,937
432,993
434,965
436,944
438,956
440,898
442,930
444,946
446,911
448,894
450,857
452,886
454,898
456,789
458,830
460,807
462,859
464,825
466,853
468,803
470,808
472,808
474,789
476,811
478,761
480,765
482,803
484,788
486,761
488,832
490,805
492,817
494,815
496,836
498,834
500,869
502,818
504,833
506,863
508,821
510,859
512,879
514,872
516,869
518,828
520,800
522,846
524,821
526,773
528,793
530,759
532,744
534,722
536,735
538,710
540,660
542,693
544,645
546,609
548,588
550,635
552,640
554,571
556,565
558,592
560,588
562,621
564,570
566,564
568,567
570,616
572,615
574,590
576,575
578,542
580,574
582,566
584,585
586,550
588,626
590,629
592,620
594,626
596,598
598,654
600,593
602,641
604,559
606,606
608,585
610,621
612,599
614,608
616,599
618,536
620,595
622,644
624,647
626,651
628,603
630,585
632,565
634,563
636,572
638,616
640,608
642,616
644,566
646,592
648,581
650,602
652,544
654,551
656,583
658,592
660,555
662,587
664,525
666,583
668,575
670,545
672,557
674,592
676,558
678,555
680,579
682,577
684,614
686,611
688,587
690,594
692,668
694,637
696,666
698,635
700,670
702,691
704,688
706,723
708,710
710,680
712,709
714,657
716,688
718,717
720,705
722,700
724,670
726,680
728,670
730,670
732,650
734,570
736,568
738,544
740,533
742,555
744,516
746,501
748,528
750,486
752,497
754,415
756,427
758,409
760,451
762,402
764,361
766,389
768,378
772,733
776,770
780,686
784,673
788,607
792,569
796,590
800,599
804,578
808,557
812,559
816,552
820,506
824,521
828,488
832,495
836,512
840,476
844,508
848,531
852,465
856,453
860,449
864,489
868,437
872,425
876,457
880,436
884,439
888,414
892,446
896,427
900,415
904,441
908,419
912,424
916,387
920,369
924,357
928,386
932,389
936,390
940,351
944,395
948,350
952,368
956,338
960,359
964,344
968,352
972,365
976,366
980,378
984,364
988,384
992,406
996,374
1000,437
1004,398
1008,434
1012,377
1016,438
1020,436
1024,469
1028,441
1032,469
1036,520
1040,510
1044,531
1048,516
1052,551
1056,499
1060,521
1064,543
1068,557
1072,558
1076,576
1080,521
1084,552
1088,537
1092,505
1096,509
1100,451
1104,453
1108,433
1112,426
1116,404
1120,407
1124,351
1128,368
1132,380
1136,334
1140,338
1144,315
1148,332
1152,302
1156,317
1160,299
1164,251
1168,272
1172,283
1176,276
1180,272
1184,282
1188,251
1192,240
1196,240
1200,242
1204,210
1208,245
1212,234
1216,268
1220,258
1224,219
1228,253
1232,240
1236,222
1240,242
1244,213
1248,231
1252,227
1256,252
1260,239
1264,222
1268,249
1272,217
