cache_lines,MRC
256,0.0521819
512,0.0500108
768,0.0484951
1024,0.0474314
1280,0.0466375
1536,0.0460071
1792,0.0452939
2048,0.0449242
2304,0.0446345
2560,0.0443925
2816,0.0441858
3072,0.0440054
3328,0.0438491
3584,0.0437195
3840,0.0436024
4096,0.0434991
4352,0.0433497
4608,0.043155
4864,0.0429607
5120,0.0427732
5376,0.04259
5632,0.0424086
5888,0.0422092
6144,0.0418849
6400,0.0416756
6656,0.0414915
6912,0.041317
7168,0.0412314
7424,0.0411992
7680,0.0411707
7936,0.0411416
8192,0.0411147
8448,0.0410907
8704,0.0410672
8960,0.0410452
9216,0.041024
9472,0.0410035
9728,0.0409819
9984,0.0409575
10240,0.0409376
10496,0.0409192
10752,0.0409025
11008,0.0408849
11264,0.0408674
11520,0.0407939
11776,0.0407368
12032,0.0407015
12288,0.0406737
12544,0.0406519
12800,0.0406315
13056,0.0406084
13312,0.040573
13568,0.0405163
13824,0.0404384
14080,0.0403698
14336,0.0403213
14592,0.0402818
14848,0.0402436
15104,0.0402069
15360,0.040172
15616,0.04014
15872,0.0401121
16128,0.0400855
16384,0.040059
16640,0.040036
16896,0.0400155
17152,0.0399955
17408,0.0399765
17664,0.0399578
17920,0.0399386
18176,0.0399215
18432,0.039905
18688,0.039888
18944,0.0398708
19200,0.0398525
19456,0.0398338
19712,0.0398166
19968,0.0397928
20224,0.0397761
20480,0.0397602
20736,0.0397436
20992,0.0397282
21248,0.0397141
21504,0.039701
21760,0.0396888
22016,0.0396773
22272,0.0396663
22528,0.0396542
22784,0.0396389
23040,0.0396263
23296,0.0396149
23552,0.0395978
23808,0.0395706
24064,0.0395488
24320,0.0395316
24576,0.0395158
24832,0.0394997
25088,0.0394848
25344,0.0394692
25600,0.0394538
25856,0.0394386
26112,0.0394249
26368,0.0394108
26624,0.0393972
26880,0.0393825
27136,0.0393673
27392,0.039352
27648,0.0393375
27904,0.0393224
28160,0.0393071
28416,0.0392917
28672,0.0392753
28928,0.0392499
29184,0.0392244
29440,0.0392045
29696,0.0391854
29952,0.0391668
30208,0.039149
30464,0.0391281
30720,0.0391067
30976,0.0390866
31232,0.0390657
31488,0.039042
31744,0.0390164
32000,0.0389895
32256,0.0389602
32512,0.0389289
32768,0.0388953
33024,0.0388607
33280,0.0388276
33536,0.0387946
33792,0.0387616
34048,0.0387326
34304,0.0387032
34560,0.038676
34816,0.0386502
35072,0.0386252
35328,0.0386013
35584,0.0385773
35840,0.0385525
36096,0.0385258
36352,0.0384975
36608,0.0384676
36864,0.0384335
37120,0.0383176
37376,0.0380347
37632,0.0377638
37888,0.0374677
38144,0.0371751
38400,0.0369219
38656,0.0366973
38912,0.0364822
39168,0.0362984
39424,0.0361379
39680,0.035986
39936,0.0358492
40192,0.0357268
40448,0.0356096
40704,0.035504
40960,0.0354039
41216,0.0352849
41472,0.0350076
41728,0.0344331
41984,0.0337939
42240,0.0330568
42496,0.0322068
42752,0.0314172
43008,0.0306866
43264,0.0300247
43520,0.0294446
43776,0.0289311
44032,0.0284684
44288,0.0280298
44544,0.0276055
44800,0.0272076
45056,0.0268249
45312,0.0264535
45568,0.0260892
45824,0.0257382
46080,0.0253951
46336,0.0250621
46592,0.0247259
46848,0.0243983
47104,0.0240685
47360,0.0237423
47616,0.0234178
47872,0.023093
48128,0.0227649
48384,0.0224206
48640,0.0220609
48896,0.0216676
49152,0.0211973
49408,0.0205949
49664,0.0199688
49920,0.019496
50176,0.0190105
50432,0.0185081
50688,0.017982
50944,0.0174315
51200,0.0169232
51456,0.0164344
51712,0.0159401
51968,0.0154757
52224,0.0150064
52480,0.0145362
52736,0.0140409
52992,0.0135507
53248,0.0130958
53504,0.0126705
53760,0.0122681
54016,0.0118783
54272,0.0115005
54528,0.0111362
54784,0.0107927
55040,0.0104468
55296,0.0101158
55552,0.00977556
55808,0.00942562
56064,0.00908409
56320,0.00876282
56576,0.00845253
56832,0.00815142
57088,0.00785333
57344,0.00756662
57600,0.00729604
57856,0.00703462
58112,0.0067731
58368,0.00650806
58624,0.0062529
58880,0.00599623
59136,0.00574352
59392,0.00550303
59648,0.00525549
59904,0.00500693
60160,0.00475074
60416,0.0044987
60672,0.00424426
60928,0.00399206
61184,0.00372584
61440,0.00346355
61696,0.00322249
61952,0.00297272
62208,0.0027432
62464,0.00252214
62720,0.00231273
62976,0.00211126
63232,0.00193977
63488,0.00178015
63744,0.00164411
64000,0.00153938
64256,0.00145734
64512,0.0013995
64768,0.00135836
65024,0.00133261
65280,0.00131202
65536,0.00129249
65792,0.00127486
66048,0.00125705
66304,0.0012422
66560,0.00122611
66816,0.00121185
67072,0.00119792
67328,0.00118342
67584,0.00116818
67840,0.00115215
68096,0.00113828
68352,0.00112425
68608,0.00111249
68864,0.00110022
69120,0.00108756
69376,0.00107614
69632,0.0010648
69888,0.00105401
70144,0.00104243
70400,0.00103197
70656,0.00102156
70912,0.00101166
71168,0.00100041
71424,0.000989905
71680,0.000980286
71936,0.00097066
72192,0.000960931
72448,0.000950562
72704,0.000940996
72960,0.000931874
73216,0.000922128
73472,0.000912179
73728,0.000901412
73984,0.000890321
74240,0.000879525
74496,0.000868561
74752,0.000857312
75008,0.000845784
75264,0.000835582
75520,0.000826014
75776,0.000816595
76032,0.000807772
76288,0.000798947
76544,0.000790479
76800,0.000782664
77056,0.000774279
77312,0.000765916
77568,0.000757994
77824,0.000749996
78080,0.000742525
78336,0.000734578
78592,0.000727647
78848,0.00072079
79104,0.0007143
79360,0.000707741
79616,0.000701648
79872,0.000695834
80128,0.000689873
80384,0.000683631
