cache_lines,MRC
256,0.0362646
512,0.0308423
768,0.0276785
1024,0.0230801
1280,0.0199863
1536,0.0172495
1792,0.0158597
2048,0.0149576
2304,0.0144699
2560,0.0141029
2816,0.0137613
3072,0.0126693
3328,0.0121766
3584,0.0118621
3840,0.0113063
4096,0.0110253
4352,0.0108065
4608,0.0105446
4864,0.0102325
5120,0.010088
5376,0.00984982
5632,0.00966403
5888,0.00941244
6144,0.00911584
6400,0.00895049
6656,0.00880906
6912,0.0086411
7168,0.00849748
7424,0.0082989
7680,0.00803515
7936,0.00739014
8192,0.00722078
8448,0.00701429
8704,0.00653978
8960,0.00633432
9216,0.0062113
9472,0.00605146
9728,0.0058641
9984,0.00575018
10240,0.00557876
10496,0.00540876
10752,0.00524961
11008,0.00507945
11264,0.00492803
11520,0.00476842
11776,0.00438322
12032,0.00420474
12288,0.00410923
12544,0.00400561
12800,0.00392789
13056,0.00384279
13312,0.00376916
13568,0.00369078
13824,0.00343113
14080,0.00334165
14336,0.0032589
14592,0.00319156
14848,0.00311759
15104,0.0030487
15360,0.00299658
15616,0.00292271
15872,0.00286872
16128,0.00273882
16384,0.00267642
16640,0.00262686
16896,0.00257422
17152,0.00251784
17408,0.00247373
17664,0.00242373
17920,0.00237977
18176,0.00232812
18432,0.00226466
18688,0.00221633
18944,0.00216725
19200,0.00212469
19456,0.0020616
19712,0.0020168
19968,0.0019657
20224,0.00191083
20480,0.00185325
20736,0.00175571
20992,0.0017152
21248,0.00165685
21504,0.00159847
21760,0.00154582
22016,0.00149868
22272,0.00145842
22528,0.0014153
22784,0.00137812
23040,0.00133097
23296,0.00129133
23552,0.00124973
23808,0.00121774
24064,0.00117787
24320,0.00113638
24576,0.00110398
24832,0.0010703
25088,0.00103964
25344,0.00101518
25600,0.000994238
25856,0.000973052
26112,0.000956141
26368,0.000937969
26624,0.000918491
26880,0.000901584
27136,0.000885667
27392,0.000865888
27648,0.000846112
27904,0.000827172
28160,0.000813743
28416,0.000798168
28672,0.00078237
28928,0.00076693
29184,0.000752052
29440,0.000741917
29696,0.000734784
29952,0.000726416
30208,0.000717445
30464,0.000707775
30720,0.000698318
30976,0.000685595
31232,0.000673448
31488,0.000664081
31744,0.000655606
32000,0.000648102
32256,0.000641575
32512,0.000629351
32768,0.000621592
33024,0.000611444
33280,0.000600168
33536,0.000593242
33792,0.000585601
34048,0.000576027
34304,0.000565677
34560,0.000558088
34816,0.000547981
35072,0.000539554
35328,0.000533869
35584,0.000528208
35840,0.000522125
36096,0.000514267
36352,0.000508316
36608,0.000503867
36864,0.000497859
37120,0.000491237
37376,0.000484603
37632,0.000475774
37888,0.000469216
38144,0.000463023
38400,0.000458232
38656,0.000448427
38912,0.000437468
39168,0.000431528
39424,0.000424891
39680,0.000419266
39936,0.000414284
40192,0.000409014
40448,0.000401903
40704,0.000394338
40960,0.000387427
41216,0.000381179
41472,0.000375422
41728,0.000370762
41984,0.000363621
42240,0.000355042
42496,0.000345626
42752,0.000337036
43008,0.000329397
43264,0.000322689
43520,0.000316167
43776,0.000311671
44032,0.000307455
44288,0.000304214
44544,0.000300122
44800,0.000296157
45056,0.000288201
45312,0.000279069
45568,0.000271914
45824,0.000267736
46080,0.000259228
46336,0.000253127
46592,0.000249309
46848,0.000245077
47104,0.000240799
47360,0.000235847
47616,0.000231101
47872,0.000225503
48128,0.00022144
48384,0.000216332
48640,0.000209777
48896,0.000204098
49152,0.000199687
49408,0.000194335
49664,0.000190226
49920,0.000186831
50176,0.000181074
50432,0.00017582
50688,0.000172265
50944,0.000169827
51200,0.00016664
51456,0.000163236
51712,0.000159192
51968,0.000153506
52224,0.000148226
52480,0.000142654
52736,0.000136524
52992,0.000133197
53248,0.000129994
53504,0.000128299
53760,0.000127495
54016,0.000124125
54272,0.000119992
54528,0.000115187
54784,0.000109681
55040,0.000105793
55296,0.000100902
55552,9.74872e-05
55808,9.4405e-05
56064,9.11607e-05
56320,8.82101e-05
56576,8.55271e-05
56832,8.38178e-05
57088,8.23618e-05
57344,7.95434e-05
57600,7.64815e-05
57856,7.24606e-05
58112,7.01042e-05
58368,6.95026e-05
58624,6.86794e-05
58880,6.48195e-05
59136,6.19634e-05
59392,5.96028e-05
59648,5.94626e-05
59904,5.93978e-05
60160,5.91333e-05
60416,5.87446e-05
60672,5.70078e-05
60928,5.52852e-05
61184,5.45904e-05
61440,5.34482e-05
61696,5.22295e-05
61952,4.97115e-05
62208,4.94582e-05
62464,4.78679e-05
62720,4.76736e-05
62976,4.73497e-05
63232,4.70259e-05
63488,4.62486e-05
63744,4.61838e-05
64000,4.57951e-05
64256,4.56008e-05
64512,4.43972e-05
64768,4.30098e-05
65024,4.2759e-05
65280,4.26212e-05
65536,4.23621e-05
65792,4.21678e-05
66048,4.21678e-05
66304,4.20382e-05
66560,4.17791e-05
66816,4.17791e-05
67072,4.15848e-05
67328,4.15789e-05
67584,4.13257e-05
67840,4.10081e-05
68096,4.06201e-05
68352,4.06132e-05
68608,4.05484e-05
68864,4.03541e-05
69120,4.02893e-05
69376,4.01598e-05
69632,4.0095e-05
69888,3.99323e-05
70144,3.97711e-05
70400,3.97063e-05
70656,3.95062e-05
70912,3.92592e-05
71168,3.92529e-05
71424,3.92308e-05
71680,3.91881e-05
71936,3.91881e-05
72192,3.91234e-05
72448,3.90586e-05
72704,3.90586e-05
72960,3.90078e-05
73216,3.89938e-05
73472,3.89089e-05
73728,3.87995e-05
73984,3.87995e-05
74240,3.83461e-05
74496,3.83461e-05
74752,3.83461e-05
75008,3.82165e-05
75264,3.79574e-05
75520,3.7819e-05
75776,3.77631e-05
76032,3.76335e-05
76288,3.76335e-05
76544,3.76335e-05
76800,3.76335e-05
77056,3.75688e-05
77312,3.7504e-05
77568,3.74392e-05
77824,3.73097e-05
78080,3.73097e-05
78336,3.72452e-05
78592,3.71154e-05
78848,3.70506e-05
79104,3.66988e-05
79360,3.65258e-05
79616,3.64028e-05
79872,3.64028e-05
80128,3.62733e-05
80384,3.62085e-05
80640,3.62085e-05
80896,3.62085e-05
81152,3.62085e-05
81408,3.62085e-05
81664,3.62085e-05
81920,3.62085e-05
82176,3.58846e-05
82432,3.56255e-05
82688,3.56255e-05
82944,3.56255e-05
83200,3.56255e-05
83456,3.5467e-05
83712,3.48482e-05
83968,3.43948e-05
84224,3.42005e-05
84480,3.40795e-05
84736,3.40709e-05
84992,3.40709e-05
85248,3.40062e-05
85504,3.40062e-05
85760,3.39544e-05
86016,3.39414e-05
86272,3.39414e-05
86528,3.38766e-05
86784,3.38766e-05
87040,3.38118e-05
87296,3.33298e-05
87552,3.32937e-05
87808,3.30772e-05
88064,3.30346e-05
88320,3.26108e-05
88576,3.24516e-05
88832,3.23411e-05
89088,3.2322e-05
89344,3.20279e-05
89600,3.15447e-05
89856,3.12864e-05
90112,3.11107e-05
90368,3.10265e-05
90624,3.10265e-05
90880,3.10265e-05
91136,3.10265e-05
91392,3.10265e-05
91648,3.09618e-05
91904,3.09329e-05
92160,3.08713e-05
92416,3.08322e-05
92672,3.08322e-05
92928,3.06379e-05
93184,3.06379e-05
93440,3.06219e-05
93696,3.05731e-05
93952,3.05731e-05
94208,3.02492e-05
94464,3.02492e-05
94720,3.02492e-05
94976,3.01845e-05
95232,3.01718e-05
95488,3.01197e-05
95744,3.00554e-05
96000,2.98606e-05
96256,2.9839e-05
96512,2.97958e-05
96768,2.97958e-05
97024,2.97958e-05
97280,2.94242e-05
97536,2.89538e-05
97792,2.89058e-05
98048,2.8889e-05
98304,2.8889e-05
98560,2.8889e-05
98816,2.8889e-05
