cache_lines,MRC
256,0.0256639
512,0.0227246
768,0.0211412
1024,0.0190496
1280,0.0164716
1536,0.0147335
1792,0.0130689
2048,0.0124821
2304,0.0113986
2560,0.0110622
2816,0.0108681
3072,0.0107099
3328,0.0105139
3584,0.00962507
3840,0.0093546
4096,0.00902311
4352,0.00888072
4608,0.00846721
4864,0.00827373
5120,0.0082013
5376,0.0081349
5632,0.00782517
5888,0.00772109
6144,0.00763251
6400,0.00756463
6656,0.00740647
6912,0.00722563
7168,0.00715067
7424,0.00694996
7680,0.00685175
7936,0.00676051
8192,0.00669933
8448,0.0066308
8704,0.00657232
8960,0.00650704
9216,0.00641304
9472,0.00633777
9728,0.00588003
9984,0.00573564
10240,0.00565537
10496,0.00554078
10752,0.00543539
11008,0.00515138
11264,0.00505384
11520,0.00496539
11776,0.00489957
12032,0.00483231
12288,0.00472005
12544,0.0046294
12800,0.00458725
13056,0.00449422
13312,0.00437335
13568,0.00425444
13824,0.00417625
14080,0.00406423
14336,0.00398597
14592,0.0038895
14848,0.00379509
15104,0.00361019
15360,0.00340134
15616,0.00334778
15872,0.00327079
16128,0.00321136
16384,0.0031697
16640,0.0031274
16896,0.00308307
17152,0.00302866
17408,0.00298633
17664,0.0028956
17920,0.00276187
18176,0.00270809
18432,0.00265517
18688,0.00261574
18944,0.00256912
19200,0.00252057
19456,0.00247422
19712,0.00243471
19968,0.00239287
20224,0.00235371
20480,0.00232198
20736,0.00227102
20992,0.00223747
21248,0.00220965
21504,0.00213911
21760,0.00208226
22016,0.00204488
22272,0.00201101
22528,0.00198307
22784,0.00194883
23040,0.00191358
23296,0.0018809
23552,0.00184001
23808,0.00181248
24064,0.00177325
24320,0.00173934
24576,0.00171368
24832,0.00168429
25088,0.00165458
25344,0.00161444
25600,0.00158254
25856,0.00154925
26112,0.00152197
26368,0.00148415
26624,0.00145364
26880,0.00138323
27136,0.00135512
27392,0.00132046
27648,0.00128043
27904,0.00124271
28160,0.0012013
28416,0.00117141
28672,0.00114303
28928,0.0011209
29184,0.00109431
29440,0.00106525
29696,0.00103908
29952,0.00101013
30208,0.000984706
30464,0.000960034
30720,0.000935818
30976,0.000914731
31232,0.000892681
31488,0.00086125
31744,0.000836714
32000,0.000815092
32256,0.000794563
32512,0.000776904
32768,0.000757666
33024,0.000744317
33280,0.000730827
33536,0.000719242
33792,0.000707138
34048,0.000694707
34304,0.000682451
34560,0.000672279
34816,0.000661106
35072,0.000649079
35328,0.000635713
35584,0.00062481
35840,0.000611566
36096,0.000599934
36352,0.000592568
36608,0.00058379
36864,0.000574417
37120,0.000565124
37376,0.000556522
37632,0.000546955
37888,0.000541114
38144,0.000534927
38400,0.000529772
38656,0.00052429
38912,0.000517977
39168,0.000511848
39424,0.000506079
39680,0.000501948
39936,0.00049687
40192,0.00049181
40448,0.00048583
40704,0.000481372
40960,0.000476029
41216,0.000469616
41472,0.000462466
41728,0.000457054
41984,0.000451272
42240,0.000447376
42496,0.000443507
42752,0.000439202
43008,0.000434795
43264,0.000431424
43520,0.000428022
43776,0.000423404
44032,0.000418741
44288,0.000414216
44544,0.00040975
44800,0.00040614
45056,0.000402516
45312,0.000399002
45568,0.000395642
45824,0.000392065
46080,0.00038888
46336,0.000386026
46592,0.000383084
46848,0.000380153
47104,0.000376922
47360,0.000373827
47616,0.000369501
47872,0.00036595
48128,0.000362335
48384,0.000359289
48640,0.000356432
48896,0.000353463
49152,0.000350723
49408,0.000347646
49664,0.000344811
49920,0.000342265
50176,0.0003401
50432,0.000337393
50688,0.000332281
50944,0.000327852
51200,0.000321828
51456,0.000316286
51712,0.000311589
51968,0.000307686
52224,0.000303973
52480,0.000301239
52736,0.000298287
52992,0.000294939
53248,0.000291369
53504,0.000287953
53760,0.000283503
54016,0.000280023
54272,0.000276137
54528,0.000272702
54784,0.000269098
55040,0.000266017
55296,0.000262765
55552,0.000258945
55808,0.000255048
56064,0.000250663
56320,0.000245591
56576,0.000241682
56832,0.000238023
57088,0.000235078
57344,0.000230999
57600,0.000228171
57856,0.000225706
58112,0.000223412
58368,0.000221415
58624,0.000218932
58880,0.000216783
59136,0.00021446
59392,0.000211714
59648,0.000209506
59904,0.000205594
60160,0.000201669
