cache_lines,MRC
256,0.0456315
512,0.0431579
768,0.0376423
1024,0.0356084
1280,0.0341809
1536,0.0316884
1792,0.0297683
2048,0.0288053
2304,0.0284049
2560,0.0280428
2816,0.027571
3072,0.0271994
3328,0.0264796
3584,0.0260726
3840,0.0259512
4096,0.0258343
4352,0.0251366
4608,0.0249742
4864,0.0249367
5120,0.0248712
5376,0.0248376
5632,0.024792
5888,0.0247694
6144,0.0247226
6400,0.0247103
6656,0.0246973
6912,0.0246752
7168,0.0246527
7424,0.024633
7680,0.0246254
7936,0.024597
8192,0.024584
8448,0.0245736
8704,0.0245682
8960,0.0245636
9216,0.0245497
9472,0.0245321
9728,0.0245139
9984,0.0244971
10240,0.0244805
10496,0.0244539
10752,0.0244193
11008,0.0243925
11264,0.0243736
11520,0.024354
11776,0.0243375
12032,0.0243218
12288,0.0243082
12544,0.0242966
12800,0.0242862
13056,0.0242768
13312,0.0242574
13568,0.024241
13824,0.0242192
14080,0.0242023
14336,0.0241877
14592,0.0241724
14848,0.0241554
15104,0.024142
15360,0.0241295
15616,0.0241178
15872,0.0241044
16128,0.024091
16384,0.0240766
16640,0.0240657
16896,0.0240556
17152,0.024043
17408,0.0240293
17664,0.024018
17920,0.024005
18176,0.0239876
18432,0.0239686
18688,0.0239442
18944,0.0239318
19200,0.0239172
19456,0.023865
19712,0.0238429
19968,0.0238301
20224,0.0238193
20480,0.0238098
20736,0.0237998
20992,0.0237904
21248,0.0237793
21504,0.0237692
21760,0.0237591
22016,0.0237468
22272,0.0237312
22528,0.0237195
22784,0.0237098
23040,0.0237006
23296,0.0236924
23552,0.0236851
23808,0.0236778
24064,0.0236702
24320,0.0236537
24576,0.0235167
24832,0.0234661
25088,0.0234555
25344,0.0234287
25600,0.0234102
25856,0.0233929
26112,0.0233766
26368,0.0233687
26624,0.0233628
26880,0.0233558
27136,0.0233484
27392,0.0233408
27648,0.0233338
27904,0.0233238
28160,0.0233086
28416,0.0232954
28672,0.0232592
28928,0.0232113
29184,0.023204
29440,0.0231927
29696,0.0231803
29952,0.0231696
30208,0.0231584
30464,0.0231488
30720,0.0231414
30976,0.0231344
31232,0.0231282
31488,0.0231216
31744,0.0231144
32000,0.0231065
32256,0.0231
32512,0.0230915
32768,0.0230839
33024,0.0230767
33280,0.023069
33536,0.0230596
33792,0.0230505
34048,0.0230436
34304,0.0230343
34560,0.0230267
34816,0.0230193
35072,0.0230106
35328,0.0229987
35584,0.0229856
35840,0.0229721
36096,0.0229641
36352,0.0229556
36608,0.0229473
36864,0.0229392
37120,0.0229303
37376,0.0229204
37632,0.0229095
37888,0.0229002
38144,0.0228915
38400,0.0228818
38656,0.0228733
38912,0.0228644
39168,0.0228543
39424,0.0228467
39680,0.0228374
39936,0.0228279
40192,0.0228192
40448,0.0228082
40704,0.0227972
40960,0.0227855
41216,0.0227742
41472,0.0227642
41728,0.0227546
41984,0.0227464
42240,0.0227383
42496,0.0227281
42752,0.0227145
43008,0.0227042
43264,0.0226953
43520,0.0226883
43776,0.0226804
44032,0.0226735
44288,0.0226668
44544,0.0226591
44800,0.0226518
45056,0.0226432
45312,0.0226337
45568,0.0226252
45824,0.0226175
46080,0.0226082
46336,0.0225995
46592,0.0225885
46848,0.0225752
47104,0.0225655
47360,0.0225564
47616,0.0225493
47872,0.02254
48128,0.0225259
48384,0.0225122
48640,0.0224964
48896,0.0224818
49152,0.0224755
49408,0.022468
49664,0.0224629
49920,0.0224589
50176,0.0224522
50432,0.0224476
50688,0.0224412
50944,0.0224344
51200,0.0224302
51456,0.0224248
51712,0.0224183
51968,0.0224138
52224,0.0224085
52480,0.0224017
52736,0.022397
52992,0.0223916
53248,0.0223858
53504,0.0223804
53760,0.022375
54016,0.0223687
54272,0.0223629
54528,0.0223579
54784,0.022352
55040,0.0223469
55296,0.0223417
55552,0.0223363
55808,0.0223308
56064,0.022325
56320,0.0223173
56576,0.0223093
56832,0.0223022
57088,0.0222931
57344,0.0222861
57600,0.0222816
57856,0.0222752
58112,0.0222695
58368,0.0222647
58624,0.0222589
58880,0.0222539
59136,0.0222498
59392,0.0222431
59648,0.0222381
59904,0.0222337
60160,0.0222278
60416,0.0222226
60672,0.0222185
60928,0.0222134
61184,0.0222082
61440,0.0222035
61696,0.0221976
61952,0.0221919
62208,0.0221871
62464,0.0221812
62720,0.0221761
62976,0.0221708
63232,0.0221656
63488,0.0221607
63744,0.0221554
64000,0.0221503
64256,0.0221453
64512,0.0221406
64768,0.0221349
65024,0.0221291
65280,0.0221238
65536,0.0221183
65792,0.0221125
66048,0.0221079
66304,0.0221026
66560,0.0220957
66816,0.02209
67072,0.0220846
67328,0.0220776
67584,0.0220729
67840,0.0220671
68096,0.0220615
68352,0.0220563
68608,0.0220506
68864,0.022044
69120,0.0220383
69376,0.0220329
69632,0.0220267
69888,0.0220219
70144,0.0220152
70400,0.0220094
70656,0.0220045
70912,0.0219863
71168,0.0219605
71424,0.0219544
71680,0.0219463
71936,0.021938
72192,0.0219298
72448,0.0219211
72704,0.0219128
72960,0.0219056
73216,0.0218966
73472,0.0218879
73728,0.0218807
73984,0.0218725
74240,0.0218643
74496,0.021856
74752,0.0218436
75008,0.0218274
75264,0.0218117
75520,0.0217957
75776,0.0217795
76032,0.0217636
76288,0.0217472
76544,0.021732
76800,0.021716
77056,0.0216997
77312,0.0216838
77568,0.0216679
77824,0.0216509
78080,0.021636
78336,0.0216207
78592,0.0216043
78848,0.0215891
79104,0.021573
79360,0.0215561
79616,0.0215398
79872,0.0215241
80128,0.0215074
80384,0.0214906
80640,0.0214743
80896,0.0214573
81152,0.0214394
81408,0.021423
81664,0.0214049
81920,0.0213876
82176,0.0213688
82432,0.0213492
82688,0.0213331
82944,0.0213077
83200,0.0212836
83456,0.0212666
83712,0.0212464
83968,0.0212279
84224,0.0212099
84480,0.0211902
84736,0.0211694
84992,0.0211507
85248,0.0211311
85504,0.0211117
85760,0.0210936
86016,0.0210741
86272,0.0210559
86528,0.021037
86784,0.0210177
87040,0.0209988
87296,0.0209772
87552,0.0209559
87808,0.0209341
88064,0.0209101
88320,0.0208841
88576,0.020857
88832,0.0208303
89088,0.0208015
89344,0.0207694
89600,0.0207402
89856,0.0207118
90112,0.020691
90368,0.0206679
90624,0.0206467
90880,0.0206252
91136,0.0206026
91392,0.0205808
91648,0.0205588
91904,0.0205346
92160,0.0205107
92416,0.0204874
92672,0.0204622
92928,0.0204386
93184,0.0204134
93440,0.0203887
93696,0.0203624
93952,0.0203374
94208,0.0203139
94464,0.0202848
94720,0.0202456
94976,0.0202083
95232,0.0201673
95488,0.0201265
95744,0.0200874
96000,0.0200494
96256,0.0200101
96512,0.0199722
