cache_lines,MRC
256,0.0560075
512,0.0527848
768,0.0467147
1024,0.0442631
1280,0.0423939
1536,0.0391733
1792,0.0368763
2048,0.0359952
2304,0.0356073
2560,0.0348266
2816,0.0342087
3072,0.0336693
3328,0.0327827
3584,0.0323601
3840,0.0322117
4096,0.0320901
4352,0.0311162
4608,0.0310163
4864,0.0309643
5120,0.0308534
5376,0.0308003
5632,0.0307517
5888,0.0307192
6144,0.0306707
6400,0.0306581
6656,0.0306387
6912,0.0306155
7168,0.0305861
7424,0.0305645
7680,0.0305513
7936,0.0305005
8192,0.0304846
8448,0.0304739
8704,0.0304685
8960,0.0304587
9216,0.030442
9472,0.0304219
9728,0.0304001
9984,0.0303766
10240,0.0303579
10496,0.0303251
10752,0.030282
11008,0.0302493
11264,0.0302146
11520,0.0301891
11776,0.0301744
12032,0.0301565
12288,0.0301389
12544,0.0301238
12800,0.0301103
13056,0.0300974
13312,0.0300726
13568,0.03005
13824,0.030025
14080,0.0300036
14336,0.0299862
14592,0.0299714
14848,0.0299491
15104,0.0299306
15360,0.0299141
15616,0.0298989
15872,0.0298838
16128,0.0298656
16384,0.0298501
16640,0.0298388
16896,0.0298239
17152,0.0298071
17408,0.0297919
17664,0.0297771
17920,0.0297583
18176,0.0297362
18432,0.0297095
18688,0.0296848
18944,0.0296696
19200,0.0296491
19456,0.0295766
19712,0.0295592
19968,0.0295437
20224,0.0295297
20480,0.0295184
20736,0.0295079
20992,0.029494
21248,0.0294807
21504,0.0294682
21760,0.0294527
22016,0.0294355
22272,0.0294183
22528,0.029404
22784,0.0293903
23040,0.0293794
23296,0.0293696
23552,0.0293599
23808,0.0293519
24064,0.0293317
24320,0.029187
24576,0.0291018
24832,0.0290894
25088,0.0290574
25344,0.0290326
25600,0.0290104
25856,0.02899
26112,0.0289802
26368,0.0289718
26624,0.0289625
26880,0.0289535
27136,0.0289447
27392,0.0289364
27648,0.028926
27904,0.0289176
28160,0.0288916
28416,0.028842
28672,0.0287874
28928,0.0287783
29184,0.0287657
29440,0.0287477
29696,0.0287337
29952,0.028719
30208,0.0287079
30464,0.0286988
30720,0.0286895
30976,0.0286817
31232,0.0286733
31488,0.0286644
31744,0.0286552
32000,0.0286475
32256,0.0286365
32512,0.0286272
32768,0.0286174
33024,0.0286062
33280,0.0285958
33536,0.0285846
33792,0.0285742
34048,0.0285635
34304,0.0285535
34560,0.0285434
34816,0.0285327
35072,0.0285187
35328,0.0285024
35584,0.028486
35840,0.0284759
36096,0.0284652
36352,0.0284534
36608,0.0284443
36864,0.0284339
37120,0.0284222
37376,0.0284126
37632,0.0284008
37888,0.0283889
38144,0.0283787
38400,0.0283666
38656,0.028352
38912,0.0283399
39168,0.0283285
39424,0.0283159
39680,0.0283042
39936,0.0282929
40192,0.0282781
40448,0.0282639
40704,0.028249
40960,0.028234
41216,0.0282221
41472,0.0282121
41728,0.0282005
41984,0.0281914
42240,0.0281827
42496,0.0281659
42752,0.0281521
43008,0.0281415
43264,0.0281302
43520,0.028122
43776,0.0281132
44032,0.0281036
44288,0.028095
44544,0.0280853
44800,0.0280737
45056,0.0280628
45312,0.0280525
45568,0.0280411
45824,0.0280296
46080,0.0280166
46336,0.0280008
46592,0.0279881
46848,0.0279783
47104,0.0279685
47360,0.0279586
47616,0.0279454
47872,0.0279266
48128,0.0279077
48384,0.0278902
48640,0.0278786
48896,0.0278712
49152,0.0278639
49408,0.0278569
49664,0.0278501
49920,0.027844
50176,0.0278358
50432,0.027829
50688,0.027823
50944,0.0278155
51200,0.0278089
51456,0.0278028
51712,0.0277951
51968,0.0277878
52224,0.0277815
52480,0.0277744
52736,0.0277679
52992,0.0277612
53248,0.0277546
53504,0.0277472
53760,0.0277402
54016,0.027734
54272,0.0277263
54528,0.0277197
54784,0.0277137
55040,0.0277069
55296,0.0277006
55552,0.0276936
55808,0.0276832
56064,0.0276733
56320,0.0276627
56576,0.0276519
56832,0.0276438
57088,0.0276361
57344,0.027628
57600,0.0276226
57856,0.0276147
58112,0.0276074
58368,0.0276025
58624,0.0275963
58880,0.0275892
59136,0.0275846
59392,0.0275775
59648,0.0275702
59904,0.0275653
60160,0.0275583
60416,0.0275522
60672,0.0275464
60928,0.0275398
61184,0.0275327
61440,0.027526
61696,0.027519
61952,0.0275133
62208,0.0275068
62464,0.0275005
62720,0.0274937
62976,0.0274886
63232,0.0274814
