cache_lines,MRC
256,0.11291
512,0.107048
768,0.0967069
1024,0.0915307
1280,0.0884678
1536,0.0818346
1792,0.0766396
2048,0.0745512
2304,0.0733927
2560,0.072097
2816,0.0709
3072,0.0698524
3328,0.0683074
3584,0.0673159
3840,0.0669682
4096,0.0667303
4352,0.0651922
4608,0.0651215
4864,0.0649875
5120,0.0648261
5376,0.0647014
5632,0.0646235
5888,0.0645582
6144,0.064457
6400,0.0644241
6656,0.0643776
6912,0.0643259
7168,0.0642568
7424,0.0642153
7680,0.0641884
7936,0.0639872
8192,0.0639516
8448,0.0639319
8704,0.0639224
8960,0.0638986
9216,0.0638606
9472,0.0638122
9728,0.0637674
9984,0.0637291
10240,0.0636751
10496,0.063592
10752,0.0635082
11008,0.0634493
11264,0.0633551
11520,0.0633023
11776,0.0632672
12032,0.0632297
12288,0.0631964
12544,0.0631688
12800,0.0631411
13056,0.0631041
13312,0.0630592
13568,0.0630087
13824,0.0629602
14080,0.0629206
14336,0.0628851
14592,0.0628296
14848,0.0627798
15104,0.0627512
15360,0.0627189
15616,0.062687
15872,0.0626517
16128,0.0626141
16384,0.0625856
16640,0.0625585
16896,0.0625275
17152,0.0624944
17408,0.0624613
17664,0.0624313
17920,0.0623858
18176,0.0623283
18432,0.0622651
18688,0.0622293
18944,0.0621958
19200,0.062114
19456,0.0619967
19712,0.0619629
19968,0.0619353
20224,0.0619091
20480,0.0618847
20736,0.0618605
20992,0.0618322
21248,0.0618052
21504,0.0617739
21760,0.0617416
22016,0.0617001
22272,0.0616694
22528,0.0616446
22784,0.0616212
23040,0.0616009
23296,0.0615822
23552,0.0615622
23808,0.0615369
24064,0.0614929
24320,0.061139
24576,0.0610203
24832,0.0609891
25088,0.0609223
25344,0.0608735
25600,0.0608311
25856,0.0607916
26112,0.0607708
26368,0.0607544
26624,0.0607352
26880,0.060717
27136,0.0606999
27392,0.0606818
27648,0.060652
27904,0.0606133
28160,0.0605798
28416,0.0604656
28672,0.0603677
28928,0.0603487
29184,0.0603151
29440,0.0602869
29696,0.0602597
29952,0.06023
30208,0.0602083
30464,0.0601913
30720,0.0601717
30976,0.0601557
31232,0.0601389
31488,0.0601196
31744,0.0601019
32000,0.0600856
32256,0.0600644
32512,0.0600465
32768,0.0600256
33024,0.0600032
33280,0.0599809
33536,0.0599587
33792,0.0599398
34048,0.0599175
34304,0.059896
34560,0.0598773
34816,0.0598514
35072,0.0598176
35328,0.0597835
35584,0.0597562
35840,0.0597369
36096,0.0597173
36352,0.059695
36608,0.0596763
36864,0.0596539
37120,0.059627
37376,0.0596058
37632,0.0595799
37888,0.0595548
38144,0.0595324
38400,0.0595094
38656,0.0594837
38912,0.0594613
39168,0.0594387
39424,0.0594133
39680,0.0593891
39936,0.0593627
40192,0.0593337
40448,0.0593003
40704,0.0592714
40960,0.059244
41216,0.0592168
41472,0.0591936
41728,0.0591724
41984,0.0591494
42240,0.059114
42496,0.0590868
42752,0.0590629
43008,0.0590443
43264,0.0590233
43520,0.0590056
43776,0.0589882
44032,0.0589683
44288,0.0589487
44544,0.0589295
44800,0.0589063
45056,0.0588822
45312,0.05886
45568,0.0588382
45824,0.0588138
46080,0.0587883
46336,0.0587566
46592,0.0587283
46848,0.0587059
47104,0.0586894
47360,0.0586662
47616,0.0586334
47872,0.0585964
48128,0.0585571
48384,0.0585208
48640,0.0585023
48896,0.0584823
49152,0.0584686
49408,0.0584557
49664,0.0584395
49920,0.0584253
50176,0.0584102
50432,0.0583937
50688,0.058383
50944,0.0583682
51200,0.0583522
51456,0.0583409
51712,0.0583265
51968,0.0583108
52224,0.0582995
52480,0.0582862
52736,0.0582699
52992,0.0582565
53248,0.0582436
53504,0.0582289
53760,0.0582152
54016,0.058201
54272,0.0581869
54528,0.0581714
54784,0.0581583
55040,0.0581446
55296,0.058132
55552,0.0581158
55808,0.0580975
56064,0.0580768
56320,0.0580576
56576,0.0580371
56832,0.0580214
57088,0.0580081
57344,0.0579936
57600,0.0579793
57856,0.0579669
58112,0.0579527
58368,0.0579412
58624,0.0579304
58880,0.0579154
59136,0.0579022
59392,0.0578921
59648,0.0578768
59904,0.0578635
60160,0.0578528
60416,0.0578391
60672,0.0578271
60928,0.0578154
