reuse_time,counts
1,6583811
2,4407382
3,3704833
4,2959600
5,2415555
6,1960804
7,1575460
8,1273925
9,1063557
10,916672
11,812902
12,721358
13,642907
14,566630
15,493603
16,432701
17,380460
18,336469
19,302481
20,276227
21,256779
22,242715
23,232517
24,224134
25,213613
26,201832
27,186670
28,172185
29,156077
30,140459
31,126897
32,114906
33,104502
34,96042
35,88751
36,81763
37,75985
38,70844
39,65238
40,60561
41,57176
42,53875
43,52181
44,50374
45,49695
46,49671
47,49381
48,50154
49,50450
50,50247
51,50270
52,49340
53,48524
54,46886
55,45203
56,43240
57,40971
58,38756
59,36798
60,34883
61,32628
62,30793
63,28779
64,27421
65,25862
66,24041
67,23046
68,21465
69,20815
70,19758
71,19420
72,18854
73,18326
74,17972
75,17689
76,17340
77,17144
78,16716
79,16233
80,15881
81,15449
82,14722
83,14358
84,13711
85,13249
86,12982
87,12329
88,12043
89,11843
90,11526
91,11393
92,11266
93,11138
94,11036
95,10881
96,11007
97,11149
98,11104
99,11009
100,10733
101,10675
102,10631
103,10611
104,10356
105,10144
106,9886
107,9650
108,9524
109,9404
110,9517
111,9619
112,9394
113,9481
114,9354
115,9516
116,9566
117,9625
118,9553
119,9864
120,9740
121,9788
122,9715
123,9635
124,9702
125,9267
126,9153
127,9061
128,8670
129,8154
130,8179
131,7889
132,7528
133,7272
134,7269
135,7039
136,6674
137,6466
138,6270
139,6076
140,5904
141,5934
142,5653
143,5693
144,5628
145,5505
146,5316
147,5267
148,5244
149,5165
150,5005
151,4989
152,4921
153,4891
154,4793
155,4716
156,4525
157,4579
158,4423
159,4365
160,4277
161,4215
162,4200
163,4069
164,4053
165,3998
166,4039
167,4140
168,4112
169,4037
170,4079
171,4165
172,4156
173,4040
174,4221
175,4341
176,4395
177,4556
178,4704
179,4768
180,4983
181,5018
182,5120
183,5146
184,5220
185,5297
186,5437
187,5300
188,5438
189,5547
190,5431
191,5446
192,5431
193,5212
194,5224
195,5227
196,5118
197,4990
198,4835
199,4801
200,4705
201,4430
202,4398
203,4241
204,4248
205,4150
206,4015
207,3903
208,3880
209,3846
210,3898
211,3878
212,3827
213,3916
214,3949
215,4070
216,4067
217,4010
218,4209
219,4233
220,4493
221,4503
222,4502
223,4728
224,4793
225,4995
226,4942
227,5058
228,5196
229,5376
230,5296
231,5550
232,5402
233,5605
234,5485
235,5490
236,5608
237,5541
238,5500
239,5504
240,5506
241,5405
242,5328
243,5285
244,5072
245,5109
246,4925
247,4850
248,4800
249,4641
250,4572
251,4445
252,4343
253,4359
254,4205
255,4201
256,4046
258,8013
260,7882
262,7845
264,8223
266,8337
268,8637
270,9086
272,9197
274,9746
276,9897
278,10317
280,10268
282,10399
284,10510
286,10531
288,10243
290,10117
292,9639
294,9434
296,8786
298,8504
300,8061
302,7546
304,7235
306,6849
308,6668
310,6511
312,6440
314,6341
316,6322
318,6268
320,6461
322,6360
324,6517
326,6612
328,6637
330,6612
332,6558
334,6604
336,6355
338,6201
340,6054
342,5785
344,5517
346,5165
348,5045
350,4760
352,4609
354,4379
356,4236
358,4160
360,4201
362,4139
364,4073
366,4112
368,4087
370,4336
372,4345
374,4249
376,4365
378,4298
380,4076
382,4205
384,4077
386,4034
388,3842
390,3767
392,3717
394,3443
396,3371
398,3126
400,2973
402,2912
404,2840
406,2730
408,2623
410,2678
412,2536
414,2492
416,2490
418,2494
420,2477
422,2578
424,2605
426,2609
428,2588
430,2763
432,2725
434,2665
436,2713
438,2699
440,2799
442,2720
444,2642
446,2828
448,2797
450,2971
452,2907
454,2906
456,2967
458,3064
460,3200
462,3080
464,3304
466,3302
468,3339
470,3412
472,3320
474,3535
476,3372
478,3482
480,3410
482,3523
484,3376
486,3315
488,3321
490,3286
492,3205
494,3111
496,3053
498,3010
500,2925
502,2850
504,2883
506,2773
508,2831
510,2834
512,2712
514,2692
516,2686
518,2794
520,2788
522,2713
524,2813
526,2670
528,2775
530,2816
532,2694
