reuse_time,counts
1,4747930
2,3256251
3,2569466
4,1993644
5,1565127
6,1244153
7,1015859
8,855050
9,730147
10,631110
11,542238
12,468630
13,406189
14,359022
15,321555
16,290716
17,264892
18,241658
19,219769
20,198777
21,177877
22,159572
23,142444
24,127693
25,114421
26,103588
27,93811
28,86201
29,79945
30,75191
31,70251
32,66378
33,64268
34,62278
35,60391
36,58769
37,56859
38,55060
39,52992
40,51291
41,48054
42,45058
43,42975
44,39859
45,37189
46,35257
47,32861
48,31419
49,30005
50,27907
51,26624
52,25820
53,24793
54,23747
55,23041
56,22264
57,21402
58,20564
59,20004
60,19273
61,18391
62,17996
63,17451
64,16666
65,16556
66,15809
67,15711
68,15453
69,15008
70,14877
71,14654
72,14436
73,14234
74,13916
75,13510
76,13582
77,13284
78,13206
79,12839
80,12818
81,12607
82,12367
83,12283
84,12348
85,12059
86,11895
87,11852
88,11713
89,11426
90,11158
91,11119
92,10871
93,10360
94,10241
95,9891
96,9663
97,9462
98,9165
99,8963
100,8638
101,8399
102,8248
103,8062
104,8165
105,7846
106,7762
107,7550
108,7322
109,7249
110,7091
111,6877
112,6780
113,6797
114,6721
115,6511
116,6485
117,6327
118,6355
119,6220
120,6428
121,6143
122,6345
123,6297
124,6557
125,6364
126,6351
127,6532
128,6597
129,6839
130,6925
131,6789
132,7039
133,7087
134,7074
135,7101
136,7172
137,7161
138,6930
139,7153
140,7018
141,7030
142,6925
143,6791
144,6527
145,6581
146,6486
147,6521
148,6287
149,6352
150,6104
151,6283
152,6190
153,6165
154,6192
155,6152
156,6199
157,6143
158,6359
159,6446
160,6480
161,6406
162,6724
163,6682
164,6863
165,6782
166,6856
167,6974
168,6992
169,7072
170,6900
171,6982
172,6969
173,7095
174,6966
175,6754
176,6924
177,6570
178,6588
179,6255
180,6275
181,6225
182,6181
183,6018
184,6157
185,5955
186,5887
187,5943
188,6102
189,5929
190,6068
191,5998
192,6019
193,6043
194,6133
195,6164
196,6116
197,6281
198,6368
199,6468
200,6524
201,6448
202,6471
203,6395
204,6536
205,6424
206,6586
207,6481
208,6480
209,6373
210,6053
211,6169
212,6075
213,5901
214,5909
215,5834
216,5580
217,5378
218,5395
219,5306
220,5159
221,5041
222,5024
223,4995
224,4795
225,4801
226,4620
227,4729
228,4553
229,4574
230,4447
231,4410
232,4506
233,4479
234,4388
235,4296
236,4189
237,4233
238,4170
239,4127
240,4138
241,4059
242,4109
243,3896
244,3948
245,3778
246,3766
247,3668
248,3629
249,3636
250,3660
251,3470
252,3479
253,3403
254,3431
255,3256
256,3293
258,6303
260,6133
262,5939
264,5777
266,5718
268,5599
270,5503
272,5250
274,5339
276,5115
278,4984
280,4901
282,4692
284,4540
286,4457
288,4251
290,4163
292,3939
294,3891
296,3887
298,3796
300,3683
302,3518
304,3567
306,3481
308,3537
310,3444
312,3403
314,3464
316,3502
318,3433
320,3499
322,3632
324,3693
326,3808
328,3829
330,3868
332,3930
334,3859
336,3897
338,4064
340,4075
342,4195
344,4156
346,4123
348,4140
350,4062
352,4136
354,4083
356,3961
358,4000
360,3962
362,3833
364,3760
366,3758
368,3713
370,3685
372,3621
374,3664
376,3590
378,3702
380,3493
382,3530
384,3460
386,3448
388,3429
390,3482
392,3444
394,3422
396,3339
398,3290
400,3346
402,3213
404,3272
406,3235
408,3142
410,3198
412,3053
414,3058
416,3127
418,2951
420,3036
422,2985
424,2956
426,2909
428,2919
430,2963
432,2900
434,2812
436,2907
438,2874
440,2884
442,2894
444,2777
446,2902
448,2772
450,2790
452,2800
454,2777
456,2809
458,2917
460,2811
462,2805
464,2802
466,2841
468,2914
470,2944
472,2875
474,2896
476,2859
478,2961
480,3043
482,2896
484,2944
486,2988
488,2950
490,2952
492,2938
494,3020
496,2956
498,2924
500,3043
502,2910
504,2977
506,2845
508,2879
510,2766
512,2795
514,2738
516,2734
518,2660
520,2643
522,2628
524,2706
526,2581
528,2577
530,2570
532,2613
534,2559
536,2475
538,2523
540,2455
542,2318
544,2377
546,2354
548,2291
550,2325
552,2232
554,2212
556,2215
558,2216
560,2203
562,2093
564,2085
566,2021
568,1978
570,1962
572,1922
574,1971
576,1889
578,1872
580,1724
582,1800
584,1839
586,1854
588,1781
590,1742
592,1718
594,1778
596,1674
598,1770
600,1752
602,1779
604,1820
606,1779
608,1839
610,1843
612,1856
614,1820
616,1831
618,1836
620,1873
622,1787
624,1863
626,1858
628,1958
630,1857
632,1913
634,1921
636,1902
638,1855
640,1924
642,1880
644,1919
646,1851
648,1871
650,1881
652,1798
654,1747
656,1717
658,1686
660,1661
662,1583
664,1591
666,1507
668,1537
670,1449
672,1446
674,1446
676,1405
678,1338
680,1256
682,1242
684,1223
686,1169
688,1151
690,1137
692,1125
694,1193
696,1139
698,1140
700,1107
702,1094
704,1070
706,1085
708,1085
710,1068
712,1072
714,1079
716,1078
718,1095
720,1103
722,1115
724,1125
726,1175
728,1186
730,1126
732,1193
734,1132
736,1151
738,1127
740,1171
742,1216
744,1200
746,1189
748,1167
750,1147
752,1165
754,1203
756,1147
758,1119
760,1107
762,1094
764,1043
766,1081
768,1090
772,1932
776,1874
780,1812
784,1826
788,1771
792,1710
796,1574
800,1583
804,1504
808,1433
812,1388
816,1321
820,1282
824,1241
828,1141
832,1094
836,1086
840,1039
844,952
848,944
852,923
856,877
860,869
864,902
868,827
872,857
876,896
880,878
884,867
888,876
892,833
896,862
900,845
904,850
908,904
912,874
916,839
920,993
924,942
928,910
932,1042
936,1029
940,1102
944,1041
948,1189
952,1216
956,1288
960,1348
964,1473
968,1501
972,1633
976,1768
980,1893
984,1958
988,2158
992,2360
996,2389
1000,2577
1004,2701
1008,2765
1012,2845
1016,3040
1020,2973
1024,3066
1028,3103
1032,3214
1036,3178
1040,3274
1044,3017
1048,3137
1052,3139
1056,2981
1060,2953
1064,2952
1068,2854
1072,2721
1076,2640
1080,2613
1084,2524
1088,2490
1092,2397
1096,2369
1100,2222
1104,2234
1108,2193
1112,2153
1116,2162
1120,2048
1124,1985
1128,1967
1132,2036
1136,1946
1140,1963
1144,1852
1148,1871
1152,1852
1156,1822
1160,1840
1164,1908
1168,1838
1172,1909
1176,1771
1180,1860
1184,1764
1188,1768
1192,1721
1196,1769
1200,1681
1204,1637
1208,1595
1212,1620
1216,1484
1220,1450
1224,1493
1228,1482
1232,1485
1236,1406
1240,1339
1244,1361
1248,1391
1252,1325
1256,1420
1260,1383
1264,1376
1268,1388
1272,1478
1276,1470
1280,1438
1284,1507
1288,1449
1292,1412
1296,1437
1300,1461
1304,1384
1308,1380
1312,1409
1316,1282
1320,1362
1324,1221
1328,1188
1332,1127
1336,1057
1340,1093
1344,1016
1348,1050
1352,992
1356,876
1360,907
1364,802
1368,839
1372,812
1376,761
1380,776
1384,804
1388,732
1392,797
1396,718
1400,722
1404,735
1408,750
1412,765
1416,745
1420,716
1424,764
1428,766
1432,731
1436,753
1440,725
1444,760
1448,788
1452,831
1456,771
1460,785
1464,719
1468,768
1472,761
1476,754
1480,791
1484,736
1488,717
1492,766
1496,749
1500,726
1504,748
1508,708
1512,711
1516,667
1520,724
1524,714
1528,675
1532,657
1536,683
1540,608
1544,637
1548,630
1552,614
1556,599
1560,587
1564,568
1568,541
1572,587
1576,511
1580,506
1584,505
1588,455
1592,475
1596,486
1600,470
1604,447
1608,446
1612,448
1616,460
1620,408
1624,366
1628,394
1632,397
1636,403
1640,359
1644,347
1648,395
1652,351
1656,367
1660,363
1664,382
1668,335
1672,335
1676,336
1680,312
1684,349
1688,351
1692,305
1696,349
1700,325
1704,308
1708,350
1712,309
1716,303
1720,318
1724,290
1728,307
1732,296
1736,299
1740,286
1744,313
1748,282
1752,290
1756,306
1760,277
1764,324
1768,323
1772,328
1776,320
1780,319
1784,298
1788,311
1792,325
1800,668
1808,668
1816,646
1824,668
1832,646
1840,620
1848,662
1856,652
1864,631
1872,691
1880,685
1888,673
1896,774
1904,845
1912,795
1920,776
1928,808
1936,856
1944,828
1952,848
1960,867
1968,847
1976,842
1984,864
1992,878
2000,876
2008,845
2016,839
2024,883
2032,860
2040,878
2048,887
2056,895
2064,934
2072,862
2080,859
2088,870
2096,825
2104,877
2112,842
2120,855
2128,782
2136,807
2144,811
2152,728
2160,793
2168,743
2176,750
2184,708
2192,690
2200,710
2208,746
2216,651
2224,633
2232,673
2240,654
2248,660
2256,654
2264,627
2272,591
2280,601
2288,638
2296,589
2304,618
2312,645
2320,658
2328,635
2336,621
2344,663
2352,676
2360,638
2368,699
2376,658
2384,726
2392,703
2400,710
2408,736
2416,768
2424,751
2432,759
2440,782
2448,732
2456,768
2464,817
2472,788
2480,804
2488,773
2496,751
2504,798
2512,796
2520,791
2528,851
2536,826
2544,822
2552,863
2560,865
2568,851
2576,862
2584,842
2592,861
2600,850
2608,797
2616,810
2624,764
2632,757
2640,679
2648,722
2656,617
2664,568
2672,566
2680,539
2688,472
2696,422
2704,432
2712,455
2720,422
2728,405
2736,402
2744,366
2752,378
2760,404
2768,426
2776,392
2784,413
2792,365
2800,380
2808,381
2816,397
2824,413
2832,396
2840,370
2848,402
2856,362
2864,393
2872,377
2880,378
2888,361
2896,368
2904,372
2912,350
2920,352
2928,370
2936,363
2944,380
2952,358
2960,386
2968,388
2976,402
2984,381
2992,413
3000,388
3008,401
3016,399
3024,464
3032,448
3040,446
3048,416
3056,450
3064,483
3072,451
3080,469
3088,433
3096,462
3104,461
3112,468
3120,444
3128,453
3136,465
3144,445
3152,455
3160,445
3168,436
3176,420
3184,437
3192,414
3200,415
3208,444
3216,398
3224,384
3232,432
3240,429
3248,442
3256,437
3264,457
3272,468
3280,486
3288,488
3296,505
3304,490
3312,524
3320,563
3328,574
3336,615
3344,614
3352,630
3360,637
3368,643
3376,623
3384,664
3392,596
3400,631
3408,621
3416,597
3424,578
3432,619
3440,553
3448,520
3456,535
3464,512
3472,528
3480,506
3488,524
3496,497
3504,520
3512,489
3520,462
3528,451
3536,409
3544,428
3552,411
3560,388
3568,415
3576,396
3584,397
3592,395
3600,389
3608,385
3616,339
3624,356
3632,337
3640,358
3648,315
3656,350
3664,314
3672,277
3680,285
3688,288
3696,256
3704,268
3712,257
3720,277
3728,261
3736,269
3744,279
3752,320
3760,268
3768,295
3776,293
3784,279
3792,312
3800,357
3808,335
3816,389
3824,385
3832,421
3840,409
3856,983
3872,1121
3888,1215
3904,1330
3920,1412
3936,1487
3952,1489
3968,1572
3984,1762
4000,1682
4016,1762
4032,1828
4048,1803
4064,1823
4080,1780
4096,1751
4112,1620
4128,1609
4144,1546
4160,1439
4176,1384
4192,1349
4208,1417
4224,1253
4240,1225
4256,1366
4272,1259
4288,1277
4304,1325
4320,1333
4336,1359
4352,1401
4368,1460
4384,1569
4400,1554
4416,1670
4432,1705
4448,1764
4464,1807
4480,1791
4496,1817
4512,1920
4528,1961
4544,1999
4560,2170
4576,2283
4592,2464
4608,2503
4624,2473
4640,2568
4656,2462
4672,2568
4688,2473
4704,2471
4720,2545
4736,2728
4752,2887
4768,3266
4784,3540
4800,3803
4816,4139
4832,4697
4848,5078
4864,5484
4880,6092
4896,6449
4912,6623
4928,6452
4944,6314
4960,5753
4976,5134
4992,4338
5008,3733
5024,3112
5040,2527
5056,2165
5072,2014
5088,1788
5104,1741
5120,1806
5136,1782
5152,1811
5168,1904
5184,1838
5200,1915
5216,1865
5232,1858
5248,1909
5264,1898
5280,1830
5296,1736
5312,1768
5328,1693
5344,1554
5360,1551
5376,1443
5392,1437
5408,1448
5424,1453
5440,1429
5456,1458
5472,1436
5488,1496
5504,1448
5520,1474
5536,1527
5552,1504
5568,1544
5584,1451
5600,1474
5616,1600
5632,1718
5648,1658
5664,1677
5680,1780
5696,1867
5712,1820
5728,1725
5744,1722
5760,1663
5776,1448
5792,1437
5808,1508
5824,1354
5840,1426
5856,1435
5872,1304
5888,1332
5904,1323
5920,1388
5936,1311
5952,1292
5968,1290
5984,1328
6000,1254
6016,1258
6032,1219
6048,1301
6064,1274
6080,1231
6096,1286
6112,1298
6128,1235
6144,1290
6160,1235
6176,1252
6192,1268
6208,1355
6224,1288
6240,1354
6256,1320
6272,1316
6288,1358
6304,1318
6320,1317
6336,1329
6352,1323
6368,1319
6384,1398
6400,1430
6416,1420
6432,1400
6448,1507
6464,1405
6480,1395
6496,1458
6512,1337
6528,1383
6544,1410
6560,1321
6576,1315
6592,1261
6608,1312
6624,1227
6640,1260
6656,1303
6672,1197
6688,1307
6704,1167
6720,1136
6736,1179
6752,1189
6768,1092
6784,1149
6800,1134
6816,1190
6832,1179
6848,1063
6864,1132
6880,1096
6896,1126
6912,1137
6928,1067
6944,1101
6960,1129
6976,1104
6992,1140
7008,1133
7024,1118
7040,1252
7056,1188
7072,1169
7088,1151
7104,1315
7120,1284
7136,1330
7152,1314
7168,1300
7184,1300
7200,1316
7216,1243
7232,1259
7248,1186
7264,1171
7280,1178
7296,1126
7312,1129
7328,1110
7344,1018
7360,1085
7376,1090
7392,1077
7408,1132
7424,1109
7440,1044
7456,1112
7472,1111
7488,1080
7504,1041
7520,1034
7536,1028
7552,1022
7568,1058
7584,963
7600,1048
7616,990
7632,980
7648,967
7664,990
7680,1004
7696,1045
7712,993
7728,961
7744,987
7760,922
7776,934
7792,950
7808,943
7824,889
7840,917
7856,952
7872,893
7888,869
7904,772
7920,809
7936,852
7968,1594
8000,1545
8032,1459
8064,1486
8096,1642
8128,1511
8160,1604
8192,1494
8224,1439
8256,1418
8288,1332
8320,1323
8352,1340
8384,1353
8416,1373
8448,1433
8480,1397
8512,1352
8544,1304
8576,1318
8608,1246
8640,1303
8672,1320
8704,1279
8736,1251
8768,1321
8800,1312
8832,1354
8864,1324
8896,1363
8928,1362
8960,1405
8992,1318
9024,1299
9056,1287
9088,1318
9120,1269
9152,1190
9184,1178
9216,1110
9248,1083
9280,1052
9312,1077
9344,1097
9376,1074
9408,1195
9440,1259
9472,1225
9504,1282
9536,1421
9568,1527
9600,1579
9632,1488
9664,1643
9696,1833
9728,2149
9760,2586
9792,3045
9824,3495
9856,3808
9888,3610
9920,3216
9952,2628
9984,2120
10016,1661
10048,1379
10080,1337
10112,1229
10144,1253
10176,1144
10208,1144
10240,1076
10272,966
10304,905
10336,1017
10368,961
10400,1050
10432,1014
10464,1031
10496,1015
10528,924
10560,803
10592,846
10624,762
10656,863
10688,1001
10720,1121
10752,1229
10784,1402
10816,1366
10848,1396
10880,1372
10912,1139
10944,1052
10976,975
11008,952
11040,971
11072,1008
11104,1153
11136,1289
11168,1405
11200,1461
11232,1564
11264,1386
11296,1206
11328,1051
11360,942
11392,747
11424,697
11456,621
11488,642
11520,644
11552,633
11584,620
11616,630
11648,613
11680,577
11712,585
11744,664
11776,640
11808,643
11840,691
11872,727
11904,715
11936,729
11968,689
12000,702
12032,717
12064,633
12096,623
12128,637
12160,675
12192,673
12224,760
12256,810
12288,763
12320,772
12352,710
12384,716
12416,681
12448,609
12480,557
12512,562
12544,548
12576,590
12608,648
12640,691
12672,759
12704,827
12736,819
12768,923
12800,896
12832,899
12864,901
12896,1003
12928,1102
12960,1254
12992,1618
13024,1891
13056,2232
13088,2584
13120,2684
13152,2649
13184,2441
13216,2256
13248,1824
13280,1617
13312,1439
13344,1409
13376,1326
13408,1232
13440,1099
13472,1016
13504,986
13536,821
13568,820
13600,815
13632,814
13664,933
13696,1025
13728,1058
13760,1085
13792,1114
13824,1150
13856,1215
13888,1214
13920,1208
13952,1335
13984,1608
14016,2234
14048,3257
14080,4740
14112,6774
14144,9091
14176,11083
14208,12267
14240,12582
14272,11731
14304,9799
14336,7616
14368,5541
14400,3598
14432,2492
14464,1586
14496,1156
14528,865
14560,828
14592,776
14624,860
14656,980
14688,1113
14720,1305
14752,1463
14784,1745
14816,1861
14848,1959
14880,1917
14912,1976
14944,1702
14976,1675
15008,1443
15040,1251
15072,1144
15104,1069
15136,966
15168,886
15200,844
15232,744
15264,649
15296,695
15328,555
15360,523
15392,494
15424,462
15456,515
15488,490
15520,563
15552,654
15584,613
15616,731
15648,668
15680,703
15712,731
15744,697
15776,756
15808,742
15840,821
15872,995
15904,1267
15936,1735
15968,2349
16000,3447
16032,4520
16064,5794
16096,7174
16128,8037
16192,17511
16256,15136
16320,10660
16384,6355
16448,3596
16512,1872
16576,1163
16640,818
16704,862
16768,882
16832,968
16896,932
16960,899
17024,928
17088,916
17152,1030
17216,1353
17280,2058
17344,3032
17408,3774
17472,3524
17536,2680
17600,1750
17664,1154
17728,842
17792,824
17856,726
17920,758
17984,751
18048,807
18112,1027
18176,1371
18240,2030
18304,2870
18368,3425
18432,3538
18496,3116
18560,2610
18624,1875
18688,1337
18752,936
18816,771
18880,694
18944,751
19008,673
19072,731
19136,726
19200,784
19264,883
19328,967
19392,955
19456,1016
19520,1187
19584,1501
19648,1967
19712,2497
19776,2723
19840,2406
19904,1705
19968,1258
20032,890
20096,782
20160,739
20224,661
20288,655
20352,590
20416,581
20480,532
20544,515
20608,474
20672,493
20736,485
20800,505
20864,504
20928,532
20992,529
21056,533
21120,575
21184,543
21248,526
21312,530
21376,502
21440,518
21504,505
21568,504
21632,501
21696,498
21760,498
21824,509
21888,531
21952,511
22016,480
22080,482
22144,489
22208,420
22272,420
22336,439
22400,425
22464,444
22528,442
22592,461
22656,469
22720,492
22784,481
22848,440
22912,413
22976,435
23040,398
23104,443
23168,392
23232,365
23296,461
23360,421
23424,464
23488,461
23552,504
23616,460
23680,433
23744,430
23808,397
23872,396
23936,376
24000,391
24064,401
24128,397
24192,400
24256,420
24320,422
24384,520
24448,556
24512,666
24576,805
24640,844
24704,947
24768,969
24832,834
24896,817
24960,754
25024,660
25088,656
25152,551
25216,498
25280,484
25344,401
25408,414
25472,397
25536,374
25600,404
25664,414
25728,418
25792,465
25856,446
25920,494
25984,528
26048,562
26112,565
26176,555
26240,497
26304,451
26368,451
26432,436
26496,389
26560,426
26624,377
26688,413
26752,396
26816,399
26880,428
26944,358
27008,403
27072,394
27136,433
27200,475
27264,570
27328,708
27392,749
27456,803
27520,779
27584,667
27648,582
27712,551
27776,516
27840,543
27904,685
27968,1066
28032,1503
28096,2037
28160,2595
28224,3075
28288,3534
28352,3952
28416,4198
28480,4237
28544,3467
28608,2767
28672,1901
28736,1251
28800,817
28864,683
28928,597
28992,571
29056,552
29120,578
29184,541
29248,581
29312,625
29376,626
29440,709
29504,708
29568,748
29632,796
29696,806
29760,703
29824,674
29888,586
29952,596
30016,553
30080,612
30144,541
30208,542
30272,547
30336,504
30400,550
30464,500
30528,483
30592,530
30656,559
30720,494
30784,532
30848,575
30912,607
30976,616
31040,733
31104,711
31168,682
31232,728
31296,579
31360,639
31424,567
31488,602
31552,635
31616,617
31680,583
31744,721
31808,770
31872,882
31936,1063
32000,1314
32064,1445
32128,1706
32192,1956
32256,1921
32320,1994
32384,1905
32448,1702
32512,1362
32640,1923
32768,1252
32896,1126
33024,1047
33152,1059
33280,951
33408,959
33536,775
33664,774
33792,693
33920,659
34048,570
34176,673
34304,747
34432,817
34560,976
34688,951
34816,779
34944,737
35072,680
35200,650
35328,671
35456,726
35584,804
35712,1351
35840,2037
35968,2126
36096,2035
36224,3380
36352,6228
36480,7990
36608,5861
36736,3009
36864,1449
36992,891
37120,764
37248,645
37376,663
37504,1045
37632,2066
37760,3117
37888,2979
38016,1821
38144,917
38272,448
38400,335
38528,400
38656,401
38784,436
38912,438
39040,502
39168,582
39296,646
39424,650
39552,619
39680,523
39808,418
39936,314
40064,310
40192,324
40320,339
40448,384
40576,509
40704,739
40832,874
40960,800
41088,732
41216,1236
41344,2239
41472,3144
41600,2625
41728,1477
41856,654
41984,401
42112,333
42240,303
42368,310
42496,314
42624,485
42752,815
42880,1235
43008,1298
43136,926
43264,580
43392,317
43520,281
43648,283
43776,297
43904,300
44032,279
44160,293
44288,338
44416,441
44544,447
44672,378
44800,316
44928,277
45056,234
45184,230
45312,275
45440,295
45568,285
45696,310
45824,255
45952,223
46080,226
46208,270
46336,263
46464,275
46592,235
46720,202
46848,183
46976,282
47104,343
47232,377
47360,375
47488,290
47616,272
47744,233
47872,253
48000,263
48128,243
48256,225
48384,227
48512,238
48640,208
48768,246
48896,235
49024,301
49152,234
49280,253
49408,253
49536,226
49664,270
49792,251
49920,241
50048,219
50176,217
50304,201
50432,232
50560,280
50688,230
50816,223
50944,210
51072,230
51200,239
51328,266
51456,316
51584,297
51712,236
51840,229
51968,283
52096,319
52224,359
52352,349
52480,403
52608,361
52736,367
52864,453
52992,614
53120,870
53248,1359
53376,2200
53504,3751
53632,5851
53760,7995
53888,8055
54016,5826
54144,3038
54272,1225
54400,401
54528,200
54656,108
54784,92
54912,84
55040,83
55168,60
55296,53
55424,57
55552,51
55680,49
55808,62
55936,60
56064,46
56192,69
56320,61
56448,85
56576,182
56704,387
56832,787
56960,1024
57088,1171
57216,815
57344,410
57472,166
57600,79
57728,56
57856,67
57984,66
58112,84
58240,116
58368,90
58496,87
58624,55
58752,67
58880,69
59008,60
59136,60
59264,70
59392,55
59520,50
59648,62
59776,55
59904,79
60032,68
60160,91
60288,125
60416,144
60544,177
60672,152
60800,153
60928,147
61056,165
61184,153
61312,169
61440,162
61568,184
61696,135
61824,150
61952,144
62080,178
62208,138
62336,168
62464,161
62592,172
62720,143
62848,157
62976,156
63104,186
63232,150
63360,178
63488,165
63616,163
63744,175
63872,165
64000,177
64128,184
64256,209
64384,262
64512,364
64640,472
64768,545
64896,508
65024,466
65152,301
65280,224
65536,381
65792,334
66048,290
66304,267
66560,226
66816,147
67072,148
67328,151
67584,122
67840,115
68096,145
68352,135
68608,156
68864,199
69120,183
69376,231
69632,223
69888,381
70144,659
70400,583
70656,288
70912,169
71168,173
71424,163
71680,154
71936,160
72192,135
72448,159
72704,168
72960,186
73216,159
73472,153
73728,160
73984,174
74240,165
74496,158
74752,141
75008,143
75264,116
75520,121
75776,92
76032,91
76288,104
76544,93
76800,81
77056,65
77312,61
77568,106
77824,127
78080,347
78336,509
78592,394
78848,260
79104,237
79360,209
79616,285
79872,371
80128,299
80384,155
80640,101
80896,94
81152,73
81408,84
81664,63
81920,56
82176,64
82432,39
82688,56
82944,48
83200,64
83456,57
83712,42
83968,55
84224,54
84480,55
84736,63
84992,46
85248,60
85504,57
85760,84
86016,90
86272,58
86528,60
86784,71
87040,79
87296,66
87552,49
87808,54
88064,52
88320,54
88576,100
88832,156
89088,153
89344,113
89600,78
89856,62
90112,91
90368,87
90624,87
90880,126
91136,95
91392,96
91648,121
91904,106
92160,80
92416,98
92672,73
92928,90
93184,76
93440,75
93696,63
93952,91
94208,102
94464,107
94720,117
94976,124
95232,145
95488,133
95744,121
96000,118
96256,137
96512,120
96768,129
97024,155
97280,139
97536,127
97792,112
98048,136
98304,130
98560,124
98816,126
99072,118
99328,125
99584,106
99840,107
100096,100
100352,96
100608,68
100864,81
101120,54
101376,71
101632,84
101888,63
102144,60
102400,73
102656,50
102912,80
103168,69
103424,61
103680,82
103936,75
104192,70
104448,68
104704,65
104960,70
105216,49
105472,63
105728,48
105984,85
106240,72
106496,62
106752,66
107008,113
107264,508
107520,1332
107776,1784
108032,1271
108288,449
108544,141
108800,90
109056,66
109312,83
109568,78
109824,57
110080,78
110336,72
110592,70
110848,77
111104,62
111360,69
111616,76
111872,72
112128,68
112384,72
112640,70
112896,71
113152,83
113408,72
113664,60
113920,72
114176,72
114432,53
114688,56
114944,61
115200,54
115456,42
115712,46
115968,36
116224,41
116480,36
116736,45
116992,41
117248,44
117504,25
117760,15
118016,30
118272,42
118528,29
118784,27
119040,28
119296,29
119552,18
119808,18
120064,20
120320,14
120576,26
120832,25
121088,10
121344,24
121600,20
121856,19
122112,21
122368,13
122624,14
122880,15
123136,21
123392,13
123648,19
123904,25
124160,31
124416,29
124672,58
124928,63
125184,61
125440,70
125696,56
125952,57
126208,57
126464,77
126720,73
126976,68
127232,52
127488,51
127744,58
128000,74
128256,82
128512,71
128768,63
129024,68
129280,66
129536,67
129792,76
130048,55
130304,57
130560,65
130816,68
131328,163
131840,171
132352,146
132864,182
133376,175
133888,170
134400,182
134912,170
135424,165
135936,175
136448,177
136960,156
137472,192
137984,150
138496,202
139008,195
139520,184
140032,195
140544,224
141056,183
141568,158
142080,147
142592,154
143104,133
143616,122
144128,117
144640,133
145152,144
145664,148
146176,162
146688,191
147200,222
147712,208
148224,255
148736,250
149248,265
149760,285
150272,340
150784,367
151296,366
151808,395
152320,338
152832,355
153344,337
153856,334
154368,294
154880,286
155392,298
155904,305
156416,299
156928,293
157440,240
157952,225
158464,229
158976,253
159488,210
160000,246
160512,241
161024,372
161536,950
162048,810
162560,232
163072,171
163584,215
164096,227
164608,219
165120,233
165632,220
166144,215
166656,175
167168,121
167680,112
168192,110
168704,92
169216,97
169728,114
170240,113
170752,145
171264,151
171776,146
172288,173
172800,182
173312,152
173824,140
174336,154
174848,142
175360,101
175872,123
176384,110
176896,121
177408,150
177920,151
178432,151
178944,128
179456,115
179968,95
180480,117
180992,105
181504,118
182016,104
182528,97
183040,102
183552,122
184064,116
184576,114
185088,109
185600,109
186112,107
186624,104
187136,126
187648,104
188160,95
188672,100
189184,93
189696,100
190208,141
190720,164
191232,209
191744,200
192256,226
192768,199
193280,179
193792,202
194304,159
194816,151
195328,162
195840,168
196352,144
196864,187
197376,199
197888,201
198400,220
198912,206
199424,180
199936,209
200448,189
200960,183
201472,194
201984,186
202496,180
203008,194
203520,158
204032,159
204544,192
205056,203
205568,187
206080,160
206592,138
207104,147
207616,156
208128,132
208640,129
209152,138
209664,128
210176,95
210688,118
211200,95
211712,93
212224,98
212736,88
213248,118
213760,146
214272,129
214784,212
215296,412
215808,383
216320,252
216832,170
217344,161
217856,149
218368,169
218880,145
219392,161
219904,159
220416,147
220928,154
221440,158
221952,135
222464,127
222976,123
223488,135
224000,120
224512,176
225024,166
225536,134
226048,128
226560,118
227072,115
227584,119
228096,126
228608,115
229120,110
229632,110
230144,116
230656,145
231168,123
231680,116
232192,111
232704,130
233216,125
233728,119
234240,124
234752,132
235264,130
235776,126
236288,157
236800,147
237312,155
237824,161
238336,135
238848,138
239360,162
239872,130
240384,140
240896,112
241408,125
241920,119
242432,125
242944,109
243456,114
243968,91
244480,108
244992,113
245504,94
246016,83
246528,98
247040,91
247552,90
248064,110
248576,88
249088,108
249600,128
250112,146
250624,150
251136,142
251648,156
252160,137
252672,124
253184,134
253696,128
254208,113
254720,122
255232,132
255744,114
256256,117
256768,123
257280,100
257792,135
258304,136
258816,145
259328,129
259840,132
260352,113
260864,112
261376,107
261888,120
262912,211
263936,224
264960,240
265984,316
267008,334
268032,317
269056,454
270080,530
271104,317
272128,382
273152,384
274176,415
275200,407
276224,555
277248,607
278272,362
279296,288
280320,247
281344,233
282368,244
283392,215
284416,238
285440,227
286464,354
287488,439
288512,318
289536,769
290560,2164
291584,1231
292608,388
293632,283
294656,271
295680,262
296704,247
297728,202
298752,255
299776,211
300800,184
301824,228
302848,244
303872,184
304896,191
305920,197
306944,180
307968,163
308992,177
310016,175
311040,185
312064,187
313088,204
314112,190
315136,203
316160,237
317184,233
318208,214
319232,174
320256,203
321280,203
322304,218
323328,307
324352,220
325376,192
326400,143
327424,200
328448,254
329472,250
330496,250
331520,237
332544,266
333568,312
334592,354
335616,269
336640,252
337664,271
338688,214
339712,229
340736,208
341760,194
342784,241
343808,210
344832,205
345856,220
346880,156
347904,195
348928,181
349952,136
350976,134
352000,143
353024,130
354048,139
355072,119
356096,163
357120,126
358144,133
359168,157
360192,125
