cache_lines,MRC
256,0.0347411
512,0.0328832
768,0.0281131
1024,0.0265277
1280,0.0256469
1536,0.0238093
1792,0.0223676
2048,0.0216545
2304,0.0213588
2560,0.0211317
2816,0.0207361
3072,0.0204575
3328,0.019906
3584,0.0195925
3840,0.0195009
4096,0.0194131
4352,0.0190964
4608,0.0187382
4864,0.0187125
5120,0.0186649
5376,0.0186361
5632,0.0186001
5888,0.0185833
6144,0.0185467
6400,0.0185381
6656,0.0185283
6912,0.0185121
7168,0.0184958
7424,0.0184805
7680,0.0184742
7936,0.018468
8192,0.0184582
8448,0.0184503
8704,0.0184462
8960,0.0184428
9216,0.018432
9472,0.0184196
9728,0.0184057
9984,0.0183929
10240,0.0183811
10496,0.0183618
10752,0.0183362
11008,0.0183159
11264,0.0183011
11520,0.0182884
11776,0.0182752
12032,0.0182635
12288,0.0182528
12544,0.0182442
12800,0.0182365
13056,0.0182297
13312,0.0182158
13568,0.0182039
13824,0.0181879
14080,0.0181754
14336,0.0181644
14592,0.0181536
14848,0.0181413
15104,0.0181311
15360,0.018122
15616,0.0181127
15872,0.0181031
16128,0.0180929
16384,0.0180816
16640,0.0180733
16896,0.018065
17152,0.0180556
17408,0.0180454
17664,0.0180368
17920,0.0180275
18176,0.018015
18432,0.0180004
18688,0.0179816
18944,0.0179721
19200,0.0179625
19456,0.017936
19712,0.0179061
19968,0.0178967
20224,0.0178883
20480,0.0178811
20736,0.0178739
20992,0.0178669
21248,0.017859
21504,0.0178518
21760,0.0178451
22016,0.0178356
22272,0.017824
22528,0.0178147
22784,0.0178074
23040,0.0177999
23296,0.0177936
23552,0.0177882
23808,0.0177829
24064,0.0177782
24320,0.0177653
24576,0.0176791
24832,0.0176285
25088,0.0176202
25344,0.017601
25600,0.0175875
25856,0.0175747
26112,0.0175625
26368,0.0175557
26624,0.0175508
26880,0.0175456
27136,0.0175397
27392,0.0175346
27648,0.0175299
27904,0.0175239
28160,0.0175108
28416,0.0175013
28672,0.0174813
28928,0.017439
29184,0.0174337
29440,0.0174258
29696,0.017417
29952,0.017409
30208,0.0174004
30464,0.0173927
30720,0.0173868
30976,0.0173816
31232,0.0173765
31488,0.0173718
31744,0.0173665
32000,0.0173598
32256,0.0173545
32512,0.0173491
32768,0.017343
33024,0.0173378
33280,0.0173324
33536,0.0173248
33792,0.0173179
34048,0.0173128
34304,0.0173056
34560,0.0173
34816,0.0172935
35072,0.0172874
35328,0.0172786
35584,0.0172692
35840,0.0172597
36096,0.0172532
36352,0.0172469
36608,0.0172411
36864,0.0172351
37120,0.0172293
37376,0.0172215
37632,0.0172127
37888,0.0172071
38144,0.0172
38400,0.0171931
38656,0.0171869
38912,0.0171797
39168,0.0171726
39424,0.0171659
39680,0.0171593
39936,0.0171521
40192,0.0171452
40448,0.0171373
40704,0.0171295
40960,0.0171199
41216,0.0171119
41472,0.0171042
41728,0.0170966
41984,0.0170904
42240,0.0170841
42496,0.0170773
42752,0.0170666
43008,0.0170591
43264,0.0170528
43520,0.017047
43776,0.017041
44032,0.0170358
44288,0.0170305
44544,0.017025
44800,0.0170193
45056,0.0170134
45312,0.0170068
45568,0.0169999
45824,0.0169937
46080,0.0169875
46336,0.0169808
46592,0.0169734
46848,0.0169644
47104,0.0169553
47360,0.016949
47616,0.0169443
47872,0.0169378
48128,0.0169289
48384,0.0169182
48640,0.016907
48896,0.0168958
49152,0.0168891
49408,0.0168834
49664,0.0168795
49920,0.0168759
50176,0.0168712
50432,0.0168672
50688,0.0168626
50944,0.0168573
51200,0.0168538
51456,0.0168494
51712,0.0168448
51968,0.0168409
52224,0.0168365
52480,0.0168321
52736,0.0168278
52992,0.0168239
53248,0.01682
53504,0.0168156
53760,0.016812
54016,0.0168076
54272,0.0168019
54528,0.0167985
54784,0.0167938
55040,0.0167892
55296,0.0167856
55552,0.0167818
55808,0.0167771
56064,0.016774
56320,0.0167677
56576,0.0167618
56832,0.0167567
57088,0.0167502
57344,0.0167449
57600,0.0167412
57856,0.0167367
58112,0.0167325
58368,0.016729
58624,0.0167245
58880,0.0167204
59136,0.0167171
59392,0.0167129
59648,0.0167087
59904,0.016705
60160,0.0167007
60416,0.0166967
60672,0.0166928
60928,0.0166893
61184,0.016685
61440,0.0166814
61696,0.0166777
61952,0.0166725
62208,0.0166685
62464,0.0166651
62720,0.0166607
62976,0.0166569
63232,0.0166534
63488,0.0166488
63744,0.0166455
64000,0.0166418
64256,0.0166377
64512,0.0166345
64768,0.0166309
65024,0.0166261
65280,0.0166226
65536,0.0166191
65792,0.0166136
66048,0.0166104
66304,0.0166065
66560,0.0166011
66816,0.016598
67072,0.0165934
67328,0.0165885
67584,0.0165848
67840,0.0165809
68096,0.0165764
68352,0.0165726
68608,0.0165686
68864,0.0165638
69120,0.0165598
69376,0.016555
69632,0.0165507
69888,0.0165469
70144,0.0165418
70400,0.0165377
70656,0.0165334
70912,0.0165286
71168,0.016503
71424,0.0164959
71680,0.0164907
71936,0.0164844
72192,0.0164787
72448,0.0164725
72704,0.0164662
72960,0.0164602
73216,0.0164542
73472,0.016448
73728,0.016442
73984,0.0164361
74240,0.016429
74496,0.0164226
74752,0.0164161
75008,0.0164038
75264,0.0163915
75520,0.0163807
75776,0.0163689
76032,0.0163554
76288,0.0163434
76544,0.0163312
76800,0.0163194
77056,0.0163078
77312,0.016295
77568,0.0162834
77824,0.0162704
78080,0.0162584
78336,0.0162474
78592,0.0162351
78848,0.0162231
79104,0.0162118
79360,0.0161997
79616,0.0161875
79872,0.0161753
80128,0.0161627
80384,0.0161504
80640,0.0161391
80896,0.0161261
81152,0.0161132
81408,0.0161005
81664,0.0160862
81920,0.0160726
82176,0.016059
82432,0.016045
82688,0.016032
82944,0.016019
83200,0.0159959
83456,0.0159818
83712,0.0159677
83968,0.0159534
84224,0.0159401
84480,0.015927
84736,0.0159128
84992,0.0158983
85248,0.0158841
85504,0.0158685
85760,0.0158546
86016,0.0158406
86272,0.0158264
86528,0.0158127
86784,0.015799
87040,0.0157842
87296,0.0157679
87552,0.0157515
87808,0.0157356
88064,0.0157186
88320,0.0157003
88576,0.0156812
88832,0.0156614
89088,0.0156399
89344,0.015615
89600,0.0155922
89856,0.0155698
90112,0.0155516
90368,0.0155354
90624,0.0155192
90880,0.0155033
91136,0.0154868
91392,0.0154705
91648,0.0154543
91904,0.0154369
92160,0.0154193
92416,0.0154021
92672,0.0153839
92928,0.0153661
93184,0.0153485
93440,0.0153308
93696,0.0153132
93952,0.0152936
94208,0.0152758
94464,0.0152586
94720,0.0152312
94976,0.0152035
95232,0.015174
95488,0.0151428
95744,0.0151136
96000,0.0150849
96256,0.0150553
96512,0.0150252
96768,0.0149969
97024,0.0149665
97280,0.0149374
97536,0.0149091
97792,0.0148653
98048,0.0147955
98304,0.0147318
98560,0.0146976
98816,0.0146733
99072,0.0146416
99328,0.0146201
99584,0.0146029
99840,0.0145855
100096,0.0145676
100352,0.0145493
100608,0.0145312
100864,0.0145135
101120,0.0144953
101376,0.0144785
101632,0.0144603
101888,0.0144422
102144,0.0144245
102400,0.014406
102656,0.0143839
102912,0.0143667
103168,0.0143496
103424,0.0143324
103680,0.0143148
103936,0.0142997
104192,0.0142875
104448,0.0142754
104704,0.0142639
104960,0.014252
105216,0.0142407
105472,0.0142303
105728,0.014219
105984,0.0142069
106240,0.0141949
106496,0.0141839
106752,0.0141729
107008,0.0141616
107264,0.0141506
107520,0.0141391
107776,0.0141272
108032,0.0141161
108288,0.0141045
108544,0.0140922
108800,0.0140808
109056,0.0140688
109312,0.0140539
109568,0.0140383
109824,0.014023
110080,0.0140074
110336,0.0139916
110592,0.0139753
110848,0.0139604
111104,0.0139458
111360,0.0139309
111616,0.0139159
111872,0.0139012
112128,0.0138861
112384,0.0138713
112640,0.0138555
112896,0.0138206
113152,0.0137854
113408,0.0137631
113664,0.0137494
113920,0.013731
114176,0.0137143
114432,0.0137014
114688,0.0136892
114944,0.0136774
115200,0.0136674
115456,0.0136586
115712,0.0136497
115968,0.0136406
116224,0.0136307
116480,0.0136204
116736,0.0136109
116992,0.0136018
117248,0.0135918
117504,0.0135818
117760,0.0135724
118016,0.0135643
118272,0.013557
118528,0.0135483
118784,0.0135394
119040,0.0135309
119296,0.0135219
119552,0.0135142
119808,0.0135072
120064,0.0135003
120320,0.0134942
120576,0.0134879
120832,0.0134815
121088,0.0134754
121344,0.0134699
121600,0.0134642
121856,0.0134583
122112,0.013452
122368,0.0134455
122624,0.0134401
122880,0.013435
123136,0.01343
123392,0.0134236
123648,0.0134162
