cache_lines,MRC
256,0.0765024
512,0.0512849
768,0.0404505
1024,0.0334818
1280,0.0297957
1536,0.0283746
1792,0.0277852
2048,0.027072
2304,0.0264789
2560,0.0259866
2816,0.025586
3072,0.0252742
3328,0.0250378
3584,0.0248527
3840,0.0246933
4096,0.02455
4352,0.0244201
4608,0.024301
4864,0.0241892
5120,0.0240734
5376,0.0239567
5632,0.0238467
5888,0.0237281
6144,0.023616
6400,0.0234938
6656,0.0233682
6912,0.0232371
7168,0.0231071
7424,0.0229605
7680,0.0228108
7936,0.0226587
8192,0.0224969
8448,0.0223301
8704,0.0221557
8960,0.0219637
9216,0.0217729
9472,0.0215606
9728,0.0213512
9984,0.021127
10240,0.0208972
10496,0.0206385
10752,0.0203787
11008,0.0201232
11264,0.0198582
11520,0.0195826
11776,0.0192906
12032,0.0189973
12288,0.0187173
12544,0.0184268
12800,0.0181247
13056,0.0178339
13312,0.0175632
13568,0.0172886
13824,0.0170176
14080,0.0167433
14336,0.016482
14592,0.0161922
14848,0.0158967
15104,0.0155861
15360,0.0153097
15616,0.0150919
15872,0.0148465
16128,0.0145898
16384,0.0143121
16640,0.0140286
16896,0.0137449
17152,0.0134571
17408,0.0131629
17664,0.0128429
17920,0.012524
18176,0.0121941
18432,0.0119852
18688,0.0117829
18944,0.0115963
19200,0.0114034
19456,0.0112266
19712,0.0110633
19968,0.0109035
20224,0.0107488
20480,0.0106019
20736,0.0104645
20992,0.0103265
21248,0.010191
21504,0.0100582
21760,0.00992858
22016,0.00979965
22272,0.00967919
22528,0.00956674
22784,0.00944999
23040,0.00933595
23296,0.00923127
23552,0.00912417
23808,0.00902206
24064,0.0089268
24320,0.00882782
24576,0.00873102
24832,0.00863197
25088,0.00853861
25344,0.00844953
25600,0.00836262
25856,0.00827288
26112,0.0081859
26368,0.00810664
26624,0.00802657
26880,0.00795271
27136,0.00787618
27392,0.00779972
27648,0.007723
27904,0.00765263
28160,0.00758146
28416,0.007514
28672,0.00744723
28928,0.00737846
29184,0.00731722
29440,0.00725286
29696,0.00719544
29952,0.00713639
30208,0.00708122
30464,0.00702375
30720,0.00697003
30976,0.0069212
31232,0.00686884
31488,0.00682192
31744,0.00676954
32000,0.00671847
32256,0.00667242
32512,0.00662447
32768,0.00657961
33024,0.00653816
33280,0.00649472
33536,0.00645268
33792,0.00641461
34048,0.00637237
34304,0.00632853
34560,0.00628596
34816,0.00624854
35072,0.00620578
35328,0.00616595
35584,0.00612756
35840,0.00609166
36096,0.00605736
36352,0.00602311
36608,0.00598889
36864,0.00595543
37120,0.00592166
37376,0.0058878
37632,0.00585207
37888,0.00581671
38144,0.00578327
38400,0.00574966
38656,0.00571598
38912,0.00568545
39168,0.00565832
39424,0.00563156
39680,0.00560384
39936,0.00557622
40192,0.00554829
40448,0.00552224
40704,0.00549471
40960,0.00546793
41216,0.005444
41472,0.00542017
41728,0.00539665
41984,0.0053714
42240,0.00534647
42496,0.00532363
42752,0.00529933
43008,0.0052729
43264,0.00525273
43520,0.00522883
43776,0.00520739
44032,0.00518607
44288,0.00516184
44544,0.00514134
44800,0.00511849
45056,0.00509656
45312,0.00507573
45568,0.00505544
45824,0.00503688
46080,0.005014
46336,0.00499424
46592,0.00497454
46848,0.00495437
47104,0.00493542
47360,0.00491883
47616,0.0049004
47872,0.00488086
48128,0.00486311
48384,0.00484377
48640,0.00482588
48896,0.00480838
49152,0.00479171
49408,0.00477512
49664,0.00475888
49920,0.00474255
50176,0.00472651
50432,0.00470969
50688,0.00469555
50944,0.00467852
51200,0.00466325
51456,0.00464729
51712,0.00463119
51968,0.00461709
52224,0.00460261
52480,0.00458784
52736,0.00457349
52992,0.00455972
53248,0.0045452
53504,0.00453183
53760,0.00451782
54016,0.00450304
54272,0.00448986
54528,0.00447656
54784,0.00446275
55040,0.00444938
55296,0.00443676
55552,0.00442367
55808,0.0044096
56064,0.00439511
56320,0.0043832
56576,0.00437073
56832,0.00435887
57088,0.00434669
57344,0.0043332
57600,0.00432129
57856,0.00430999
58112,0.00429851
58368,0.00428578
58624,0.00427508
58880,0.00426349
59136,0.00425028
59392,0.00423932
59648,0.00422759
59904,0.00421666
60160,0.00420751
60416,0.00419696
60672,0.00418767
60928,0.00417732
61184,0.00416774
61440,0.00415771
61696,0.00414803
61952,0.00413716
62208,0.00412551
62464,0.00411483
62720,0.00410453
62976,0.00409367
63232,0.0040849
63488,0.00407582
63744,0.00406582
64000,0.00405638
64256,0.00404677
64512,0.00403783
64768,0.00402921
65024,0.00401961
65280,0.00401034
65536,0.00400091
65792,0.00399295
66048,0.00398496
66304,0.00397726
66560,0.0039685
66816,0.00396038
67072,0.00395206
67328,0.00394259
67584,0.00393381
67840,0.00392569
68096,0.00391715
68352,0.00390818
68608,0.00389964
68864,0.00389085
69120,0.00388241
69376,0.00387441
69632,0.00386722
69888,0.00386011
70144,0.00385315
70400,0.00384644
70656,0.003839
70912,0.00383219
71168,0.00382543
71424,0.00381869
71680,0.00381131
71936,0.00380454
72192,0.00379759
72448,0.00379105
72704,0.00378463
72960,0.00377696
73216,0.00376947
73472,0.00376287
73728,0.0037562
73984,0.00374934
74240,0.00374204
74496,0.00373549
74752,0.00372888
75008,0.00372218
75264,0.00371623
75520,0.0037103
75776,0.00370371
76032,0.00369799
76288,0.00369129
76544,0.00368498
76800,0.00367931
77056,0.00367303
77312,0.00366618
77568,0.00365945
77824,0.00365276
78080,0.00364687
78336,0.00364076
78592,0.00363521
78848,0.00362872
79104,0.00362067
79360,0.00361501
79616,0.00360862
79872,0.00360234
80128,0.00359634
80384,0.00359084
80640,0.00358518
80896,0.00357947
81152,0.0035736
81408,0.00356732
81664,0.00356154
81920,0.003556
82176,0.00355052
82432,0.00354504
82688,0.00354
82944,0.0035341
83200,0.0035282
83456,0.00352278
83712,0.00351647
83968,0.00351056
84224,0.00350554
84480,0.00350059
84736,0.00349544
84992,0.00348987
85248,0.00348422
85504,0.00347934
85760,0.00347422
86016,0.00346881
86272,0.00346453
86528,0.00345945
86784,0.00345453
87040,0.00344928
87296,0.00344441
87552,0.00343929
87808,0.00343451
88064,0.00342818
88320,0.00342312
88576,0.00341762
88832,0.00341257
89088,0.00340762
89344,0.00340254
89600,0.00339735
89856,0.00339202
90112,0.00338716
90368,0.00338223
90624,0.00337751
90880,0.00337253
91136,0.00336736
91392,0.0033622
91648,0.00335718
91904,0.0033513
92160,0.00334668
92416,0.0033418
92672,0.00333729
92928,0.00333265
93184,0.0033277
93440,0.00332269
93696,0.0033175
93952,0.00331308
94208,0.00330803
94464,0.00330303
94720,0.00329801
94976,0.00329379
95232,0.0032897
95488,0.00328442
95744,0.00327949
96000,0.00327494
96256,0.00327028
96512,0.00326573
96768,0.00326125
97024,0.00325643
97280,0.00325156
97536,0.00324696
97792,0.00324253
98048,0.00323833
98304,0.00323397
98560,0.00322938
98816,0.00322457
99072,0.00322014
99328,0.00321592
99584,0.00321138
99840,0.00320695
100096,0.00320251
100352,0.00319845
100608,0.00319421
100864,0.00318975
101120,0.00318545
101376,0.00318129
101632,0.00317715
101888,0.00317286
102144,0.00316868
102400,0.00316434
102656,0.00315999
102912,0.00315537
103168,0.00315092
103424,0.00314659
103680,0.00314184
103936,0.00313761
104192,0.00313375
104448,0.00312948
104704,0.00312504
104960,0.00312109
105216,0.00311674
105472,0.0031127
105728,0.00310882
105984,0.00310446
106240,0.00310021
106496,0.00309628
106752,0.00309232
107008,0.00308818
107264,0.00308405
107520,0.00307984
107776,0.00307518
108032,0.00307127
108288,0.00306744
108544,0.00306277
108800,0.003059
109056,0.00305513
109312,0.0030509
109568,0.00304665
109824,0.00304304
110080,0.00303924
110336,0.00303567
110592,0.00303157
110848,0.00302757
111104,0.00302389
111360,0.00302027
111616,0.00301653
111872,0.00301259
112128,0.00300871
112384,0.00300476
112640,0.00300108
112896,0.00299709
113152,0.00299407
113408,0.00299042
113664,0.00298659
113920,0.00298257
114176,0.00297906
114432,0.00297496
114688,0.0029707
114944,0.00296716
115200,0.00296357
115456,0.00296009
115712,0.00295665
115968,0.00295288
116224,0.00294899
116480,0.00294511
116736,0.00294123
116992,0.00293699
117248,0.00293305
117504,0.00292939
117760,0.00292523
118016,0.00292177
118272,0.00291814
118528,0.00291453
118784,0.00291102
119040,0.00290743
119296,0.00290421
119552,0.00290057
119808,0.00289774
120064,0.00289437
120320,0.00289128
120576,0.00288829
120832,0.00288514
121088,0.00288217
121344,0.00287888
121600,0.0028754
121856,0.0028723
122112,0.00286866
122368,0.00286543
122624,0.00286218
122880,0.00285898
123136,0.00285582
123392,0.00285282
123648,0.00284948
123904,0.00284617
124160,0.00284288
124416,0.00283961
124672,0.00283588
124928,0.00283239
125184,0.00282871
125440,0.00282519
125696,0.00282155
125952,0.00281835
126208,0.00281467
126464,0.00281102
126720,0.00280751
126976,0.00280441
127232,0.00280114
127488,0.00279792
127744,0.00279396
128000,0.00279002
128256,0.00278668
128512,0.00278293
128768,0.00277936
129024,0.00277565
129280,0.00277156
129536,0.00276817
129792,0.00276427
130048,0.00276036
130304,0.0027569
130560,0.00275328
130816,0.00275018
131072,0.00274709
131328,0.00274385
131584,0.00274014
131840,0.00273699
132096,0.00273304
132352,0.00273005
132608,0.00272708
132864,0.00272404
133120,0.00272094
133376,0.00271786
133632,0.00271475
133888,0.00271204
134144,0.00270949
134400,0.00270661
134656,0.00270299
134912,0.00270008
135168,0.0026971
135424,0.00269378
135680,0.0026901
135936,0.00268711
136192,0.00268436
136448,0.00268147
136704,0.00267871
136960,0.00267562
137216,0.00267255
137472,0.00266991
137728,0.00266674
137984,0.00266395
138240,0.00266122
138496,0.00265804
138752,0.00265478
139008,0.00265185
139264,0.00264908
139520,0.00264589
139776,0.0026426
140032,0.00263958
140288,0.00263671
140544,0.00263344
140800,0.00263041
141056,0.0026275
141312,0.00262452
141568,0.00262125
141824,0.00261819
142080,0.00261536
142336,0.0026118
142592,0.00260802
142848,0.00260472
143104,0.00260187
143360,0.00259869
143616,0.0025956
143872,0.00259294
144128,0.00259051
144384,0.00258745
144640,0.00258424
144896,0.00258109
145152,0.00257806
145408,0.00257519
145664,0.00257237
145920,0.00256942
146176,0.00256634
146432,0.00256316
146688,0.00256035
146944,0.00255766
147200,0.00255503
147456,0.00255241
147712,0.00254946
147968,0.00254649
148224,0.00254357
148480,0.00254075
148736,0.00253801
148992,0.00253515
149248,0.00253237
149504,0.00252966
149760,0.0025268
150016,0.00252381
150272,0.00252086
150528,0.00251793
150784,0.00251504
151040,0.00251224
151296,0.00250995
151552,0.0025076
151808,0.00250499
152064,0.00250226
152320,0.0024995
152576,0.00249689
152832,0.00249425
153088,0.00249143
153344,0.00248858
153600,0.00248581
153856,0.00248288
154112,0.00247984
154368,0.00247694
154624,0.00247381
154880,0.00247121
155136,0.00246839
155392,0.00246519
155648,0.00246244
155904,0.00245941
156160,0.00245662
156416,0.00245398
156672,0.00245138
156928,0.00244891
157184,0.00244616
157440,0.00244343
157696,0.00244084
157952,0.00243839
158208,0.00243564
158464,0.00243286
158720,0.00243029
158976,0.00242792
159232,0.00242561
159488,0.00242293
159744,0.00242054
160000,0.00241795
160256,0.00241546
160512,0.00241319
160768,0.00241084
161024,0.00240852
161280,0.00240603
161536,0.00240327
161792,0.00240038
162048,0.00239774
162304,0.00239529
162560,0.00239251
162816,0.00238972
163072,0.00238706
163328,0.00238457
163584,0.00238233
163840,0.00237966
164096,0.00237671
164352,0.00237377
164608,0.00237094
164864,0.0023681
165120,0.00236584
165376,0.00236337
165632,0.00236088
165888,0.00235831
166144,0.00235572
166400,0.00235342
166656,0.00235057
166912,0.00234795
167168,0.00234535
167424,0.00234273
167680,0.0023402
167936,0.00233804
168192,0.00233553
168448,0.00233291
168704,0.00233026
168960,0.00232752
169216,0.00232471
169472,0.00232208
169728,0.00231948
169984,0.00231697
170240,0.00231449
170496,0.00231227
170752,0.00231013
171008,0.0023076
171264,0.00230486
171520,0.00230258
171776,0.00230041
172032,0.00229822
172288,0.00229595
172544,0.00229366
172800,0.00229152
173056,0.00228899
173312,0.00228661
173568,0.00228415
173824,0.00228176
174080,0.00227944
174336,0.00227706
174592,0.00227466
174848,0.0022726
175104,0.00227036
175360,0.00226793
175616,0.00226572
175872,0.00226368
176128,0.00226142
176384,0.00225877
176640,0.00225645
176896,0.00225383
177152,0.0022515
177408,0.00224925
177664,0.00224686
177920,0.0022444
178176,0.0022421
178432,0.00224012
178688,0.00223771
178944,0.0022356
179200,0.00223314
179456,0.00223084
179712,0.0022287
179968,0.00222642
180224,0.00222399
180480,0.00222175
180736,0.00221967
180992,0.00221781
181248,0.00221566
181504,0.00221319
181760,0.00221052
182016,0.00220802
182272,0.00220594
182528,0.00220373
182784,0.00220163
183040,0.00219912
183296,0.00219693
183552,0.00219467
183808,0.00219237
184064,0.00219037
184320,0.00218852
184576,0.00218644
184832,0.00218434
185088,0.00218187
185344,0.00217987
185600,0.00217774
185856,0.00217555
186112,0.0021734
186368,0.00217146
186624,0.00216952
186880,0.00216739
187136,0.00216535
187392,0.00216345
187648,0.00216088
187904,0.00215893
188160,0.00215699
188416,0.00215525
188672,0.00215355
188928,0.00215171
189184,0.0021497
189440,0.00214775
189696,0.00214572
189952,0.0021431
190208,0.00214098
190464,0.00213884
190720,0.00213635
190976,0.00213429
191232,0.00213189
191488,0.00212962
191744,0.00212761
192000,0.00212567
192256,0.00212374
192512,0.00212187
192768,0.00211999
193024,0.00211781
193280,0.00211571
193536,0.00211326
193792,0.00211133
194048,0.00210923
194304,0.00210719
194560,0.00210505
194816,0.00210311
195072,0.00210125
195328,0.00209952
195584,0.00209774
195840,0.00209578
196096,0.00209393
196352,0.00209213
196608,0.00209035
196864,0.00208854
197120,0.00208675
197376,0.00208468
197632,0.0020828
197888,0.00208108
198144,0.00207915
198400,0.00207742
198656,0.00207583
198912,0.00207404
199168,0.00207222
199424,0.00207038
199680,0.00206863
199936,0.00206689
200192,0.002065
200448,0.00206325
200704,0.00206142
200960,0.00205981
201216,0.00205824
201472,0.00205651
201728,0.00205458
201984,0.0020526
202240,0.00205036
202496,0.00204867
202752,0.00204698
203008,0.00204482
203264,0.00204292
203520,0.00204119
203776,0.00203927
204032,0.00203722
204288,0.00203512
204544,0.00203326
204800,0.00203167
205056,0.00203013
205312,0.00202857
205568,0.00202682
205824,0.00202493
206080,0.00202322
206336,0.0020215
206592,0.00201939
206848,0.00201723
207104,0.00201519
207360,0.00201317
207616,0.00201135
207872,0.00200984
208128,0.00200796
208384,0.00200597
208640,0.00200399
208896,0.00200191
209152,0.00200026
209408,0.00199824
209664,0.0019964
209920,0.00199446
210176,0.0019927
210432,0.00199104
210688,0.00198945
210944,0.00198762
211200,0.001986
211456,0.00198451
211712,0.00198293
211968,0.00198132
212224,0.00197969
212480,0.00197802
212736,0.00197644
212992,0.00197474
213248,0.00197292
213504,0.00197103
213760,0.00196878
214016,0.00196688
214272,0.00196528
214528,0.00196326
214784,0.00196129
215040,0.00195945
215296,0.00195753
215552,0.00195589
215808,0.00195417
216064,0.00195245
216320,0.00195078
216576,0.0019494
216832,0.00194808
217088,0.00194671
217344,0.00194512
217600,0.0019434
217856,0.00194179
218112,0.00194024
218368,0.00193868
218624,0.00193712
218880,0.00193563
219136,0.00193418
219392,0.0019326
219648,0.00193097
219904,0.0019296
220160,0.00192833
220416,0.00192666
220672,0.00192484
220928,0.00192301
221184,0.00192116
221440,0.00191955
221696,0.001918
221952,0.0019165
222208,0.00191501
222464,0.00191352
222720,0.00191202
222976,0.00191043
223232,0.00190883
223488,0.0019075
223744,0.00190618
224000,0.00190509
224256,0.00190397
224512,0.00190233
224768,0.0019007
225024,0.00189912
225280,0.00189753
225536,0.00189595
225792,0.00189434
226048,0.00189262
226304,0.00189095
226560,0.00188939
226816,0.00188782
227072,0.00188624
227328,0.00188474
227584,0.00188335
227840,0.0018818
228096,0.00188009
228352,0.00187845
228608,0.00187684
228864,0.00187528
229120,0.00187375
229376,0.00187217
229632,0.00187058
229888,0.00186894
230144,0.00186729
230400,0.00186583
230656,0.0018644
230912,0.00186302
231168,0.00186165
231424,0.00186042
231680,0.00185912
231936,0.00185748
232192,0.00185582
232448,0.00185415
232704,0.00185253
232960,0.00185103
233216,0.00184962
233472,0.0018483
233728,0.00184709
233984,0.00184596
234240,0.00184459
234496,0.00184312
234752,0.0018415
235008,0.00183986
235264,0.00183842
235520,0.001837
235776,0.00183529
236032,0.00183363
236288,0.00183226
236544,0.00183081
236800,0.00182917
237056,0.00182766
237312,0.00182635
237568,0.00182486
237824,0.00182319
238080,0.00182157
238336,0.00181996
238592,0.0018185
238848,0.00181709
239104,0.00181534
239360,0.00181359
239616,0.0018121
239872,0.00181061
240128,0.00180907
240384,0.00180762
240640,0.00180633
240896,0.00180502
241152,0.00180369
241408,0.0018023
241664,0.00180088
241920,0.00179946
242176,0.00179805
242432,0.00179663
242688,0.00179523
242944,0.00179396
243200,0.00179258
243456,0.00179096
243712,0.00178944
243968,0.00178803
244224,0.00178652
244480,0.00178495
244736,0.00178356
244992,0.00178222
245248,0.00178097
245504,0.0017797
245760,0.00177839
246016,0.00177706
246272,0.0017757
246528,0.00177428
246784,0.00177282
247040,0.00177117
247296,0.00176944
247552,0.00176806
247808,0.00176672
248064,0.00176532
248320,0.00176395
248576,0.00176264
248832,0.0017613
249088,0.00175992
249344,0.0017585
249600,0.00175705
249856,0.00175558
250112,0.0017541
250368,0.0017526
250624,0.00175112
250880,0.00174965
251136,0.00174823
251392,0.00174688
251648,0.0017454
251904,0.00174385
252160,0.00174229
252416,0.00174071
252672,0.00173906
252928,0.0017375
253184,0.00173614
253440,0.00173471
253696,0.00173323
253952,0.0017318
254208,0.00173039
