cache_lines,MRC
256,0.0760525
512,0.0505741
768,0.0390587
1024,0.0330972
1280,0.0302896
1536,0.0293989
1792,0.0285913
2048,0.0278647
2304,0.0272862
2560,0.0268506
2816,0.0265302
3072,0.0262912
3328,0.0261003
3584,0.0259492
3840,0.0258244
4096,0.0257163
4352,0.0256179
4608,0.0255193
4864,0.0254304
5120,0.0253472
5376,0.0252629
5632,0.0251774
5888,0.0250853
6144,0.0249939
6400,0.0249
6656,0.0248067
6912,0.024713
7168,0.024619
7424,0.0245181
7680,0.0244138
7936,0.0243062
8192,0.0241892
8448,0.0240755
8704,0.0239541
8960,0.0238224
9216,0.0236941
9472,0.0235653
9728,0.0234318
9984,0.0232822
10240,0.0231311
10496,0.0229672
10752,0.0227975
11008,0.022631
11264,0.0224576
11520,0.0222834
11776,0.0220912
12032,0.0218889
12288,0.021695
12544,0.0214736
12800,0.0212584
13056,0.0210384
13312,0.0208097
13568,0.0205829
13824,0.0203556
14080,0.0201032
14336,0.0198645
14592,0.0196219
14848,0.0193989
15104,0.0191799
15360,0.0189576
15616,0.0187297
15872,0.0185069
16128,0.0182819
16384,0.0180549
16640,0.0178183
16896,0.0175809
17152,0.0173397
17408,0.0171013
17664,0.0168691
17920,0.0166112
18176,0.0163494
18432,0.0161017
18688,0.0158569
18944,0.0156426
19200,0.0154181
19456,0.0151851
19712,0.0149515
19968,0.0147168
20224,0.0144731
20480,0.0142367
20736,0.0139936
20992,0.0137217
21248,0.0134567
21504,0.0131801
21760,0.0129121
22016,0.0127359
22272,0.0125618
22528,0.0124006
22784,0.0122472
23040,0.0121055
23296,0.0119682
23552,0.0118336
23808,0.0117073
24064,0.0115774
24320,0.0114507
24576,0.0113274
24832,0.0112104
25088,0.0110879
25344,0.0109818
25600,0.0108646
25856,0.0107557
26112,0.0106536
26368,0.0105471
26624,0.0104477
26880,0.010349
27136,0.0102503
27392,0.0101543
27648,0.0100535
27904,0.00995826
28160,0.00986306
28416,0.00976913
28672,0.00968131
28928,0.00959351
29184,0.00950528
29440,0.00942002
29696,0.00933863
29952,0.00925339
30208,0.00916699
30464,0.00908475
30720,0.00900744
30976,0.00892889
31232,0.00885101
31488,0.00877512
31744,0.00869971
32000,0.00862531
32256,0.00854717
32512,0.00847822
32768,0.00841399
33024,0.00834392
33280,0.00827623
33536,0.00821486
33792,0.00814922
34048,0.00808675
34304,0.00802066
34560,0.00795902
34816,0.00790035
35072,0.00784065
35328,0.00778312
35584,0.00772744
35840,0.00767664
36096,0.00762629
36352,0.0075779
36608,0.00752958
36864,0.00747844
37120,0.00742899
37376,0.00738456
37632,0.00733829
37888,0.00728833
38144,0.00724174
38400,0.0071976
38656,0.00715309
38912,0.00710997
39168,0.00706687
39424,0.00702732
39680,0.00698407
39936,0.00694098
40192,0.0069041
40448,0.00686816
40704,0.00682848
40960,0.0067922
41216,0.00675228
41472,0.00671439
41728,0.00667414
41984,0.00663996
42240,0.00660227
42496,0.00656425
42752,0.00653125
43008,0.00649802
43264,0.00646523
43520,0.00643018
43776,0.00639962
44032,0.00636866
44288,0.00633267
44544,0.00629794
44800,0.00626607
45056,0.00623315
45312,0.00620375
45568,0.00617234
45824,0.00614309
46080,0.00611397
46336,0.00608632
46592,0.00606185
46848,0.00603414
47104,0.00600564
47360,0.00597922
47616,0.00595199
47872,0.00592646
48128,0.00590093
48384,0.00587466
48640,0.00584966
48896,0.0058231
49152,0.00580051
49408,0.00577564
49664,0.00575213
49920,0.00572968
50176,0.00570682
50432,0.0056831
50688,0.00566115
50944,0.00564036
51200,0.00561812
51456,0.00559639
51712,0.00557365
51968,0.00555259
52224,0.00553271
52480,0.00551234
52736,0.00549136
52992,0.00546835
53248,0.00544753
53504,0.00542679
53760,0.00540772
54016,0.00538815
54272,0.00536846
54528,0.00534847
54784,0.00532953
55040,0.00530998
55296,0.0052905
55552,0.0052725
55808,0.00525443
56064,0.00523583
56320,0.00521736
56576,0.00519992
56832,0.00518324
57088,0.00516381
57344,0.00514684
57600,0.00512903
57856,0.00511051
58112,0.0050944
58368,0.00507718
58624,0.00505986
58880,0.00504423
59136,0.00502817
59392,0.00501124
59648,0.00499493
59904,0.00497855
60160,0.00496333
60416,0.00494866
60672,0.0049338
60928,0.00491783
61184,0.00490331
61440,0.00488809
61696,0.00487346
61952,0.00485859
62208,0.00484604
62464,0.00483233
62720,0.00481738
62976,0.00480131
63232,0.00478753
63488,0.00477414
63744,0.00475868
64000,0.00474432
64256,0.00473057
64512,0.00471768
64768,0.00470564
65024,0.0046932
65280,0.00468058
65536,0.00466778
65792,0.00465549
66048,0.00464139
66304,0.00462918
66560,0.00461609
66816,0.00460362
67072,0.00459152
67328,0.00457825
67584,0.0045659
67840,0.00455287
68096,0.00454139
68352,0.00453147
68608,0.00451948
68864,0.00450756
69120,0.0044962
69376,0.00448477
69632,0.00447358
69888,0.00446189
70144,0.00444887
70400,0.00443806
70656,0.00442709
70912,0.00441637
71168,0.0044066
71424,0.0043958
71680,0.0043855
71936,0.00437491
72192,0.0043641
72448,0.00435355
72704,0.00434354
72960,0.00433415
73216,0.00432422
73472,0.00431422
73728,0.00430431
73984,0.00429352
74240,0.00428285
74496,0.00427235
74752,0.00426264
75008,0.00425398
75264,0.00424342
75520,0.00423388
75776,0.00422453
76032,0.0042152
76288,0.00420526
76544,0.0041968
76800,0.00418791
77056,0.00417878
77312,0.00416983
77568,0.00416189
77824,0.00415342
78080,0.00414406
78336,0.00413511
78592,0.00412555
78848,0.0041153
79104,0.0041075
79360,0.0040988
