cache_lines,MRC
256,0.132427
512,0.0860199
768,0.0650447
1024,0.0572604
1280,0.0544335
1536,0.0521448
1792,0.0504838
2048,0.0493848
2304,0.0485676
2560,0.0479482
2816,0.0474775
3072,0.0471081
3328,0.0467737
3584,0.0464793
3840,0.0462223
4096,0.0459812
4352,0.0457399
4608,0.045502
4864,0.0452676
5120,0.0450399
5376,0.0448095
5632,0.0445755
5888,0.0443297
6144,0.0440848
6400,0.0438195
6656,0.0435439
6912,0.0432738
7168,0.0429781
7424,0.042665
7680,0.0423443
7936,0.0420035
8192,0.0416572
8448,0.0412857
8704,0.0409082
8960,0.0404885
9216,0.0400898
9472,0.0396748
9728,0.0392407
9984,0.0387966
10240,0.0383509
10496,0.0379101
10752,0.0375079
11008,0.0370938
11264,0.0366864
11520,0.0362816
11776,0.0358752
12032,0.0354589
12288,0.0350356
12544,0.0346242
12800,0.0342002
13056,0.0337436
13312,0.0333111
13568,0.0328865
13824,0.0325065
14080,0.0321156
14336,0.0317043
14592,0.031285
14848,0.0308619
15104,0.030451
15360,0.0299967
15616,0.0295325
15872,0.0290745
16128,0.028668
16384,0.0283736
16640,0.0280796
16896,0.0278065
17152,0.0275556
17408,0.0273161
17664,0.0270767
17920,0.0268417
18176,0.0266138
18432,0.0263734
18688,0.026152
18944,0.0259281
19200,0.0257265
19456,0.0255093
19712,0.0253021
19968,0.0250951
20224,0.0248904
20480,0.0246834
20736,0.0244901
20992,0.0242909
21248,0.0240834
21504,0.0238838
21760,0.0236856
22016,0.023495
22272,0.0233158
22528,0.0231341
22784,0.0229612
23040,0.0227835
23296,0.0226059
23552,0.0224224
23808,0.0222485
24064,0.0220788
24320,0.0219138
24576,0.021748
24832,0.0215887
25088,0.021423
25344,0.0212531
25600,0.0210829
25856,0.0209427
26112,0.0207941
26368,0.0206337
26624,0.0204942
26880,0.0203529
27136,0.0202158
27392,0.0200782
27648,0.0199429
27904,0.0198139
28160,0.0196806
28416,0.019546
28672,0.0194237
28928,0.0192994
29184,0.0191805
29440,0.0190667
29696,0.018948
29952,0.0188308
30208,0.0187183
30464,0.0186091
30720,0.0184963
30976,0.0183805
31232,0.018274
31488,0.0181648
31744,0.0180541
32000,0.0179489
32256,0.0178474
32512,0.0177486
32768,0.0176488
33024,0.0175512
33280,0.0174525
33536,0.01736
33792,0.0172664
34048,0.0171763
34304,0.0170867
34560,0.016993
34816,0.0169008
35072,0.0168114
35328,0.0167227
35584,0.0166342
35840,0.0165504
36096,0.0164686
36352,0.0163837
36608,0.0163054
36864,0.0162251
37120,0.0161394
37376,0.0160529
37632,0.015974
37888,0.0158969
38144,0.0158224
38400,0.0157454
38656,0.0156679
38912,0.0155905
39168,0.0155189
39424,0.015447
39680,0.0153756
39936,0.0153034
40192,0.0152366
40448,0.015169
40704,0.0151033
40960,0.0150352
41216,0.0149697
41472,0.0149013
41728,0.0148384
41984,0.014777
42240,0.0147147
42496,0.014652
42752,0.0145867
43008,0.014525
43264,0.0144632
43520,0.0144071
43776,0.0143458
44032,0.0142844
44288,0.0142215
44544,0.0141653
44800,0.0141083
45056,0.0140507
45312,0.0139964
45568,0.0139422
45824,0.0138882
46080,0.0138369
46336,0.0137834
46592,0.0137306
46848,0.0136764
47104,0.0136239
47360,0.0135747
47616,0.013524
47872,0.013473
48128,0.0134223
48384,0.0133731
48640,0.0133253
48896,0.0132742
49152,0.0132274
49408,0.0131816
49664,0.0131344
49920,0.0130895
50176,0.0130439
50432,0.012997
50688,0.0129508
50944,0.012909
51200,0.0128642
51456,0.0128205
51712,0.0127786
51968,0.0127395
52224,0.0126969
52480,0.0126549
52736,0.0126148
52992,0.0125753
53248,0.0125366
53504,0.0124961
53760,0.0124574
54016,0.0124187
54272,0.0123794
54528,0.0123421
54784,0.0123039
55040,0.012263
55296,0.0122216
55552,0.0121837
55808,0.0121461
56064,0.0121094
56320,0.0120734
56576,0.0120392
56832,0.0120037
57088,0.0119679
57344,0.0119332
57600,0.0118953
57856,0.0118577
58112,0.0118198
58368,0.0117825
58624,0.0117457
58880,0.0117132
59136,0.0116809
59392,0.0116483
59648,0.0116181
59904,0.0115844
60160,0.011553
60416,0.011524
60672,0.0114905
60928,0.0114585
61184,0.0114285
61440,0.0113994
61696,0.011369
61952,0.0113404
62208,0.011308
62464,0.0112785
62720,0.0112479
62976,0.0112194
63232,0.0111901
63488,0.0111609
63744,0.011129
64000,0.0111007
64256,0.0110715
64512,0.0110415
64768,0.0110137
65024,0.0109849
65280,0.0109576
65536,0.010931
65792,0.0109032
66048,0.0108748
66304,0.0108486
66560,0.010823
66816,0.0107981
67072,0.0107734
67328,0.0107462
67584,0.0107209
67840,0.0106933
68096,0.0106669
68352,0.0106429
68608,0.0106203
68864,0.0105949
69120,0.010569
69376,0.0105457
69632,0.0105188
69888,0.0104935
70144,0.0104695
70400,0.0104452
70656,0.010417
70912,0.0103938
71168,0.0103717
71424,0.0103488
71680,0.0103257
71936,0.010301
72192,0.0102761
72448,0.010253
72704,0.01023
72960,0.0102083
73216,0.0101846
73472,0.0101619
73728,0.0101397
73984,0.0101175
74240,0.0100946
74496,0.0100716
74752,0.0100518
75008,0.0100312
75264,0.0100105
75520,0.00999
75776,0.00996855
76032,0.00994739
76288,0.00992575
76544,0.00990403
76800,0.00988326
77056,0.00986285
77312,0.00984356
77568,0.00982388
77824,0.00980476
78080,0.0097873
78336,0.00976818
78592,0.00974848
78848,0.00972911
79104,0.00971009
79360,0.00969055
79616,0.00967005
79872,0.00965336
80128,0.00963478
80384,0.00961568
80640,0.00959502
80896,0.0095763
81152,0.00955665
81408,0.00953943
81664,0.00952076
81920,0.00950232
82176,0.00948472
82432,0.0094676
82688,0.00945187
82944,0.00943308
83200,0.00941305
83456,0.00939507
83712,0.00937841
83968,0.00936067
84224,0.00934159
84480,0.00932268
84736,0.00930595
84992,0.00928863
85248,0.00926968
85504,0.00925204
85760,0.0092345
86016,0.00921594
86272,0.00919949
86528,0.00918349
86784,0.00916697
87040,0.00914973
87296,0.00913265
87552,0.00911454
87808,0.00909697
88064,0.00908181
88320,0.00906691
88576,0.00905049
88832,0.00903382
89088,0.00901597
89344,0.00900044
89600,0.00898433
89856,0.00896872
90112,0.00895239
90368,0.00893734
90624,0.00892242
90880,0.00890732
91136,0.00889216
91392,0.00887705
91648,0.00886219
91904,0.00884725
92160,0.00883177
92416,0.00881714
92672,0.0088007
92928,0.00878433
93184,0.00876889
93440,0.0087538
93696,0.00873884
93952,0.00872318
94208,0.00870685
94464,0.00869252
