reuse_time,counts
1,10948959
2,3611654
3,1480761
4,757225
5,458665
6,318058
7,236934
8,189773
9,160168
10,143931
11,131334
12,116104
13,100435
14,85198
15,73038
16,64109
17,58289
18,53459
19,49170
20,45873
21,43070
22,41649
23,40858
24,41688
25,42344
26,43671
27,44940
28,45479
29,45801
30,44957
31,43282
32,41250
33,39319
34,37464
35,36950
36,37634
37,38572
38,40748
39,42768
40,45446
41,48806
42,50847
43,52908
44,53764
45,54210
46,53062
47,50256
48,46761
49,42836
50,37463
51,32860
52,28430
53,25349
54,22747
55,21551
56,20870
57,20433
58,20414
59,20524
60,20431
61,19831
62,18999
63,18039
64,16688
65,15391
66,14067
67,12854
68,11534
69,10977
70,10088
71,9436
72,9366
73,9147
74,8821
75,8687
76,8890
77,8899
78,8882
79,9148
80,9286
81,9569
82,9948
83,10061
84,10256
85,10594
86,10983
87,11104
88,11322
89,11452
90,11597
91,11340
92,11171
93,10999
94,10508
95,10007
96,9126
97,8706
98,7958
99,7370
100,6695
101,6077
102,5633
103,5145
104,5032
105,4658
106,4509
107,4455
108,4581
109,4577
110,4669
111,4821
112,4818
113,4987
114,5203
115,5346
116,5374
117,5624
118,5807
119,5695
120,5854
121,5641
122,5624
123,5651
124,5480
125,5310
126,5243
127,4959
128,4760
129,4785
130,4451
131,4454
132,4475
133,4364
134,4344
135,4318
136,4226
137,4205
138,4060
139,4072
140,3897
141,3789
142,3699
143,3528
144,3367
145,3213
146,3101
147,2992
148,2824
149,2745
150,2631
151,2534
152,2485
153,2328
154,2292
155,2263
156,2142
157,2138
158,2005
159,2037
160,2010
161,1960
162,2003
163,1923
164,1917
165,2060
166,1960
167,2033
168,2079
169,2058
170,2105
171,2133
172,2178
173,2297
174,2270
175,2288
176,2392
177,2437
178,2380
179,2590
180,2546
181,2465
182,2526
183,2412
184,2506
185,2301
186,2348
187,2264
188,2176
189,2211
190,2039
191,1995
192,1901
193,1905
194,1861
195,1863
196,1771
197,1762
198,1794
199,1788
200,1794
201,1774
202,1777
203,1863
204,1842
205,1919
206,1916
207,1948
208,1893
209,1996
210,2029
211,2100
212,2182
213,2115
214,2140
215,2125
216,2214
217,2235
218,2265
219,2282
220,2317
221,2282
222,2316
223,2239
224,2261
225,2227
226,2214
227,2283
228,2197
229,2228
230,2052
231,2019
232,1924
233,1933
234,1840
235,1889
236,1750
237,1732
238,1608
239,1601
240,1558
241,1565
