cache_lines,MRC
256,0.0623856
512,0.0414113
768,0.0323081
1024,0.0272647
1280,0.0245886
1536,0.023939
1792,0.0233888
2048,0.0228053
2304,0.0223585
2560,0.0219832
2816,0.0217103
3072,0.0215095
3328,0.0213551
3584,0.0212296
3840,0.0211292
4096,0.0210418
4352,0.0209623
4608,0.0208936
4864,0.0208205
5120,0.0207517
5376,0.0206834
5632,0.0206185
5888,0.020555
6144,0.0204875
6400,0.0204168
6656,0.020346
6912,0.0202718
7168,0.0201946
7424,0.0201147
7680,0.0200379
7936,0.0199584
8192,0.0198743
8448,0.01979
8704,0.019705
8960,0.0196095
9216,0.0195124
9472,0.0194092
9728,0.019305
9984,0.0191995
10240,0.0190934
10496,0.0189829
10752,0.0188657
11008,0.0187419
11264,0.0186088
11520,0.0184767
11776,0.0183404
12032,0.0181949
12288,0.0180495
12544,0.0178997
12800,0.0177416
13056,0.0175715
13312,0.0174103
13568,0.0172301
13824,0.0170544
14080,0.0168771
14336,0.0166925
14592,0.016503
14848,0.016316
15104,0.0161208
15360,0.0159115
15616,0.0157087
15872,0.0155136
16128,0.0153282
16384,0.0151453
16640,0.0149618
16896,0.0147671
17152,0.0145801
17408,0.0143947
17664,0.0142042
17920,0.0140081
18176,0.0138068
18432,0.0136036
18688,0.013407
18944,0.0132126
19200,0.0129941
19456,0.0127736
19712,0.0125599
19968,0.0123508
20224,0.0121697
20480,0.0119868
20736,0.0117935
20992,0.0115979
21248,0.0113974
21504,0.0111929
21760,0.0109926
22016,0.0107892
22272,0.0105678
22528,0.010333
22784,0.0101022
23040,0.0098641
23296,0.0096736
23552,0.0095327
23808,0.00938817
24064,0.00925887
24320,0.00913398
24576,0.0090203
24832,0.00891233
25088,0.00880788
25344,0.00870199
25600,0.00859716
25856,0.00849742
26112,0.00840107
26368,0.00830357
26624,0.00821123
26880,0.00812483
27136,0.00803789
27392,0.00795438
27648,0.00787291
27904,0.00779272
28160,0.0077158
28416,0.0076362
28672,0.00756374
28928,0.00748773
29184,0.0074142
29440,0.00734397
29696,0.00727619
29952,0.00721084
30208,0.00714197
30464,0.00707393
30720,0.00701091
30976,0.00694791
31232,0.00688915
31488,0.00682802
31744,0.00676713
32000,0.00670625
32256,0.00664973
32512,0.00659311
32768,0.00653889
33024,0.00648524
33280,0.00643276
33536,0.00637711
33792,0.0063247
34048,0.00627828
34304,0.00622932
34560,0.00617801
34816,0.00613273
35072,0.00608286
35328,0.00603524
35584,0.00598491
35840,0.00593975
36096,0.00589643
36352,0.00585139
36608,0.0058082
36864,0.00576694
37120,0.00572814
37376,0.00568987
37632,0.00565428
37888,0.00561881
38144,0.00558175
38400,0.00554726
38656,0.00551416
38912,0.00548103
39168,0.00544443
39424,0.00541095
39680,0.00537856
39936,0.00534591
40192,0.00531364
40448,0.00528277
40704,0.00525571
40960,0.00522415
41216,0.00519278
41472,0.00516684
41728,0.00513835
41984,0.00510992
42240,0.00508228
42496,0.00505315
42752,0.00502491
43008,0.0049956
43264,0.004968
43520,0.00494042
43776,0.00491227
44032,0.0048882
44288,0.00486373
44544,0.00484026
44800,0.00481583
45056,0.00479176
45312,0.00476749
45568,0.00474135
45824,0.00471723
46080,0.00469438
46336,0.00466734
46592,0.00464501
46848,0.00462019
47104,0.00459876
47360,0.00457555
47616,0.0045555
47872,0.00453722
48128,0.00451773
48384,0.00449894
48640,0.0044802
48896,0.00446175
49152,0.00444421
49408,0.00442558
49664,0.00440593
49920,0.00438742
50176,0.00436711
50432,0.00434968
50688,0.00433229
50944,0.0043141
51200,0.004297
51456,0.00427824
51712,0.00425917
51968,0.00424335
52224,0.0042279
52480,0.00421126
52736,0.00419564
52992,0.00417768
53248,0.00416305
53504,0.00414838
53760,0.00413278
54016,0.00411786
54272,0.00410009
54528,0.00408585
54784,0.00407201
55040,0.00405794
55296,0.00404347
55552,0.00402849
55808,0.00401361
56064,0.00400001
56320,0.00398527
56576,0.00396941
56832,0.0039577
57088,0.00394376
57344,0.0039308
57600,0.00391875
57856,0.00390636
58112,0.0038931
58368,0.003879
58624,0.00386495
58880,0.00385138
59136,0.00383692
59392,0.00382563
59648,0.00381256
59904,0.00380113
60160,0.00378816
60416,0.00377808
60672,0.0037659
60928,0.0037543
61184,0.00374211
61440,0.00373106
61696,0.00372022
61952,0.00370896
62208,0.00369826
62464,0.00368713
62720,0.00367537
62976,0.00366498
63232,0.00365341
63488,0.00364255
63744,0.00363252
64000,0.00362167
64256,0.00361042
64512,0.00360075
64768,0.00359063
65024,0.00357859
65280,0.00356879
65536,0.00355954
65792,0.00355048
66048,0.00354176
66304,0.0035324
66560,0.00352296
66816,0.00351187
67072,0.00350211
67328,0.00349192
67584,0.00348332
67840,0.00347295
68096,0.00346408
68352,0.00345557
68608,0.00344546
68864,0.00343694
69120,0.00342797
69376,0.00341972
69632,0.00341134
69888,0.00340227
70144,0.00339429
70400,0.00338548
70656,0.00337732
70912,0.00337046
71168,0.0033622
71424,0.00335215
71680,0.00334453
71936,0.00333561
72192,0.00332719
72448,0.00332048
72704,0.00331326
72960,0.00330604
73216,0.00329823
73472,0.00329092
73728,0.00328326
73984,0.00327722
74240,0.0032703
74496,0.00326219
74752,0.00325444
75008,0.00324712
75264,0.00323952
75520,0.0032323
75776,0.00322461
76032,0.00321692
76288,0.00321019
76544,0.00320355
76800,0.00319768
77056,0.00319152
77312,0.00318456
77568,0.00317665
77824,0.00316978
78080,0.00316375
78336,0.00315729
78592,0.00315085
78848,0.00314397
79104,0.00313804
79360,0.00313174
79616,0.00312514
79872,0.00311898
80128,0.00311124
80384,0.00310576
80640,0.00310042
80896,0.00309499
81152,0.00308809
81408,0.00308131
81664,0.00307575
81920,0.00306993
82176,0.00306329
82432,0.00305631
82688,0.00305082
82944,0.00304455
83200,0.00303826
83456,0.00303172
83712,0.00302577
83968,0.0030202
84224,0.00301453
84480,0.00300968
84736,0.00300508
84992,0.00299971
85248,0.0029945
85504,0.00298961
85760,0.00298449
86016,0.00297939
86272,0.00297421
86528,0.00296968
86784,0.00296444
87040,0.00295839
87296,0.00295345
87552,0.00294842
87808,0.00294381
88064,0.00293796
88320,0.00293268
88576,0.00292787
88832,0.00292282
89088,0.00291838
89344,0.00291414
89600,0.00290901
89856,0.00290403
90112,0.00289933
90368,0.00289488
90624,0.00289035
90880,0.0028857
91136,0.00288091
91392,0.00287622
91648,0.00287147
91904,0.00286696
92160,0.00286217
92416,0.00285726
92672,0.00285233
92928,0.00284763
93184,0.0028432
93440,0.00283875
93696,0.0028343
93952,0.00282946
94208,0.00282476
94464,0.00282066
94720,0.00281609
94976,0.00281118
95232,0.00280588
95488,0.00280099
