cache_lines,MRC
256,0.111784
512,0.0735732
768,0.0339377
1024,0.0295722
1280,0.0278453
1536,0.0276855
1792,0.0273459
2048,0.0273064
2304,0.0272965
2560,0.0272862
2816,0.0272769
3072,0.0271625
3328,0.027154
3584,0.0270466
3840,0.0269981
4096,0.0269163
4352,0.0268989
4608,0.0267927
4864,0.0267847
5120,0.0267771
5376,0.0267674
5632,0.0266678
5888,0.026659
6144,0.0266502
6400,0.0266412
6656,0.0266309
6912,0.0266206
7168,0.0265817
7424,0.0265332
7680,0.026484
7936,0.0264682
8192,0.0263036
8448,0.0262578
8704,0.0262439
8960,0.0262308
9216,0.0262167
9472,0.0262028
9728,0.0261887
9984,0.0261729
10240,0.0261584
10496,0.0261429
10752,0.0261267
11008,0.0261068
11264,0.02609
11520,0.0260742
11776,0.0260571
12032,0.0260392
12288,0.026021
12544,0.0260007
12800,0.025896
13056,0.0257725
13312,0.0257158
13568,0.025665
13824,0.0256313
14080,0.0255899
14336,0.0254616
14592,0.0253171
14848,0.0252167
15104,0.025173
15360,0.0251378
15616,0.025103
15872,0.025062
16128,0.0250215
16384,0.0249779
16640,0.0249426
16896,0.024907
17152,0.0248721
17408,0.0248392
17664,0.0248049
17920,0.0247689
18176,0.0247319
18432,0.0246792
18688,0.02462
18944,0.0245505
19200,0.0244686
19456,0.0244013
19712,0.0243442
19968,0.0242934
20224,0.0242495
20480,0.0242062
20736,0.0241664
20992,0.0241222
21248,0.024081
21504,0.0240422
21760,0.0240035
22016,0.023802
22272,0.0237646
22528,0.0237274
22784,0.02369
23040,0.0236439
23296,0.0235976
23552,0.0235594
23808,0.0235236
24064,0.0234895
24320,0.0234452
24576,0.0234121
24832,0.023379
25088,0.0233429
25344,0.0233096
25600,0.0232784
25856,0.0232465
26112,0.0232193
26368,0.0231899
26624,0.0231669
26880,0.023144
27136,0.0231225
27392,0.0230991
27648,0.0230754
27904,0.0230551
28160,0.0230343
28416,0.0230139
28672,0.0228969
28928,0.0226688
29184,0.0224921
29440,0.0224719
29696,0.0224526
29952,0.0224355
30208,0.022418
30464,0.0224024
30720,0.0223854
30976,0.0223689
31232,0.0223533
31488,0.022338
31744,0.0223228
32000,0.0223096
32256,0.022295
32512,0.0222807
32768,0.0222676
33024,0.0222539
33280,0.0222416
33536,0.0222294
33792,0.0222174
34048,0.0222057
34304,0.0221932
34560,0.0221821
34816,0.0221692
35072,0.0221586
35328,0.0221487
35584,0.0221402
35840,0.0221304
36096,0.0221212
36352,0.022113
36608,0.0221062
36864,0.0220991
37120,0.0220752
37376,0.0220588
37632,0.0220393
37888,0.0220323
38144,0.0219775
38400,0.0219584
38656,0.0219411
38912,0.0219293
39168,0.0218786
39424,0.0218618
39680,0.0218544
39936,0.0218487
40192,0.0218125
40448,0.0218065
40704,0.0218018
40960,0.0217973
41216,0.021793
41472,0.0217889
41728,0.0217847
41984,0.0217804
42240,0.0217768
42496,0.0217733
42752,0.0217692
43008,0.0217647
43264,0.0217611
43520,0.0217576
43776,0.021754
44032,0.0217512
44288,0.0217483
44544,0.0217452
44800,0.0217421
45056,0.0217394
45312,0.0217365
45568,0.0217336
45824,0.0217307
46080,0.0217278
46336,0.0217254
46592,0.0217224
46848,0.0217161
47104,0.0217136
47360,0.0217112
47616,0.021706
47872,0.0217005
48128,0.0216954
48384,0.0216907
48640,0.0216857
48896,0.021677
49152,0.0216716
49408,0.0216661
49664,0.0216609
49920,0.021656
50176,0.0216517
50432,0.0216474
50688,0.021643
50944,0.0216384
51200,0.0216336
51456,0.0216292
51712,0.0216248
51968,0.0216198
52224,0.0216156
52480,0.021611
52736,0.0216067
52992,0.021602
53248,0.021598
53504,0.0215935
53760,0.0215893
54016,0.0215849
54272,0.0215807
54528,0.0215767
54784,0.0215729
55040,0.0215689
55296,0.0215651
55552,0.0215606
55808,0.0215561
56064,0.0215518
56320,0.021548
56576,0.021544
56832,0.0215398
57088,0.0215352
57344,0.0215329
57600,0.0215313
57856,0.0215296
58112,0.0215279
58368,0.0215263
58624,0.021525
58880,0.0215239
59136,0.0215223
59392,0.021521
59648,0.0215197
59904,0.0215184
60160,0.0215174
60416,0.0215163
60672,0.0215148
60928,0.0215136
61184,0.0215121
61440,0.0215107
61696,0.0215095
61952,0.0215083
62208,0.021507
62464,0.0215058
62720,0.0215047
62976,0.0215033
63232,0.021502
63488,0.0215009
63744,0.0214997
64000,0.0214984
64256,0.0214972
64512,0.0214959
64768,0.0214946
65024,0.0214933
65280,0.0214919
65536,0.0214906
65792,0.0214894
66048,0.0214879
66304,0.0214868
66560,0.0214856
66816,0.0214843
67072,0.0214828
67328,0.0214816
67584,0.02148
67840,0.0214785
68096,0.021477
68352,0.0214751
68608,0.0214736
68864,0.0214725
69120,0.0214712
69376,0.0214697
69632,0.0214686
69888,0.021467
70144,0.0214656
70400,0.0214638
70656,0.0214622
70912,0.0214605
71168,0.0214589
71424,0.0214573
71680,0.0214557
71936,0.0214541
72192,0.0214525
72448,0.0214497
72704,0.0214465
72960,0.0214441
73216,0.0214422
73472,0.0214406
73728,0.0214391
73984,0.0214377
74240,0.0214361
74496,0.0214344
74752,0.0214323
75008,0.0214304
75264,0.0214287
75520,0.021427
