cache_lines,MRC
256,0.153733
512,0.10048
768,0.0617897
1024,0.0548735
1280,0.051305
1536,0.0506232
1792,0.04997
2048,0.0499092
2304,0.0498903
2560,0.0498723
2816,0.0498554
3072,0.0496607
3328,0.0494663
3584,0.0494547
3840,0.0492685
4096,0.0492282
4352,0.0491909
4608,0.0490098
4864,0.0489962
5120,0.0489832
5376,0.0488477
5632,0.0487834
5888,0.0487681
6144,0.0487543
6400,0.0487386
6656,0.0487191
6912,0.0486804
7168,0.0486006
7424,0.0485007
7680,0.0484582
7936,0.0481845
8192,0.0480716
8448,0.0480463
8704,0.0480243
8960,0.0480001
9216,0.0479756
9472,0.0479511
9728,0.0479232
9984,0.0478965
10240,0.0478695
10496,0.0478388
10752,0.047808
11008,0.0477779
11264,0.047748
11520,0.0477172
11776,0.0476832
12032,0.0476525
12288,0.0475787
12544,0.0474381
12800,0.0472507
13056,0.0471265
13312,0.0470392
13568,0.0469805
13824,0.0468941
14080,0.0467892
14336,0.0465295
14592,0.046228
14848,0.0461177
15104,0.0460523
15360,0.045992
15616,0.0459326
15872,0.045876
16128,0.0458155
16384,0.0457532
16640,0.045694
16896,0.0456322
17152,0.0455724
17408,0.0455133
17664,0.0454531
17920,0.0453894
18176,0.0452849
18432,0.045151
18688,0.0450048
18944,0.0448625
19200,0.0447758
19456,0.0446906
19712,0.0446182
19968,0.0445445
20224,0.044473
20480,0.0443985
20736,0.0443292
20992,0.0441186
21248,0.0439032
21504,0.0438309
21760,0.0437637
22016,0.0437004
22272,0.0436223
22528,0.0435413
22784,0.0434747
23040,0.0434088
23296,0.043345
23552,0.0432786
23808,0.043213
24064,0.0431517
24320,0.0430817
24576,0.0430132
24832,0.042946
25088,0.0428864
25344,0.0428332
25600,0.0427834
25856,0.042725
26112,0.0426733
26368,0.0426245
26624,0.0425752
26880,0.0425193
27136,0.0424717
27392,0.0424258
27648,0.0423769
27904,0.0419153
28160,0.0415128
28416,0.0414189
28672,0.041383
28928,0.0413497
29184,0.0413151
29440,0.0412826
29696,0.04125
29952,0.0412173
30208,0.0411878
30464,0.0411591
30720,0.0411302
30976,0.0411005
31232,0.0410703
31488,0.0410418
31744,0.0410165
32000,0.0409894
32256,0.0409648
32512,0.0409402
32768,0.0409167
33024,0.0408944
33280,0.0408717
33536,0.0408503
33792,0.0408298
34048,0.0408091
34304,0.0407898
34560,0.0407679
34816,0.0407501
35072,0.0407323
35328,0.0407137
35584,0.0406974
35840,0.0406783
36096,0.0406617
36352,0.0406434
36608,0.0406116
36864,0.0405584
