cache_lines,MRC
256,0.191445
512,0.113407
768,0.079876
1024,0.0705137
1280,0.0685397
1536,0.0673498
1792,0.0669331
2048,0.0669008
2304,0.0668737
2560,0.0668504
2816,0.066588
3072,0.0663434
3328,0.0663263
3584,0.06615
3840,0.0660398
4096,0.0660138
4352,0.0657631
4608,0.0657458
4864,0.0657265
5120,0.0655665
5376,0.0654778
5632,0.0654594
5888,0.0654386
6144,0.0654156
6400,0.0653922
6656,0.0653416
6912,0.0652326
7168,0.0651172
7424,0.0650513
7680,0.0646068
7936,0.0645765
8192,0.0645424
8448,0.064511
8704,0.0644788
8960,0.0644478
9216,0.0644118
9472,0.0643777
9728,0.0643421
9984,0.0643057
10240,0.0642668
10496,0.0642291
10752,0.0641872
11008,0.0641459
11264,0.0641056
11520,0.0640649
11776,0.0639868
12032,0.063827
12288,0.0636092
12544,0.0634145
12800,0.0632943
13056,0.0631995
13312,0.0629048
13568,0.0625727
13824,0.0623212
14080,0.0622104
14336,0.0621279
14592,0.0620397
14848,0.0619435
15104,0.0618453
15360,0.061749
15616,0.0616586
15872,0.061577
16128,0.0614905
16384,0.0614113
16640,0.0613259
16896,0.0612394
17152,0.0611541
17408,0.061036
17664,0.0609061
17920,0.060725
18176,0.060556
18432,0.0603883
18688,0.0602357
18944,0.0601139
19200,0.0600027
19456,0.059901
19712,0.0597992
19968,0.0596988
20224,0.0596012
20480,0.0591643
20736,0.0590375
20992,0.0589366
21248,0.058842
21504,0.0587346
21760,0.0586313
22016,0.0585253
22272,0.0584337
22528,0.0583476
22784,0.0582537
23040,0.0581694
23296,0.0580858
23552,0.0580102
23808,0.0579266
24064,0.0578567
24320,0.0577812
24576,0.0577097
24832,0.0576527
25088,0.0575882
25344,0.0575298
25600,0.0574659
25856,0.0573994
26112,0.0573416
26368,0.0572903
26624,0.0572388
26880,0.0569678
27136,0.05641
27392,0.0559632
27648,0.0558911
27904,0.0558458
28160,0.0557989
28416,0.0557548
28672,0.0557083
28928,0.0556692
29184,0.0556273
29440,0.0555873
29696,0.0555466
29952,0.0555111
30208,0.0554759
30464,0.05544
30720,0.055406
30976,0.0553729
31232,0.0553388
31488,0.0553053
31744,0.0552716
32000,0.0552409
32256,0.0552137
32512,0.0551844
32768,0.0551508
33024,0.0551246
33280,0.0550971
33536,0.0550705
33792,0.0550451
34048,0.0550197
34304,0.0549936
34560,0.0549672
34816,0.0549332
35072,0.054888
35328,0.0548015
35584,0.0547569
35840,0.0546409
36096,0.0545853
36352,0.0545174
36608,0.0544704
36864,0.0543719
37120,0.0543342
37376,0.0543014
37632,0.0542697
37888,0.0541732
38144,0.0541551
38400,0.0541398
38656,0.0541257
38912,0.0541143
39168,0.0541008
39424,0.054089
39680,0.0540763
39936,0.0540641
40192,0.0540536
40448,0.0540438
40704,0.0540342
40960,0.0540251
41216,0.054016
41472,0.0540072
41728,0.0539997
41984,0.0539905
42240,0.0539813
42496,0.0539729
42752,0.0539664
43008,0.0539589
43264,0.0539505
43520,0.0539436
43776,0.053936
44032,0.0539253
44288,0.0539125
44544,0.0539064
44800,0.0538944
45056,0.0538822
45312,0.0538683
45568,0.0538555
45824,0.0538445
46080,0.0538259
46336,0.0538126
46592,0.0537998
46848,0.0537886
47104,0.0537762
47360,0.0537646
47616,0.0537526
47872,0.0537415
48128,0.0537301
48384,0.0537188
48640,0.0537076
48896,0.0536968
49152,0.0536852
49408,0.0536734
49664,0.0536618
49920,0.0536498
50176,0.05364
50432,0.0536294
50688,0.0536181
50944,0.053607
51200,0.0535975
51456,0.0535869
51712,0.0535765
51968,0.0535664
52224,0.0535579
52480,0.0535478
52736,0.0535374
52992,0.0535285
53248,0.0535187
53504,0.0535083
53760,0.053499
54016,0.0534939
54272,0.0534904
54528,0.053486
54784,0.0534813
55040,0.0534772
55296,0.0534739
55552,0.053471
55808,0.0534678
56064,0.0534648
56320,0.0534617
56576,0.0534585
56832,0.0534555
57088,0.0534525
57344,0.0534493
57600,0.0534466
57856,0.0534439
58112,0.0534409
58368,0.0534373
58624,0.0534341
58880,0.0534313
59136,0.0534286
59392,0.0534259
59648,0.0534232
59904,0.0534209
60160,0.0534178
60416,0.0534148
60672,0.0534116
60928,0.0534082
61184,0.0534051
61440,0.0534022
61696,0.0534
61952,0.0533967
62208,0.0533938
62464,0.0533908
62720,0.0533881
62976,0.053385
63232,0.0533817
63488,0.0533787
63744,0.0533758
64000,0.0533724
64256,0.0533692
64512,0.0533659
64768,0.0533613
65024,0.0533573
65280,0.0533542
65536,0.053351
65792,0.0533478
66048,0.0533451
66304,0.0533416
66560,0.0533379
66816,0.0533343
67072,0.0533305
67328,0.0533263
67584,0.0533224
67840,0.0533189
68096,0.0533144
68352,0.0533081
68608,0.0532996
68864,0.0532937
69120,0.0532895
69376,0.0532864
69632,0.0532836
69888,0.0532803
70144,0.0532763
70400,0.0532723
70656,0.0532689
70912,0.0532653
71168,0.053261
71424,0.0532568
71680,0.0532519
71936,0.0532478
72192,0.0532434
72448,0.0532385
72704,0.0532339
72960,0.0532293
73216,0.0532252
73472,0.0532205
73728,0.0532159
73984,0.0532118
74240,0.0532078
74496,0.0532034
74752,0.0531986
75008,0.0531941
75264,0.0531898
75520,0.0531861
75776,0.0531813
76032,0.0531772
76288,0.0531732
76544,0.0531691
76800,0.0531652
77056,0.0531611
77312,0.0531572
77568,0.053154
77824,0.0531505
78080,0.0531461
78336,0.0531419
78592,0.0531376
78848,0.0531337
79104,0.0531302
79360,0.0531265
79616,0.0531225
79872,0.0531192
80128,0.0531154
80384,0.053112
80640,0.0531091
80896,0.0531057
81152,0.053102
81408,0.0530987
81664,0.0530953
81920,0.0530917
82176,0.0530883
82432,0.0530849
82688,0.0530811
82944,0.0530784
83200,0.0530744
83456,0.0530708
83712,0.0530677
83968,0.0530644
84224,0.053061
84480,0.0530582
84736,0.0530553
84992,0.0530522
85248,0.0530489
85504,0.0530459
85760,0.053043
86016,0.0530401
86272,0.053037
86528,0.0530343
86784,0.053032
87040,0.0530296
87296,0.0530269
87552,0.0530241
87808,0.0530217
88064,0.0530196
88320,0.0530174
88576,0.0530149
88832,0.0530128
89088,0.0530102
89344,0.0530069
89600,0.0530036
89856,0.0530001
90112,0.0529962
90368,0.0529924
90624,0.0529885
90880,0.052985
91136,0.05298
91392,0.0529741
91648,0.0529695
91904,0.0529642
92160,0.052958
92416,0.0529511
92672,0.0529445
92928,0.0529365
93184,0.0529279
93440,0.0529184
93696,0.0529091
93952,0.0529019
94208,0.0528938
94464,0.0528854
94720,0.0528775
94976,0.0528697
95232,0.0528621
95488,0.052855
95744,0.0528476
96000,0.0528392
96256,0.0528301
96512,0.0528215
96768,0.0528132
97024,0.0528047
97280,0.0527966
97536,0.0527881
97792,0.0527805
98048,0.0527741
98304,0.0527673
98560,0.0527586
98816,0.0527504
99072,0.052742
99328,0.0527346
99584,0.0527265
99840,0.0527193
100096,0.0527119
100352,0.0527044
100608,0.0526972
100864,0.0526896
101120,0.0526813
101376,0.0526739
101632,0.0526662
101888,0.052658
102144,0.0526508
102400,0.0526432
102656,0.0526363
102912,0.0526286
103168,0.0526201
103424,0.0526128
103680,0.0526057
103936,0.0526
104192,0.0525919
104448,0.0525796
104704,0.0525699
104960,0.0525621
105216,0.0525548
105472,0.0525478
105728,0.0525406
105984,0.0525336
106240,0.0525264
106496,0.0525183
106752,0.0525107
107008,0.0525042
107264,0.0524975
107520,0.0524902
107776,0.0524824
108032,0.0524749
108288,0.0524679
108544,0.0524612
108800,0.0524544
109056,0.0524488
109312,0.0524415
109568,0.0524344
109824,0.0524284
110080,0.0524211
110336,0.0524139
110592,0.0524061
110848,0.0523994
111104,0.0523929
111360,0.0523859
111616,0.0523784
111872,0.0523713
112128,0.0523631
112384,0.0523549
112640,0.0523473
112896,0.0523399
113152,0.052333
113408,0.0523256
113664,0.0523179
113920,0.0523107
114176,0.0523044
114432,0.0522986
114688,0.052293
114944,0.0522887
115200,0.0522836
115456,0.0522783
115712,0.052273
115968,0.0522676
116224,0.0522627
116480,0.0522575
116736,0.0522534
116992,0.0522497
117248,0.0522459
117504,0.0522422
117760,0.0522386
118016,0.0522346
118272,0.0522303
118528,0.052226
118784,0.0522221
119040,0.0522191
119296,0.0522165
119552,0.0522141
119808,0.0522121
120064,0.0522103
120320,0.052209
120576,0.0522076
120832,0.0522061
121088,0.0522047
121344,0.0522033
121600,0.0522017
121856,0.0522001
122112,0.0521983
122368,0.0521966
122624,0.052195
122880,0.0521935
123136,0.0521915
123392,0.0521893
123648,0.0521871
123904,0.052185
124160,0.0521832
124416,0.0521814
124672,0.0521796
124928,0.0521781
125184,0.0521765
125440,0.0521752
125696,0.0521736
125952,0.052172
126208,0.0521703
126464,0.0521686
126720,0.0521668
126976,0.0521648
127232,0.0521627
127488,0.0521608
127744,0.0521591
128000,0.0521575
128256,0.052156
128512,0.0521547
128768,0.0521523
129024,0.0521501
129280,0.052149
129536,0.0521472
129792,0.0521451
130048,0.0521431
130304,0.0521412
130560,0.0521398
130816,0.0521383
131072,0.0521367
131328,0.052135
131584,0.0521332
131840,0.0521317
132096,0.0521299
132352,0.0521277
132608,0.0521261
132864,0.0521245
133120,0.0521225
133376,0.0521204
133632,0.052118
133888,0.0521155
134144,0.052113
134400,0.0521109
134656,0.0521086
134912,0.0521063
135168,0.0521041
135424,0.052102
135680,0.0521
135936,0.052098
136192,0.0520959
136448,0.0520937
136704,0.0520915
136960,0.0520893
137216,0.0520872
137472,0.0520852
137728,0.0520831
137984,0.0520811
138240,0.0520794
138496,0.0520775
138752,0.0520757
139008,0.0520737
139264,0.0520717
139520,0.05207
139776,0.0520681
140032,0.0520661
140288,0.0520643
140544,0.0520626
140800,0.0520611
141056,0.0520596
141312,0.0520582
141568,0.0520562
141824,0.0520542
142080,0.0520525
142336,0.0520504
142592,0.052048
142848,0.0520458
143104,0.0520436
143360,0.0520417
143616,0.0520394
143872,0.0520369
144128,0.0520342
144384,0.0520317
144640,0.0520299
144896,0.0520279
145152,0.0520259
145408,0.052024
145664,0.0520221
145920,0.0520201
146176,0.052018
146432,0.0520158
146688,0.0520138
146944,0.0520117
147200,0.0520092
147456,0.052007
147712,0.052005
147968,0.0520027
148224,0.0520006
148480,0.0519992
148736,0.0519972
148992,0.0519947
149248,0.0519922
149504,0.05199
149760,0.0519885
150016,0.0519866
150272,0.0519844
150528,0.0519818
150784,0.0519794
151040,0.0519774
151296,0.0519751
151552,0.0519726
151808,0.0519706
152064,0.0519687
152320,0.0519669
152576,0.051965
152832,0.0519629
153088,0.0519602
153344,0.0519576
153600,0.0519551
153856,0.0519526
154112,0.0519502
154368,0.0519481
154624,0.0519459
154880,0.0519438
155136,0.0519413
155392,0.0519387
155648,0.0519368
155904,0.0519347
156160,0.0519324
156416,0.05193
156672,0.0519275
156928,0.0519252
157184,0.0519229
157440,0.0519209
157696,0.0519188
157952,0.0519165
158208,0.0519141
158464,0.0519117
158720,0.0519096
158976,0.0519077
159232,0.051906
159488,0.0519035
159744,0.0519012
160000,0.0518994
160256,0.0518978
160512,0.0518965
160768,0.0518946
161024,0.0518925
161280,0.0518902
161536,0.051888
161792,0.0518859
162048,0.0518834
162304,0.0518809
162560,0.0518784
162816,0.0518761
163072,0.0518738
163328,0.0518713
163584,0.0518686
163840,0.0518657
164096,0.0518633
164352,0.0518612
164608,0.0518592
164864,0.0518573
165120,0.0518556
165376,0.0518539
165632,0.0518522
165888,0.0518503
166144,0.0518486
166400,0.0518469
166656,0.0518452
166912,0.0518436
167168,0.0518424
167424,0.0518399
167680,0.051836
167936,0.0518335
168192,0.0518313
168448,0.0518295
168704,0.0518274
168960,0.0518249
169216,0.0518227
169472,0.0518207
169728,0.0518185
169984,0.0518161
170240,0.0518134
170496,0.0518114
170752,0.0518094
171008,0.0518069
171264,0.0518045
171520,0.0518023
171776,0.0518007
172032,0.051799
172288,0.051797
172544,0.0517947
172800,0.0517924
173056,0.051791
173312,0.0517896
173568,0.0517876
173824,0.0517858
174080,0.0517842
174336,0.0517831
174592,0.0517817
174848,0.0517796
175104,0.0517778
175360,0.0517761
175616,0.0517739
175872,0.051772
176128,0.0517706
176384,0.0517692
176640,0.0517677
176896,0.0517662
177152,0.0517648
177408,0.0517633
177664,0.0517619
177920,0.0517603
178176,0.0517586
178432,0.0517568
178688,0.0517549
178944,0.0517528
179200,0.0517506
179456,0.0517485
179712,0.0517463
179968,0.0517435
180224,0.0517413
180480,0.0517392
180736,0.0517374
180992,0.0517351
181248,0.0517321
181504,0.0517292
181760,0.0517264
182016,0.0517238
182272,0.0517211
182528,0.0517183
182784,0.051716
183040,0.0517139
183296,0.0517123
183552,0.0517102
183808,0.0517077
184064,0.0517048
184320,0.0517017
184576,0.0516982
184832,0.051695
185088,0.051692
185344,0.0516889
185600,0.0516858
185856,0.0516824
186112,0.0516793
186368,0.0516763
186624,0.0516728
186880,0.0516697
187136,0.0516674
187392,0.051665
187648,0.0516623
187904,0.0516593
188160,0.0516566
188416,0.0516544
188672,0.0516521
188928,0.0516497
189184,0.0516472
189440,0.0516444
189696,0.0516413
189952,0.051638
190208,0.0516347
190464,0.0516324
190720,0.0516299
190976,0.0516269
191232,0.0516235
191488,0.0516201
191744,0.0516171
192000,0.0516141
192256,0.0516111
192512,0.0516078
192768,0.0516045
193024,0.0516012
193280,0.0515985
193536,0.0515963
193792,0.0515937
194048,0.0515908
194304,0.0515868
194560,0.0515828
194816,0.051579
195072,0.0515753
195328,0.0515715
195584,0.0515672
195840,0.0515589
196096,0.0515476
196352,0.0515357
196608,0.0515142
196864,0.0514685
197120,0.0514317
197376,0.0513998
197632,0.0513771
197888,0.0513551
198144,0.0513346
198400,0.0513152
198656,0.0512964
198912,0.0512767
199168,0.0512572
199424,0.0512377
199680,0.0512185
199936,0.0511993
200192,0.0511796
200448,0.0511597
200704,0.0511398
200960,0.0511203
201216,0.051101
201472,0.051082
201728,0.0510616
201984,0.0510402
202240,0.05102
202496,0.0509997
202752,0.0509793
203008,0.0509596
203264,0.0509401
203520,0.0509187
203776,0.0508967
204032,0.050874
204288,0.0508449
204544,0.0508132
204800,0.0507767
205056,0.0507306
205312,0.050677
205568,0.0506199
205824,0.0505799
206080,0.0505779
206336,0.0505754
206592,0.0505729
206848,0.050571
207104,0.0505691
207360,0.0505671
207616,0.050565
207872,0.0505629
208128,0.050561
208384,0.050559
208640,0.0505569
208896,0.0505544
209152,0.0505518
209408,0.0505491
209664,0.0505467
209920,0.0505443
210176,0.0505419
210432,0.0505396
