reuse_time,counts
1,1644059
2,1370495
3,1433298
4,1349519
5,1242916
6,1165622
7,1070939
8,947381
9,811142
10,675890
11,552244
12,451904
13,379780
14,331665
15,303539
16,287260
17,272702
18,255301
19,231448
20,203700
21,174249
22,146738
23,123514
24,105904
25,93071
26,84638
27,78066
28,73412
29,69107
30,64528
31,60848
32,56985
33,53759
34,51196
35,47382
36,44013
37,40219
38,36678
39,33192
40,30135
41,26463
42,23521
43,21890
44,20173
45,19032
46,18194
47,17847
48,17742
49,17519
50,17400
51,16493
52,16160
53,15630
54,15157
55,14190
56,13264
57,12482
58,11480
59,10625
60,9820
61,9189
62,8649
63,8269
64,7999
65,7758
66,7530
67,7437
68,7473
69,7171
70,7219
71,6960
72,6726
73,6725
74,6417
75,6199
76,6258
77,6106
78,6149
79,6037
80,6035
81,6108
82,5880
83,5887
84,5944
85,5938
86,5720
87,5728
88,5588
89,5491
90,5407
91,5295
92,5203
93,4969
94,4963
95,4921
96,4684
97,4670
98,4743
99,4644
100,4609
101,4362
102,4442
103,4362
104,4337
105,4200
106,3914
107,3962
108,3832
109,3757
110,3572
111,3507
112,3357
113,3244
114,3113
115,3197
116,2948
117,2880
118,2985
119,2715
120,2781
121,2709
122,2749
123,2684
124,2564
125,2600
126,2717
127,2644
128,2690
129,2778
130,2673
131,2743
132,2794
133,2824
134,2836
135,2730
136,2763
137,2758
138,2771
139,2664
140,2817
141,2835
142,2781
143,2729
144,2774
145,2725
146,2788
147,2806
148,2555
149,2561
150,2678
151,2644
152,2468
153,2501
154,2467
155,2569
156,2467
157,2498
158,2373
159,2415
160,2387
161,2314
162,2313
163,2225
164,2183
165,2173
166,2223
167,2193
168,2181
169,2266
170,2211
171,2147
172,2116
173,2105
174,2067
175,2085
176,2067
177,2037
178,2047
179,1997
180,1931
181,2069
182,2056
183,2039
184,2091
185,2197
186,2167
187,2301
188,2305
189,2400
190,2295
191,2503
192,2518
193,2562
194,2688
195,2769
196,2729
197,2910
198,2808
199,3007
200,2977
201,3047
202,3319
203,3216
204,3268
205,3184
206,3356
207,3307
208,3401
209,3342
210,3379
211,3240
212,3367
213,3383
214,3243
215,3224
216,3306
217,3122
218,3180
219,3103
220,3114
221,2975
222,2845
223,2849
224,2865
225,2878
226,2764
227,2698
228,2624
229,2684
230,2589
231,2585
232,2595
233,2526
234,2527
235,2459
236,2495
237,2444
238,2402
239,2481
240,2419
241,2370
242,2318
243,2396
244,2310
245,2348
246,2391
247,2429
248,2359
249,2470
250,2362
251,2353
252,2374
253,2515
254,2411
255,2444
256,2471
258,4868
260,4678
262,4722
264,4603
266,4472
268,4493
270,4293
272,4208
274,4086
276,3906
278,3809
280,3855
282,3700
284,3587
286,3490
288,3569
290,3425
292,3429
294,3378
296,3435
298,3432
300,3378
302,3376
304,3403
306,3385
308,3240
310,3133
312,3212
314,3212
316,3282
318,3170
320,3105
322,3198
324,3179
326,3078
328,3145
330,3185
332,3196
334,3175
336,3231
338,3444
340,3470
342,3539
344,3592
346,3790
348,3930
350,4012
352,4068
354,3979
356,4097
358,4290
360,4137
362,4265
364,4323
366,4186
368,4214
370,4130
372,4103
374,4083
376,3881
378,3855
380,3873
382,3893
384,3827
386,3828
388,3785
390,3593
392,3763
394,3750
396,3668
398,3781
400,3791
402,3680
404,3654
406,3705
408,3602
410,3696
412,3487
414,3538
416,3529
418,3375
420,3447
422,3260
424,3165
426,3230
428,3191
430,3141
432,3020
434,2983
436,2986
438,2871
440,2960
442,2756
444,2889
446,2803
448,2846
450,2848
452,2863
454,2809
456,2858
458,2869
460,2669
462,2827
464,2866
466,2819
468,2759
470,2953
472,2987
474,2994
476,3076
478,3040
480,3092
482,3191
484,3203
486,3199
488,3250
490,3386
492,3354
494,3507
496,3660
498,3619
500,3695
502,3649
504,3732
506,3935
508,3999
510,4000
512,4025
514,3995
516,4102
518,3913
520,3979
522,3959
524,4102
526,3832
528,3871
530,3711
532,3602
534,3459
536,3494
538,3280
540,3114
542,3050
544,2888
546,2896
548,2835
550,2734
552,2655
554,2650
556,2624
558,2428
560,2486
562,2515
564,2496
566,2521
568,2465
570,2606
572,2573
574,2710
576,2683
578,2659
580,2806
582,2831
584,2849
586,2884
588,2977
590,2818
592,3050
594,2931
596,2910
598,3038
600,2939
602,2900
604,2903
606,2942
608,2902
610,2914
612,2909
614,2960
616,2786
618,2874
620,2813
622,2879
624,2838
626,2814
628,2833
630,2801
632,2791
634,2750
636,2812
638,2825
640,2705
642,2773
644,2797
646,2687
648,2802
650,2962
652,3088
654,2864
656,2873
658,2899
660,3063
662,2969
664,3016
666,3003
668,3006
670,3060
672,3258
674,3224
676,3350
678,3418
680,3443
682,3584
684,3728
686,3830
688,3872
690,3953
692,4116
694,4181
696,4384
698,4398
700,4569
702,4696
704,4774
706,4965
708,5049
710,5041
712,5168
714,5372
716,5338
718,5430
720,5483
722,5614
724,5740
726,5605
728,5512
730,5613
732,5688
734,5523
736,5595
738,5549
740,5599
742,5622
744,5518
746,5566
748,5621
750,5365
752,5301
754,5238
756,5268
758,5195
760,5222
762,5183
764,5053
766,5056
768,4996
772,9906
776,9627
780,9764
784,9557
788,9328
792,9205
796,9102
800,8949
804,9019
808,9112
812,9049
816,8801
820,8873
824,8870
828,8969
832,8812
836,8986
840,8850
844,8797
848,8725
852,8650
856,8586
860,8401
864,8374
868,8071
872,8110
876,7936
880,7783
884,7599
888,7456
892,7471
896,7464
900,7282
904,7360
908,7240
912,7247
916,7034
920,7217
924,7017
928,7078
932,7134
936,7206
940,6917
944,7032
948,7105
952,6897
956,6882
960,6980
964,7070
968,7033
972,6797
976,6843
980,6841
984,6781
988,6915
992,6881
996,6845
1000,6908
1004,6782
1008,6625
1012,6855
1016,6723
1020,6696
1024,6659
1028,6612
1032,6789
1036,6711
1040,6739
1044,6763
1048,6896
1052,6862
1056,6880
1060,7059
1064,7199
1068,7218
1072,7556
1076,7645
1080,7845
1084,8072
1088,8483
1092,8643
1096,9166
1100,9418
1104,9433
1108,9784
1112,10030
1116,9880
1120,9809
1124,9749
1128,9604
1132,9298
1136,9255
1140,8906
1144,8439
1148,8180
1152,7651
1156,7138
1160,6817
1164,6298
1168,6025
1172,5534
1176,5243
1180,4679
1184,4467
1188,4104
1192,3825
1196,3543
1200,3291
1204,3036
1208,2883
1212,2603
1216,2499
1220,2221
1224,2202
1228,2058
1232,1901
1236,1932
1240,1802
1244,1736
1248,1625
1252,1547
1256,1600
1260,1485
1264,1436
1268,1344
1272,1291
1276,1353
1280,1259
1284,1316
1288,1234
1292,1314
1296,1215
1300,1230
1304,1289
1308,1250
1312,1299
1316,1274
1320,1299
1324,1266
1328,1355
1332,1290
1336,1346
1340,1261
1344,1292
1348,1261
1352,1338
1356,1301
1360,1404
1364,1301
1368,1359
1372,1326
1376,1371
1380,1364
1384,1287
1388,1258
1392,1396
1396,1384
1400,1414
1404,1349
1408,1418
1412,1399
1416,1376
1420,1417
1424,1476
1428,1460
1432,1428
1436,1526
1440,1415
1444,1434
1448,1467
1452,1417
1456,1376
1460,1463
1464,1463
1468,1413
1472,1397
1476,1353
1480,1354
1484,1332
1488,1343
1492,1325
1496,1325
1500,1436
1504,1388
1508,1438
1512,1380
1516,1374
1520,1438
1524,1340
1528,1382
1532,1459
1536,1386
1540,1392
1544,1452
1548,1332
1552,1425
1556,1373
1560,1373
1564,1398
1568,1353
1572,1361
1576,1347
1580,1339
1584,1252
1588,1254
1592,1170
1596,1264
1600,1251
1604,1187
1608,1219
1612,1152
1616,1159
1620,1044
1624,1113
1628,1120
1632,1033
1636,1017
1640,1071
1644,1046
1648,992
1652,988
1656,958
1660,958
1664,948
1668,940
1672,952
1676,1001
1680,977
1684,960
1688,941
1692,989
1696,919
1700,979
1704,919
1708,941
1712,938
1716,901
1720,906
1724,911
1728,919
1732,896
1736,865
1740,873
1744,858
1748,854
1752,875
1756,912
1760,919
1764,884
1768,939
1772,901
1776,912
1780,901
1784,975
1788,969
1792,945
1800,2026
1808,2103
1816,2146
1824,2249
1832,2222
1840,2425
1848,2449
1856,2422
1864,2533
1872,2723
1880,3041
1888,3263
1896,3653
1904,4176
1912,4808
1920,5584
1928,6561
1936,7646
1944,8902
1952,10419
1960,11764
1968,12923
1976,14177
1984,14839
1992,15322
2000,15587
2008,15036
2016,14480
2024,14013
2032,13329
2040,12560
2048,12266
2056,11734
2064,11270
2072,10939
2080,10536
2088,10392
2096,9868
2104,9438
2112,9143
2120,8909
2128,8709
2136,8374
2144,8600
2152,8686
2160,8669
2168,8818
2176,9002
2184,9263
2192,9350
2200,9829
2208,9850
2216,9987
2224,10016
2232,9741
2240,9622
2248,9119
2256,8719
2264,8078
2272,7459
2280,6581
2288,5959
2296,5155
2304,4557
2312,4145
2320,3827
2328,3426
2336,3204
2344,3142
2352,3145
2360,3240
2368,3458
2376,3663
2384,3881
2392,3995
2400,4313
2408,4306
2416,4523
2424,4818
2432,4718
2440,5018
2448,4785
2456,4954
2464,4847
2472,4914
2480,4752
2488,4628
2496,4637
2504,4540
2512,4426
2520,4375
2528,4376
2536,4253
2544,4233
2552,4330
2560,4201
2568,4147
2576,4126
2584,4138
2592,4108
2600,4005
2608,3768
2616,3732
2624,3639
2632,3529
2640,3411
2648,3244
2656,3143
2664,2897
2672,2763
2680,2679
2688,2663
2696,2460
2704,2333
2712,2228
2720,2228
2728,2153
2736,2216
2744,2129
2752,2323
2760,2408
2768,2523
2776,2644
2784,2769
2792,3019
2800,3137
2808,3375
2816,3558
2824,3787
2832,3892
2840,4163
2848,4416
2856,4588
2864,4835
2872,4903
2880,5084
2888,5172
2896,5258
2904,5449
2912,5524
2920,5432
2928,5463
2936,5572
2944,5563
2952,5712
2960,5569
2968,5684
2976,5564
2984,5628
2992,5516
3000,5517
3008,5440
3016,5473
3024,5414
3032,5400
3040,5581
3048,5553
3056,5525
3064,5579
3072,5614
3080,5639
3088,5513
3096,5574
3104,5572
3112,5512
3120,5444
3128,5463
3136,5379
3144,5456
3152,5473
3160,5559
3168,5504
3176,5757
3184,5726
3192,5748
3200,5920
3208,5863
3216,5945
3224,6125
3232,6055
3240,5991
3248,6015
3256,5884
3264,6172
3272,6033
3280,6070
3288,6280
3296,6484
3304,6677
3312,7014
3320,7185
3328,7643
3336,7968
3344,8135
3352,8145
3360,8323
3368,8428
3376,8453
3384,8378
3392,8353
3400,8294
3408,7968
3416,8108
3424,7683
3432,7595
3440,7377
3448,6945
3456,6576
3464,6169
3472,5774
3480,5353
3488,4757
3496,4227
3504,3632
3512,3104
3520,2633
3528,2147
3536,1839
3544,1414
3552,1214
3560,962
3568,799
3576,687
3584,686
3592,624
3600,660
3608,601
3616,591
3624,629
3632,660
3640,700
3648,636
3656,638
3664,616
3672,580
3680,536
3688,531
3696,505
3704,472
3712,479
3720,430
3728,382
3736,401
3744,369
3752,397
3760,436
3768,487
3776,581
3784,754
3792,845
3800,1154
3808,1394
3816,1686
3824,2123
3832,2565
3840,2914
3856,7965
3872,10338
3888,12847
3904,15612
3920,18432
3936,21558
3952,24877
3968,28410
3984,30995
4000,32363
4016,31510
4032,29197
4048,25587
4064,21622
4080,16910
4096,13288
4112,9878
4128,7710
4144,6185
4160,5358
4176,4841
4192,4395
4208,4001
4224,3453
4240,2949
4256,2484
4272,2023
4288,1859
4304,1699
4320,1841
4336,2076
4352,2299
4368,2522
4384,2683
4400,2825
4416,3005
4432,2983
4448,3012
4464,2902
4480,3021
4496,3056
4512,3243
4528,3578
4544,4104
4560,4621
4576,5269
4592,5790
4608,5778
4624,6011
4640,5711
4656,5215
4672,4674
4688,4137
4704,3401
4720,2682
4736,2158
4752,1576
4768,1205
4784,908
4800,697
4816,542
4832,365
4848,289
4864,251
4880,245
4896,195
4912,195
4928,141
4944,131
4960,103
4976,79
4992,76
5008,81
5024,65
5040,78
5056,68
5072,78
5088,57
5104,63
5120,66
5136,71
5152,90
5168,113
5184,123
5200,162
5216,191
5232,242
5248,268
5264,302
5280,363
5296,388
5312,446
5328,464
5344,501
5360,487
5376,504
5392,538
5408,533
5424,534
5440,549
5456,592
5472,648
5488,657
5504,626
5520,688
5536,681
