cache_lines,MRC
256,0.0952993
512,0.0613896
768,0.0243547
1024,0.0218435
1280,0.0208707
1536,0.0208105
1792,0.0205498
2048,0.0205206
2304,0.0205134
2560,0.0205057
2816,0.0204978
3072,0.0204166
3328,0.020409
3584,0.0203291
3840,0.0202922
4096,0.0202299
4352,0.0202165
4608,0.0201366
4864,0.0201309
5120,0.0201248
5376,0.0201175
5632,0.0200428
5888,0.0200359
6144,0.0200295
6400,0.0200221
6656,0.0200146
6912,0.0200066
7168,0.0199777
7424,0.0199416
7680,0.0199069
7936,0.0198955
8192,0.0198194
8448,0.0197399
8704,0.0197304
8960,0.0197196
9216,0.0197098
9472,0.0196991
9728,0.0196882
9984,0.0196774
10240,0.0196665
10496,0.019654
10752,0.019642
11008,0.0196263
11264,0.0196147
11520,0.0196018
11776,0.019589
12032,0.0195762
12288,0.019562
12544,0.0195481
12800,0.0194619
13056,0.019362
13312,0.0193269
13568,0.0192882
13824,0.019262
14080,0.0192313
14336,0.0191333
14592,0.0190415
14848,0.0189481
15104,0.018919
15360,0.0188887
15616,0.0188624
15872,0.0188324
16128,0.0188013
16384,0.0187702
16640,0.0187409
16896,0.0187149
17152,0.0186892
17408,0.0186622
17664,0.0186364
17920,0.0186097
18176,0.0185835
18432,0.0185501
18688,0.0184992
18944,0.0184463
19200,0.018389
19456,0.0183303
19712,0.0182898
19968,0.0182562
20224,0.0182254
20480,0.018191
20736,0.0181605
20992,0.0181271
21248,0.0180967
21504,0.0180661
21760,0.0180372
22016,0.0178841
22272,0.0178549
22528,0.0178261
22784,0.0177972
23040,0.0177638
23296,0.0177309
23552,0.0176992
23808,0.0176734
24064,0.0176481
24320,0.0176097
24576,0.0175879
24832,0.017564
25088,0.0175332
25344,0.0175125
25600,0.0174887
25856,0.0174652
26112,0.0174436
26368,0.0174197
26624,0.0174023
26880,0.0173852
27136,0.0173688
27392,0.0173522
27648,0.0173332
27904,0.017317
28160,0.0173015
28416,0.0172867
28672,0.0172707
28928,0.0171264
29184,0.0168974
29440,0.016881
29696,0.0168663
29952,0.016854
30208,0.0168407
30464,0.0168286
30720,0.0168157
30976,0.0168037
31232,0.0167925
31488,0.0167806
31744,0.0167692
32000,0.0167583
32256,0.0167471
32512,0.0167365
32768,0.0167259
33024,0.0167164
33280,0.0167067
33536,0.0166976
33792,0.0166881
34048,0.0166788
34304,0.0166703
34560,0.0166618
34816,0.0166525
35072,0.0166447
35328,0.0166376
35584,0.0166309
35840,0.0166236
36096,0.0166168
36352,0.0166105
36608,0.0166051
36864,0.0166002
37120,0.0165747
37376,0.0165687
37632,0.0165531
37888,0.0165485
38144,0.0165044
38400,0.0164928
38656,0.0164831
38912,0.0164743
39168,0.0164434
39424,0.0164151
39680,0.0164115
39936,0.0164074
40192,0.0163897
40448,0.0163762
40704,0.0163724
40960,0.0163688
41216,0.0163655
41472,0.0163623
41728,0.0163591
41984,0.0163558
42240,0.0163528
42496,0.0163497
42752,0.0163466
43008,0.0163436
43264,0.0163406
43520,0.0163377
43776,0.0163348
44032,0.0163319
44288,0.0163293
44544,0.0163267
44800,0.0163242
45056,0.0163218
45312,0.0163195
45568,0.0163172
45824,0.016315
46080,0.0163127
46336,0.0163105
46592,0.0163084
46848,0.0163057
47104,0.0163019
47360,0.0162997
47616,0.0162973
47872,0.016293
48128,0.0162893
48384,0.0162853
48640,0.0162819
48896,0.0162769
49152,0.0162723
49408,0.016269
49664,0.0162651
49920,0.0162621
50176,0.0162581
50432,0.0162544
50688,0.0162507
50944,0.0162474
51200,0.0162441
51456,0.0162407
51712,0.0162374
51968,0.0162337
52224,0.0162306
52480,0.0162274
52736,0.0162243
52992,0.0162208
53248,0.0162176
53504,0.0162142
53760,0.0162107
54016,0.0162077
54272,0.0162045
54528,0.0162018
54784,0.016198
55040,0.0161948
55296,0.0161916
55552,0.0161889
55808,0.0161855
56064,0.0161825
56320,0.0161794
56576,0.0161763
56832,0.0161736
57088,0.0161708
57344,0.0161688
57600,0.0161677
57856,0.0161664
58112,0.016165
58368,0.0161636
58624,0.0161625
58880,0.0161616
59136,0.0161608
59392,0.0161599
59648,0.0161589
59904,0.0161578
60160,0.0161569
60416,0.0161561
60672,0.0161551
60928,0.0161541
61184,0.0161532
61440,0.0161523
61696,0.0161513
61952,0.0161502
62208,0.0161496
62464,0.0161488
62720,0.0161476
62976,0.0161468
63232,0.0161458
63488,0.0161448
63744,0.0161439
64000,0.016143
64256,0.0161421
64512,0.0161411
64768,0.01614
65024,0.016139
65280,0.0161378
65536,0.0161369
65792,0.0161357
66048,0.0161349
66304,0.0161339
66560,0.016133
66816,0.0161318
67072,0.0161307
67328,0.0161299
67584,0.0161289
67840,0.0161278
68096,0.0161269
68352,0.0161258
68608,0.0161245
68864,0.0161235
69120,0.0161224
69376,0.0161214
69632,0.0161205
69888,0.0161197
70144,0.0161185
70400,0.0161175
70656,0.0161164
70912,0.0161152
71168,0.0161141
71424,0.0161129
71680,0.0161116
71936,0.0161104
72192,0.0161092
72448,0.0161077
72704,0.0161053
72960,0.0161028
73216,0.0161014
73472,0.0161003
73728,0.0160993
73984,0.0160983
